
[00:00:00.000 --> 00:00:03.200]  2019年主題「照明人生」
[00:00:03.200 --> 00:00:05.000]  甚麼是「照明」呢?
[00:00:05.000 --> 00:00:09.000]  不知道大家12月22、23日有沒有回來教會崇拜
[00:00:09.000 --> 00:00:12.000]  聽過介紹這個全年的主題
[00:00:12.000 --> 00:00:18.000]  亦有沒有看我們同工和兩位弟兄所拍的一套短片呢?
[00:00:18.000 --> 00:00:20.000]  如果你沒有看過,你今天當然要看了
[00:00:20.000 --> 00:00:22.000]  你看過就重溫一下
[00:00:22.000 --> 00:00:24.000]  重溫一下
[00:00:24.000 --> 00:00:28.000]  「照明」,甚麼是「照明」呢?
[00:00:28.000 --> 00:00:30.000]  有沒有給我們呢?
[00:00:30.000 --> 00:00:32.000]  是不是去旅行帶那些聖地團?
[00:00:32.000 --> 00:00:35.000]  不是呀,我們要拍全年時光短片
[00:00:35.000 --> 00:00:37.000]  我的護照都準備好,我打算飛了
[00:00:37.000 --> 00:00:40.000]  唉,連目者都不知道自己的「照明」的時候
[00:00:40.000 --> 00:00:43.000]  究竟姐妹知不知道「照明」是甚麼東西呢?
[00:00:43.000 --> 00:00:52.000]  我不知道呀,想不到
[00:00:52.000 --> 00:00:56.000]  甚麼是「照明」呢?這個問題問得真好
[00:00:56.000 --> 00:01:00.000]  簡單來說就是叫你過來工作,就是這樣
[00:01:00.000 --> 00:01:05.000]  有感動去做一些事,那樣東西是自己
[00:01:05.000 --> 00:01:09.000]  又不是自己才做到的,但會是屬於自己
[00:01:09.000 --> 00:01:20.000]  請問你覺得甚麼是「照明」呢?
[00:01:20.000 --> 00:01:23.000]  上帝的召喚,說完了
[00:01:23.000 --> 00:01:25.000]  不是的嗎?
[00:01:27.000 --> 00:01:29.000]  你的「照明」是甚麼呢?
[00:01:29.000 --> 00:01:33.000]  不知道呀,還在找吧?還在等吧?
[00:01:33.000 --> 00:01:39.000]  溫習呀,識到知識呀
[00:01:39.000 --> 00:01:42.000]  我的護照是有人召喚我
[00:01:42.000 --> 00:01:44.000]  有人召喚你呀?
[00:01:44.000 --> 00:01:50.000]  呼求和我要召喚我的一個狀態
[00:01:50.000 --> 00:01:52.000]  那不就是好像做兵那樣
[00:01:52.000 --> 00:01:57.000]  那你知不知道上帝想你們為他做些甚麼呀?
[00:01:57.000 --> 00:01:59.000]  傳福音呀
[00:01:59.000 --> 00:02:03.000]  我的「照明」是甚麼呀?
[00:02:03.000 --> 00:02:07.000]  我的「照明」是甚麼呀?
[00:02:07.000 --> 00:02:11.000]  我現在想侍奉主人
[00:02:11.000 --> 00:02:14.000]  所以是活力度
[00:02:14.000 --> 00:02:19.000]  怎樣可以知道自己的「照明」呢?
[00:02:19.000 --> 00:02:22.000]  怎樣才可以找呢?
[00:02:22.000 --> 00:02:30.000]  我覺得可能是要透過侍奉或者靈修那些事情
[00:02:30.000 --> 00:02:32.000]  然後你就會突然覺得
[00:02:32.000 --> 00:02:36.000]  這件事其實可能在你內心都有些感動想去做
[00:02:36.000 --> 00:02:39.000]  神不斷地跟我說
[00:02:39.000 --> 00:02:43.000]  你要進去,要去做我要你去的地方
[00:02:43.000 --> 00:02:46.000]  不是我選擇的地方,是祂給我的地方
[00:02:49.000 --> 00:02:52.000]  聽了頂尖會議,怎樣看甚麼是「照明」
[00:02:52.000 --> 00:02:54.000]  或者怎樣找甚麼是「照明」
[00:02:54.000 --> 00:02:56.000]  怎樣找到呢?
[00:02:56.000 --> 00:02:59.000]  我們就很想用一年的時間
[00:02:59.000 --> 00:03:02.000]  跟頂尖一起探討「照明」人生
[00:03:02.000 --> 00:03:05.000]  如果你明白人生是有「照明」的時候
[00:03:05.000 --> 00:03:08.000]  你就會知道你所經歷的生命
[00:03:08.000 --> 00:03:11.000]  是一個豐盛又滿足的生命
[00:03:11.000 --> 00:03:13.000]  這個是我們全年很想做到的
[00:03:13.000 --> 00:03:14.000]  那怎樣做呢?
[00:03:14.000 --> 00:03:17.000]  我們會分三個階段,也有三個目標
[00:03:17.000 --> 00:03:20.000]  一至四月我們崇拜的講題都會配合
[00:03:20.000 --> 00:03:22.000]  人生是需要有「照明」的
[00:03:22.000 --> 00:03:23.000]  我們很想不斷地告訴大家
[00:03:23.000 --> 00:03:24.000]  人生是需要有「照明」的
[00:03:24.000 --> 00:03:26.000]  五至八月第二季的時候
[00:03:26.000 --> 00:03:28.000]  人生的罪名是需要回顧的
[00:03:28.000 --> 00:03:29.000]  我們怎樣找呢?
[00:03:29.000 --> 00:03:31.000]  要回顧我們過去
[00:03:31.000 --> 00:03:32.000]  怎樣回顧呢?
[00:03:32.000 --> 00:03:34.000]  當然聖經的說話會光照我們
[00:03:34.000 --> 00:03:36.000]  不單單看聖經,還要看我們過去的人生
[00:03:36.000 --> 00:03:37.000]  還有是怎樣呢?
[00:03:37.000 --> 00:03:39.000]  你在找,或者找到了我們的「照明」
[00:03:39.000 --> 00:03:40.000]  就是這樣了
[00:03:40.000 --> 00:03:42.000]  其實是需要回應的
[00:03:42.000 --> 00:03:44.000]  我們要有行動的
[00:03:44.000 --> 00:03:47.000]  今天第一講是「照明人生」
[00:03:47.000 --> 00:03:50.000]  上主是按祂心意創造我
[00:03:50.000 --> 00:03:54.000]  這個是從創造的角度來看「照明」
[00:03:54.000 --> 00:03:56.000]  我們接下來的一年
[00:03:56.000 --> 00:03:58.000]  鼓勵各位看一本書
[00:03:58.000 --> 00:04:02.000]  就是楊石昌牧師所寫的那本「照明」
[00:04:02.000 --> 00:04:05.000]  以生命回應上帝的召喚
[00:04:05.000 --> 00:04:09.000]  我們大部分的概念都是從那裡而來
[00:04:09.000 --> 00:04:13.000]  祂接下來9月29日也會前來跟我們分享
[00:04:13.000 --> 00:04:15.000]  或者跟我們交流一下
[00:04:15.000 --> 00:04:16.000]  祂怎樣看「照明」
[00:04:16.000 --> 00:04:19.000]  幫助弟兄姊妹解決心裡的疑問
[00:04:19.000 --> 00:04:20.000]  如果有人問你
[00:04:20.000 --> 00:04:22.000]  人是怎樣來的?
[00:04:22.000 --> 00:04:25.000]  你會怎樣回答呢?
[00:04:25.000 --> 00:04:26.000]  人是怎樣來的?
[00:04:26.000 --> 00:04:27.000]  石頭爆的
[00:04:27.000 --> 00:04:29.000]  你問媽媽怎樣來的時候
[00:04:29.000 --> 00:04:31.000]  媽媽說:我生你的街邊汁的
[00:04:31.000 --> 00:04:34.000]  怎樣說人是進化而來的呢?
[00:04:34.000 --> 00:04:37.000]  然後進化你看你的樣子就知道了
[00:04:37.000 --> 00:04:38.000]  人是怎樣來的呢?
[00:04:38.000 --> 00:04:40.000]  看完基督徒我們就知道了
[00:04:40.000 --> 00:04:41.000]  我們基督徒就會回答
[00:04:41.000 --> 00:04:42.000]  人是怎樣來的呢?
[00:04:42.000 --> 00:04:44.000]  上帝創造而來
[00:04:44.000 --> 00:04:45.000]  但是上帝創造而來
[00:04:45.000 --> 00:04:47.000]  如果我們真的這樣相信
[00:04:47.000 --> 00:04:50.000]  其實對我們有什麼重要性呢?
[00:04:50.000 --> 00:04:53.000]  我們是上帝創造而來的時候
[00:04:53.000 --> 00:04:54.000]  你真的這樣相信
[00:04:54.000 --> 00:04:56.000]  我就要告訴弟兄姊妹
[00:04:56.000 --> 00:04:58.000]  你知道自己是由上帝創造而來
[00:04:58.000 --> 00:04:59.000]  你就會明白
[00:04:59.000 --> 00:05:02.000]  原來你的人生是有使命的
[00:05:02.000 --> 00:05:04.000]  你的人生是有價值的
[00:05:04.000 --> 00:05:07.000]  你的人生也是充滿著
[00:05:07.000 --> 00:05:09.000]  從上帝而來的能力
[00:05:09.000 --> 00:05:11.000]  這是今天的訊息
[00:05:11.000 --> 00:05:15.000]  當你知道自己是從上帝創造而來的時候
[00:05:15.000 --> 00:05:16.000]  你就會明白
[00:05:16.000 --> 00:05:18.000]  你的人生是有使命的
[00:05:18.000 --> 00:05:20.000]  你的人生是有價值的
[00:05:20.000 --> 00:05:22.000]  你的人生並且原來有足夠的能力
[00:05:22.000 --> 00:05:23.000]  是上帝賦予給你的
[00:05:23.000 --> 00:05:25.000]  使你行完你人世的路程
[00:05:25.000 --> 00:05:28.000]  完成上帝給你的使命
[00:05:28.000 --> 00:05:30.000]  交代一下經文背景
[00:05:30.000 --> 00:05:31.000]  經文背景呢
[00:05:31.000 --> 00:05:33.000]  剛才我們看的
[00:05:33.000 --> 00:05:37.000]  上帝他用六日創造天地
[00:05:37.000 --> 00:05:40.000]  原來創世的重點不是在創造的過程
[00:05:40.000 --> 00:05:41.000]  我們常常想記住
[00:05:41.000 --> 00:05:42.000]  第一天做什麼 第二天做什麼
[00:05:42.000 --> 00:05:43.000]  第三天做什麼
[00:05:43.000 --> 00:05:46.000]  原來在這個泡泡裡面
[00:05:46.000 --> 00:05:48.000]  介紹給大家看的是什麼呢
[00:05:48.000 --> 00:05:50.000]  一對一對一對的
[00:05:50.000 --> 00:05:53.000]  這個背景上用六日創造天地
[00:05:53.000 --> 00:05:55.000]  你可以看到第一天上主做光
[00:05:55.000 --> 00:05:57.000]  原來第四天他又做光體
[00:05:57.000 --> 00:06:01.000]  要來管理白晝和黑夜
[00:06:01.000 --> 00:06:03.000]  第二天上主做空氣
[00:06:03.000 --> 00:06:06.000]  將水聚在一起
[00:06:06.000 --> 00:06:08.000]  上高那個就叫做天空
[00:06:08.000 --> 00:06:11.000]  第五天他又做海洋
[00:06:11.000 --> 00:06:13.000]  釀那些魚
[00:06:13.000 --> 00:06:15.000]  做了海洋之後
[00:06:15.000 --> 00:06:18.000]  那些魚可以在裡面滋生 生長
[00:06:18.000 --> 00:06:21.000]  第三天海洋 陸地
[00:06:21.000 --> 00:06:25.000]  然後用地上的昆蟲 走獸
[00:06:25.000 --> 00:06:26.000]  可以來爬行
[00:06:26.000 --> 00:06:28.000]  人都在那天來被造
