
[00:00:00.000 --> 00:00:05.360]  大家一定都知道這個以巴戰衝突已經非常的久了
[00:00:05.360 --> 00:00:10.920]  那尤其是這個2023年的10月7號的這個戰爭
[00:00:10.920 --> 00:00:14.520]  有一群在以色列一個Kibbutz
[00:00:14.520 --> 00:00:15.920]  就是屯墾區
[00:00:15.920 --> 00:00:20.760]  有這樣子的一個音樂節的一個活動
[00:00:20.760 --> 00:00:22.680]  那剛好就
[00:00:22.680 --> 00:00:23.200]  不是
[00:00:23.200 --> 00:00:28.720]  在那個時候就有很多的哈瑪斯的武裝分子都衝進去了
[00:00:28.720 --> 00:00:32.720]  就屠殺然後這個攻擊這個平民百姓
[00:00:32.720 --> 00:00:36.320]  然後還綁架了兩三百位的人質
[00:00:36.320 --> 00:00:38.320]  把他們綁架走
[00:00:38.320 --> 00:00:39.160]  所以這個事情
[00:00:39.160 --> 00:00:41.720]  那當然以色列當然不會坐視不管
[00:00:41.720 --> 00:00:42.720]  所以他們就開始
[00:00:42.720 --> 00:00:44.600]  這個先從轟炸開始
[00:00:44.600 --> 00:00:48.280]  然後後面再是有這個地面部隊的進駐
[00:00:48.280 --> 00:00:50.400]  然後就開始地面的戰爭
[00:00:50.400 --> 00:00:51.960]  一打就打到今年
[00:00:51.960 --> 00:00:55.240]  去年的這個2025年的1月19號
[00:00:55.240 --> 00:00:56.840]  有個停火的協議
[00:00:56.840 --> 00:00:58.240]  大家還蠻開心的
[00:00:58.240 --> 00:01:00.400]  就說哇終於這個戰爭打了快兩年
[00:01:00.400 --> 00:01:01.800]  終於結束了
[00:01:01.800 --> 00:01:05.240]  沒想到這個戰爭的不到兩個月就就破局了
[00:01:05.240 --> 00:01:06.440]  然後就繼續打打打
[00:01:06.440 --> 00:01:09.840]  而且這個這一次的這個
[00:01:09.840 --> 00:01:12.680]  戰爭的也更加的這個殘酷
[00:01:12.680 --> 00:01:16.720]  也有很多的這個這個這個饑荒的發生這樣子
[00:01:16.720 --> 00:01:17.640]  所以
[00:01:17.640 --> 00:01:18.720]  就是上面的新聞
[00:01:18.720 --> 00:01:21.600]  我想大家都很多人都有看到了
[00:01:21.600 --> 00:01:24.360]  那只要是戰爭
[00:01:24.360 --> 00:01:25.840]  就會有什麼
[00:01:25.840 --> 00:01:26.680]  有死亡
[00:01:26.680 --> 00:01:27.360]  對不對
[00:01:27.360 --> 00:01:28.800]  有戰爭就會有死亡
[00:01:28.800 --> 00:01:30.480]  那所以這張照片
[00:01:30.480 --> 00:01:34.120]  拿到了去年的這個國際攝影媒體的
[00:01:34.120 --> 00:01:36.760]  這個這個最佳的攝影獎
[00:01:36.760 --> 00:01:38.200]  那它是一個什麼照片
[00:01:38.200 --> 00:01:40.400]  它是一個這個加拿大走廊一個媽媽
[00:01:40.400 --> 00:01:43.880]  他抱著他的女兒的屍體的一個照片
[00:01:43.880 --> 00:01:46.680]  你可以看到大概這個就像那個我們聖經裡面講到
[00:01:46.680 --> 00:01:47.800]  在中東的地方
[00:01:47.800 --> 00:01:49.240]  很多這個死去的人
[00:01:49.240 --> 00:01:51.280]  他們會用這個白布來包裹他
[00:01:51.280 --> 00:01:52.760]  就像這個照片一樣
[00:01:52.760 --> 00:01:54.960]  所以大概這個小孩大概是10歲
[00:01:54.960 --> 00:01:58.640]  這個10多歲這樣子的年紀
[00:01:58.640 --> 00:02:01.520]  那大家說為什麼這樣照片可以得獎呢
[00:02:01.520 --> 00:02:03.600]  那這個我又看不到他
[00:02:03.600 --> 00:02:05.560]  但是也也許就是因為看不到他
[00:02:05.560 --> 00:02:07.720]  所以無聲勝有聲
[00:02:07.720 --> 00:02:08.440]  無聲勝有聲
[00:02:08.440 --> 00:02:11.000]  就是你不知道這媽媽到底他在哭
[00:02:11.000 --> 00:02:12.560]  還是他在憤怒
[00:02:12.560 --> 00:02:14.040]  還是他在流眼淚
[00:02:14.040 --> 00:02:16.160]  還是他已經沒有眼淚可以流了
[00:02:16.160 --> 00:02:16.880]  但不管怎麼樣
[00:02:16.880 --> 00:02:17.560]  你看到這照片
[00:02:17.560 --> 00:02:21.720]  你就可以感受到就是一個這個這個這個戰爭的殘酷
[00:02:21.720 --> 00:02:23.400]  還有一個父母
[00:02:23.400 --> 00:02:28.240]  就是他失去小孩的這樣子的一個一個一個心碎的一個一個一個感情
[00:02:28.240 --> 00:02:28.800]  這樣子
[00:02:28.800 --> 00:02:33.040]  他有一個一個一個情感氛圍在那邊
[00:02:33.040 --> 00:02:35.920]  所以根據這個聯合國的這個統計
[00:02:35.920 --> 00:02:38.120]  當然很多人說聯合國是哈瑪士的走狗啊
[00:02:38.120 --> 00:02:38.760]  什麼什麼的
[00:02:38.760 --> 00:02:39.680]  那不管怎麼樣
[00:02:39.680 --> 00:02:41.200]  就是聯合國公佈的
[00:02:41.200 --> 00:02:45.960]  他大概是85%的加薩走廊的這個土地呢
[00:02:45.960 --> 00:02:47.160]  是沒有辦法再住人了
[00:02:47.160 --> 00:02:49.800]  也就是說現在雖然停火了
[00:02:49.800 --> 00:02:51.640]  但是他回去他的家鄉
[00:02:51.640 --> 00:02:53.640]  可能他還沒辦法沒有地方住
[00:02:53.640 --> 00:02:56.320]  因為他的這個房子已經被炸毀了
[00:02:56.320 --> 00:02:59.680]  或者是他並沒有辦法這個這個重新像以前一樣
[00:02:59.680 --> 00:03:01.360]  這樣子有有個有個門呢
[00:03:01.360 --> 00:03:03.520]  或是有個冰箱這樣子
