
[00:00:00.000 --> 00:00:04.660]  今天跟大家講什麼呢?
[00:00:04.660 --> 00:00:09.560]  我就很想跟大家介紹一個年輕人
[00:00:09.560 --> 00:00:14.540]  這個年輕人17歲開始
[00:00:14.540 --> 00:00:18.940]  被他的大佬
[00:00:18.940 --> 00:00:22.400]  10個大佬出賣
[00:00:22.400 --> 00:00:24.940]  賣了去外國
[00:00:24.940 --> 00:00:28.100]  賣了去外國之後
[00:00:31.000 --> 00:00:33.700]  他就幫一個官來打工
[00:00:33.700 --> 00:00:37.380]  誰知道打打黑的時候
[00:00:37.380 --> 00:00:40.640]  因為他做事快 學事快
[00:00:40.640 --> 00:00:43.880]  雖然他完全不認識各個國
[00:00:43.880 --> 00:00:45.180]  很短的時間
[00:00:45.180 --> 00:00:47.900]  可能他已經全部通了
[00:00:47.900 --> 00:00:51.040]  很得到那個主人
[00:00:51.040 --> 00:00:53.020]  這個官的賞識
[00:00:53.020 --> 00:00:55.240]  就是得到他的賞識
[00:00:55.240 --> 00:00:56.840]  是因為這樣的緣故
[00:00:56.840 --> 00:00:59.480]  就用他開始做管家
[00:01:00.040 --> 00:01:01.040]  做管家的職份
[00:01:01.040 --> 00:01:04.200]  做了管家的時候
[00:01:04.200 --> 00:01:06.560]  這個官就越來越放心
[00:01:06.560 --> 00:01:08.560]  把全部的事情
[00:01:08.560 --> 00:01:11.000]  全部交給他
[00:01:11.000 --> 00:01:14.000]  除了一個就是他太太
[00:01:14.000 --> 00:01:15.980]  因為這個只是他太太
[00:01:15.980 --> 00:01:18.100]  全部的事情都交給他管理
[00:01:18.100 --> 00:01:19.800]  所以這個官對他家裡的事情
[00:01:19.800 --> 00:01:21.060]  全部都不知道
[00:01:21.060 --> 00:01:22.400]  全部都是他知道
[00:01:22.400 --> 00:01:23.940]  這個年輕人知道的
[00:01:23.940 --> 00:01:26.300]  誰知道
[00:01:26.300 --> 00:01:28.980]  惹禍上身就是
[00:01:28.980 --> 00:01:31.520]  這個官的太太都看中他
[00:01:31.520 --> 00:01:33.900]  所以經常想引誘他
[00:01:33.900 --> 00:01:36.160]  就是引誘他的緣故
[00:01:36.160 --> 00:01:38.660]  找了一天沒有人在家裡
[00:01:38.660 --> 00:01:40.000]  盡量
[00:01:40.000 --> 00:01:43.940]  這位年輕人盡量都想避開
[00:01:43.940 --> 00:01:45.940]  他知道他的心
[00:01:45.940 --> 00:01:47.520]  其實都講明了
[00:01:47.520 --> 00:01:49.080]  就是想跟他上床
[00:01:49.080 --> 00:01:51.560]  他知道他這個事情之後
[00:01:51.560 --> 00:01:53.560]  就是他在哪裡他就離開
[00:01:53.560 --> 00:01:54.560]  不在那裡
[00:01:54.560 --> 00:01:56.920]  就是一路避避避避避
[00:01:56.920 --> 00:01:58.380]  誰知道有一天
[00:01:58.800 --> 00:02:02.080]  這位主人的太太
[00:02:02.080 --> 00:02:04.080]  看見家裡沒有人
[00:02:04.080 --> 00:02:06.080]  就拉著約瑟
[00:02:06.080 --> 00:02:08.080]  拉著這個年輕人
[00:02:08.080 --> 00:02:10.080]  17歲而已
[00:02:10.080 --> 00:02:11.080]  拉著他
[00:02:11.080 --> 00:02:13.080]  要跟他上床
[00:02:13.080 --> 00:02:15.080]  他害怕得不得了
[00:02:15.080 --> 00:02:17.080]  然後告訴他
[00:02:17.080 --> 00:02:19.080]  我怎麼可以做這麼大的惡事
[00:02:19.080 --> 00:02:21.080]  來得罪神
[00:02:21.080 --> 00:02:22.080]  不行不行
[00:02:22.080 --> 00:02:24.080]  最後他就捉著他
[00:02:24.080 --> 00:02:26.080]  因為捉他的緣故
[00:02:26.080 --> 00:02:28.080]  他連外婆都不要了
[00:02:28.080 --> 00:02:30.080]  就放下就走了
[00:02:30.080 --> 00:02:32.080]  走了之後
[00:02:32.080 --> 00:02:34.080]  這個主人的太太
[00:02:34.080 --> 00:02:36.080]  就誣衊他
[00:02:36.080 --> 00:02:38.080]  就說他想
[00:02:38.080 --> 00:02:40.080]  對他
[00:02:40.080 --> 00:02:42.080]  有一些性的侵犯
