
[00:00:00.000 --> 00:00:06.000]  有一位校巴司機跟一班學生說
[00:00:06.000 --> 00:00:10.000]  剛剛考完試大家辛苦了
[00:00:10.000 --> 00:00:14.000]  我唱首歌讓大家輕鬆一下
[00:00:14.000 --> 00:00:19.000]  原來司機奇哥跟著去唱一首歌
[00:00:19.000 --> 00:00:22.000]  引起學生的歡欣
[00:00:22.000 --> 00:00:26.000]  他曾經任飛行員
[00:00:26.000 --> 00:00:31.000]  因為一次出勤意外傷了左腳
[00:00:31.000 --> 00:00:34.000]  失去了當飛行員的資格
[00:00:34.000 --> 00:00:38.000]  不能開飛機還有什麼意思呢
[00:00:38.000 --> 00:00:41.000]  他自己心裡這樣想
[00:00:41.000 --> 00:00:45.000]  嚮往自由的奇哥毅然退伍
[00:00:45.000 --> 00:00:51.000]  決定去開旅遊巴可以周圍去
[00:00:51.000 --> 00:00:56.000]  其實生活是精彩
[00:00:56.000 --> 00:01:00.000]  他的內心是空虛
[00:01:00.000 --> 00:01:04.000]  有一次公司財務緊張
[00:01:04.000 --> 00:01:08.000]  就以他行動不便為理由
[00:01:08.000 --> 00:01:16.000]  令到他沒機會出車
[00:01:16.000 --> 00:01:20.000]  他一時憤怒就離職
[00:01:20.000 --> 00:01:25.000]  驚覺到自己走投無路
[00:01:25.000 --> 00:01:29.000]  受著經濟壓力
[00:01:29.000 --> 00:01:33.000]  他想誰會請一個傷殘人士呢
[00:01:33.000 --> 00:01:37.000]  自暴自棄的奇哥
[00:01:37.000 --> 00:01:40.000]  因為經濟壓力
[00:01:40.000 --> 00:01:46.000]  唯有當校巴司機
[00:01:46.000 --> 00:01:51.000]  在開始做這個工作的時候
[00:01:51.000 --> 00:01:54.000]  他常常都很苦悶
[00:01:54.000 --> 00:01:56.000]  也想過想辭職
[00:01:56.000 --> 00:01:59.000]  直到有一次他送完學生
[00:01:59.000 --> 00:02:03.000]  把車停在停車場
[00:02:03.000 --> 00:02:07.000]  才發現還有一位學生在車裡
[00:02:07.000 --> 00:02:09.000]  這個學生說
[00:02:09.000 --> 00:02:11.000]  你不要趕我下車
[00:02:11.000 --> 00:02:14.000]  我沒地方去
[00:02:14.000 --> 00:02:18.000]  都不知道活著有什麼意思
[00:02:18.000 --> 00:02:23.000]  原來這個學生父母離異
[00:02:23.000 --> 00:02:25.000]  成績又不好
[00:02:25.000 --> 00:02:28.000]  孤立無援
[00:02:28.000 --> 00:02:36.000]  正在生命邊緣當中徘徊
[00:02:36.000 --> 00:02:40.000]  奇哥拍下這個學生的肩膀
[00:02:40.000 --> 00:02:45.000]  耐心傾聽他所說
[00:02:45.000 --> 00:02:48.000]  他就說
[00:02:48.000 --> 00:02:52.000]  人生雖然有無奈
[00:02:52.000 --> 00:02:57.000]  但你現在這個處境只是短暫
[00:02:57.000 --> 00:03:01.000]  把握時間來學習
[00:03:01.000 --> 00:03:06.000]  未來你會得到自由
[00:03:06.000 --> 00:03:10.000]  可以做你想做的事情
[00:03:10.000 --> 00:03:13.000]  學生似懂非懂
[00:03:13.000 --> 00:03:17.000]  但心情已經平復下來
[00:03:17.000 --> 00:03:21.000]  之後奇哥開始留心
[00:03:21.000 --> 00:03:25.000]  去關懷不同的學生
[00:03:25.000 --> 00:03:27.000]  學生都很喜歡
[00:03:27.000 --> 00:03:31.000]  和他來分享自己個人的經歷
[00:03:31.000 --> 00:03:37.000]  有時還請教奇哥的意見
[00:03:37.000 --> 00:03:42.000]  慢慢奇哥發覺自己愛上了這份工作
[00:03:42.000 --> 00:03:47.000]  這輛森林巴士
[00:03:47.000 --> 00:03:53.000]  他可以繼續用他的餘生
[00:03:53.000 --> 00:03:55.000]  去關心這些孩子
[00:03:55.000 --> 00:04:00.000]  讓他們生命得著冥項
[00:04:00.000 --> 00:04:05.000]  正如詩篇119篇50節說
[00:04:05.000 --> 00:04:09.000]  「卻甚至在患難中我也受了安慰
[00:04:09.000 --> 00:04:14.000]  因為你的英許賜我新生命」
[00:04:14.000 --> 00:04:23.000]  剛才我們看《瑪齊福音》一章18至25節的經文
[00:04:23.000 --> 00:04:30.000]  是說到耶穌故事的開始
[00:04:30.000 --> 00:04:37.000]  在1至17節提到耶穌的家譜
[00:04:37.000 --> 00:04:41.000]  祂在整個以色列歷史當中的地位
[00:04:41.000 --> 00:04:44.000]  而第18節開始之後
[00:04:44.000 --> 00:04:53.000]  說到神怎樣藉著同類瑪利亞懷孕生耶穌
[00:04:53.000 --> 00:04:56.000]  讓祂進入人類歷史當中
[00:04:56.000 --> 00:04:59.000]  成為我們的救主
[00:04:59.000 --> 00:05:03.000]  表明了拯救者和世人的不同
[00:05:03.000 --> 00:05:09.000]  故事裡的主角是耶穌和聖靈
[00:05:09.000 --> 00:05:15.000]  但故事裡有約瑟
[00:05:15.000 --> 00:05:21.000]  瑪利亞也扮演著重要的角色
[00:05:21.000 --> 00:05:26.000]  我們也可以知道天使出現
[00:05:26.000 --> 00:05:32.000]  首先看看耶穌的降生
[00:05:32.000 --> 00:05:36.000]  耶穌降生的故事這樣記錄
[00:05:36.000 --> 00:05:40.000]  他母親瑪利亞已經許配了約瑟
[00:05:40.000 --> 00:05:45.000]  就是說他們訂了婚
[00:05:45.000 --> 00:05:48.000]  約瑟未有迎娶瑪利亞
[00:05:48.000 --> 00:05:53.000]  原來猶太人結婚有三個部分
[00:05:53.000 --> 00:05:57.000]  首先是雙方家長同意親事
[00:05:57.000 --> 00:06:00.000]  然後公開婚信
[00:06:00.000 --> 00:06:05.000]  男女雙方起誓納約
[00:06:05.000 --> 00:06:08.000]  好像今天的訂婚一般
