
[00:00:00.000 --> 00:00:03.680]  我相信對很多人來說
[00:00:03.680 --> 00:00:08.480]  食物都是一個選擇
[00:00:08.480 --> 00:00:12.960]  有些人有些東西很喜歡吃
[00:00:12.960 --> 00:00:17.280]  有些東西不太喜歡吃
[00:00:17.280 --> 00:00:21.440]  甚至最好不要吃
[00:00:21.440 --> 00:00:23.920]  我舉一些例子
[00:00:23.920 --> 00:00:27.200]  對於不少外國人來說
[00:00:27.200 --> 00:00:29.520]  其實喜歡吃甜品
[00:00:29.520 --> 00:00:31.840]  不知你有沒有察覺
[00:00:31.840 --> 00:00:35.920]  但不太喜歡吃內臟
[00:00:35.920 --> 00:00:38.400]  鵝肝除外
[00:00:38.400 --> 00:00:42.880]  其他都會一般般
[00:00:42.880 --> 00:00:47.840]  小朋友一般都喜歡吃甜食
[00:00:47.840 --> 00:00:52.320]  不過苦瓜就不要了
[00:00:52.320 --> 00:00:54.960]  可能在座的弟兄姊妹
[00:00:54.960 --> 00:01:00.080]  到這個年紀一樣不喜歡吃苦瓜
[00:01:00.080 --> 00:01:05.920]  至於那些很大股氣味的食物
[00:01:05.920 --> 00:01:08.720]  就更加不用說了
[00:01:08.720 --> 00:01:11.760]  榴槤
[00:01:11.760 --> 00:01:18.000]  如果我兒子在家就會躲起來
[00:01:18.000 --> 00:01:29.600]  養貓可能會這樣
[00:01:29.600 --> 00:01:33.360]  這是網速的問題
[00:01:33.360 --> 00:01:40.320]  其實我相信不同的人有不同的喜好
[00:01:40.320 --> 00:01:43.760]  對於上帝來說
[00:01:43.760 --> 00:01:48.720]  我不知道大家知不知道他的喜好是怎樣
[00:01:48.720 --> 00:01:51.440]  其實透過聖靈
[00:01:51.440 --> 00:01:54.000]  透過上帝的道
[00:01:54.000 --> 00:01:56.800]  我們都會知道有什麼東西
[00:01:56.800 --> 00:02:02.480]  可以令到我們的上帝感到心滿意足
[00:02:02.480 --> 00:02:05.280]  心裏面充滿喜樂
[00:02:05.280 --> 00:02:06.560]  相反
[00:02:06.560 --> 00:02:10.000]  我們也可以透過聖靈和他的道
[00:02:10.000 --> 00:02:11.600]  我們能夠學習到
[00:02:11.600 --> 00:02:13.920]  究竟有什麼東西
[00:02:13.920 --> 00:02:16.400]  其實上帝是厭惡
[00:02:16.400 --> 00:02:17.920]  不喜歡的
[00:02:17.920 --> 00:02:24.240]  以致我們能夠過一個蒙主喜悅的生活
