
[00:00:00.000 --> 00:00:02.120]  這是我第二堂的訊息
[00:00:02.120 --> 00:00:05.200]  叫做「空的墳墓 空的心」
[00:00:05.200 --> 00:00:06.400]  如果我跟你說
[00:00:06.400 --> 00:00:07.800]  我發明了一種藥
[00:00:07.800 --> 00:00:14.840]  是專門來治療N11H23的病菌的
[00:00:14.840 --> 00:00:17.200]  你會有什麼反應呢?
[00:00:17.200 --> 00:00:21.120]  你知道什麼是N11H23嗎?
[00:00:21.120 --> 00:00:23.320]  因為還沒有
[00:00:23.320 --> 00:00:25.440]  那你覺得你發明這個藥做什麼呢?
[00:00:25.440 --> 00:00:26.920]  還沒有這個病菌
[00:00:26.920 --> 00:00:28.960]  沒有需要就沒有供應
[00:00:28.960 --> 00:00:30.440]  有需要就有供應
[00:00:30.440 --> 00:00:31.760]  supply and demand
[00:00:31.760 --> 00:00:32.520]  是不是?
[00:00:32.520 --> 00:00:34.680]  沒有需要你就不需要發明這種藥
[00:00:34.680 --> 00:00:36.560]  有需要就發明這種藥
[00:00:36.560 --> 00:00:40.520]  「空的墳墓」是為了「空的心」而有的
[00:00:40.520 --> 00:00:43.720]  耶穌的復活是為了你和祂的需要而有的
[00:00:43.720 --> 00:00:45.640]  基督教有兩大節日
[00:00:45.640 --> 00:00:47.040]  一個節日叫做復活節
[00:00:47.040 --> 00:00:49.120]  一個節日叫做聖誕節
[00:00:49.120 --> 00:00:51.240]  聖誕節是紀念耶穌的來
[00:00:51.240 --> 00:00:52.920]  復活節是紀念耶穌的去
[00:00:52.920 --> 00:00:54.560]  這兩個節日相當重要
[00:00:54.560 --> 00:00:55.720]  耶穌來的時候
[00:00:55.720 --> 00:00:56.720]  身在馬槽
[00:00:56.720 --> 00:00:59.200]  耶穌走的時候死在十家
[00:00:59.200 --> 00:01:01.560]  但是雖然耶穌死在十家
[00:01:01.560 --> 00:01:03.560]  墳墓不能夠將祂留住
[00:01:03.560 --> 00:01:05.760]  祂留下了一個空的墳墓
[00:01:05.760 --> 00:01:07.960]  耶穌來不是無緣無故的
[00:01:07.960 --> 00:01:10.240]  耶穌走也不是無緣無故
