
[00:00:00.000 --> 00:00:02.000]  各位來賓主內的弟兄姊妹,早晨
[00:00:02.000 --> 00:00:04.900]  我們今天會繼續去看
[00:00:04.900 --> 00:00:06.900]  《提摩太后書》最後一章
[00:00:06.900 --> 00:00:09.020]  我們當中都
[00:00:09.020 --> 00:00:12.080]  其實這個趁疫情之後
[00:00:12.080 --> 00:00:14.780]  有一個天氣還是比較好的時候
[00:00:14.780 --> 00:00:16.780]  很多弟兄姊妹都會去旅行
[00:00:16.780 --> 00:00:20.540]  因為當中我們都有一班退休的人士
[00:00:20.540 --> 00:00:22.240]  或者是退休年齡的弟兄姊妹
[00:00:22.240 --> 00:00:24.240]  他們都會選擇這個很好的機會
[00:00:24.240 --> 00:00:25.280]  去走一趟
[00:00:25.280 --> 00:00:27.080]  這個是非常好的事情
[00:00:27.080 --> 00:00:29.080]  我們很多時候就是
[00:00:29.080 --> 00:00:31.080]  就算我自己都
[00:00:31.080 --> 00:00:34.300]  譬如當中的年輕人找到一份工作的時候
[00:00:34.300 --> 00:00:39.020]  都會說這份工作有什麼退休的福利
[00:00:39.020 --> 00:00:40.020]  福利的,對吧
[00:00:40.020 --> 00:00:42.020]  又計算一下有沒有401K
[00:00:42.020 --> 00:00:45.600]  又計算一下有沒有退休的工款
[00:00:45.600 --> 00:00:49.360]  或者各樣的儲蓄戶口的計劃
[00:00:49.360 --> 00:00:51.360]  甚至有些叫退休金
[00:00:51.360 --> 00:00:53.360]  如果還是打政府工的
[00:00:53.360 --> 00:00:54.560]  都有退休金
[00:00:54.560 --> 00:00:56.560]  就會計算一下
[00:00:56.560 --> 00:00:59.480]  會不會將來退休的事情會怎樣過呢
[00:00:59.480 --> 00:01:01.480]  就算我來到明州的時候
[00:01:01.480 --> 00:01:03.480]  銀行都會問我
[00:01:03.480 --> 00:01:05.480]  你轉不轉你的退休戶口過來
[00:01:05.480 --> 00:01:06.480]  這個戶口啊
[00:01:06.480 --> 00:01:08.480]  因為我在這裡做這個按揭
[00:01:08.480 --> 00:01:10.480]  不如做在一起吧
[00:01:10.480 --> 00:01:12.480]  給我計算一下
[00:01:12.480 --> 00:01:14.480]  究竟我們退休的時候
[00:01:14.480 --> 00:01:18.480]  到那個時候
[00:01:18.480 --> 00:01:20.480]  我們究竟怎樣安排我們的居所
[00:01:20.480 --> 00:01:22.480]  怎樣安排我們的生活
[00:01:22.480 --> 00:01:24.480]  就算是醫療也是
[00:01:24.480 --> 00:01:26.480]  我們安排我們醫療的情況
[00:01:26.480 --> 00:01:28.480]  我們會不會去護老院那裡住啊
[00:01:28.480 --> 00:01:30.480]  或者是跟家人一起住啊
[00:01:30.480 --> 00:01:32.480]  各樣的安排
[00:01:32.480 --> 00:01:34.480]  我們都會在這裡思考
[00:01:34.480 --> 00:01:36.480]  究竟我們怎樣去處理呢
[00:01:36.480 --> 00:01:38.480]  這些是正常的事情
[00:01:38.480 --> 00:01:40.480]  因為我們當然要知道
[00:01:40.480 --> 00:01:42.480]  我們有不同階段的時候
[00:01:42.480 --> 00:01:44.480]  有不同的生活
[00:01:44.480 --> 00:01:46.480]  就算我們在屬靈的階段上面
[00:01:46.480 --> 00:01:47.480]  層面上面
[00:01:47.480 --> 00:01:49.480]  我們都遇到很多重要的決定
[00:01:49.480 --> 00:01:52.480]  有時這些決定是造成我們的壓力
[00:01:52.480 --> 00:01:55.480]  究竟我們怎樣照顧我們的年長的家人
[00:01:55.480 --> 00:01:58.480]  他們可能需要照顧
[00:01:58.480 --> 00:02:00.480]  有病痛的那些
[00:02:00.480 --> 00:02:02.480]  究竟我們怎樣去安排
[00:02:02.480 --> 00:02:08.480]  跟自己的親生弟兄弟妹妹
[00:02:08.480 --> 00:02:11.480]  安排誰照顧我們的父母呢
[00:02:11.480 --> 00:02:13.480]  或者安排處理怎樣做法呢
[00:02:13.480 --> 00:02:16.480]  所以有很多這些細節的事情
[00:02:16.480 --> 00:02:18.480]  我們都會想到
[00:02:18.480 --> 00:02:21.480]  造成對基督徒的生活都有少少的壓力
[00:02:21.480 --> 00:02:22.480]  無形中的壓力
[00:02:22.480 --> 00:02:24.480]  究竟我們怎樣安排
[00:02:24.480 --> 00:02:27.480]  跟教會的侍奉可能會有衝突
[00:02:27.480 --> 00:02:29.480]  有時到了一個地步
[00:02:29.480 --> 00:02:32.480]  究竟自己的能力會去到哪裡呢
[00:02:32.480 --> 00:02:36.480]  我們怎樣去繼續遇到這些困難
[00:02:36.480 --> 00:02:38.480]  或者壓力的時候
[00:02:38.480 --> 00:02:39.480]  我們怎樣去做呢
[00:02:39.480 --> 00:02:40.480]  到了晚年的時候
[00:02:40.480 --> 00:02:43.480]  我們從提摩太后書
[00:02:43.480 --> 00:02:44.480]  一直提醒我們
[00:02:44.480 --> 00:02:46.480]  就算保羅自己本身
[00:02:46.480 --> 00:02:49.480]  保羅自己本身已經去到一個地步
[00:02:49.480 --> 00:02:50.480]  寫提摩太后書
[00:02:50.480 --> 00:02:52.480]  我都提過好幾次了
[00:02:52.480 --> 00:02:56.480]  他已經去到監獄裡面寫出一封書信
[00:02:56.480 --> 00:03:00.480]  去到所謂的最後的
[00:03:00.480 --> 00:03:04.480]  跟他的弟兄姊妹所分享的訊息
[00:03:04.480 --> 00:03:06.480]  究竟他是分享什麼訊息呢
[00:03:06.480 --> 00:03:08.480]  到了臨番天家的時候
[00:03:08.480 --> 00:03:13.480]  他們保羅那時候在羅馬獄中等候處決
