
[00:00:00.000 --> 00:00:02.000]  兩姐妹午安
[00:00:02.000 --> 00:00:09.360]  生老病死不單單是人生必經的階段
[00:00:09.360 --> 00:00:12.720]  亦都是無人能夠替代的
[00:00:12.720 --> 00:00:16.320]  當疾病來臨的時候
[00:00:16.320 --> 00:00:20.720]  其實不是單單影響我們身體的狀況
[00:00:20.720 --> 00:00:24.960]  整個的身心靈都是受到衝擊
[00:00:24.960 --> 00:00:30.760]  還記得初初加入港福服務沒多久
[00:00:30.760 --> 00:00:35.960]  有一次膝蓋的軟骨有事很痛
[00:00:35.960 --> 00:00:38.440]  要去看醫生
[00:00:38.440 --> 00:00:44.960]  在當中體會到原來能夠行動自如
[00:00:44.960 --> 00:00:46.960]  都是一個恩典
[00:00:46.960 --> 00:00:49.480]  那次要去銅鑼灣
[00:00:49.480 --> 00:00:56.040]  在地鐵的月台要走上地面
[00:00:56.040 --> 00:00:59.560]  那次才發覺原來有這麼多樓梯
[00:00:59.560 --> 00:01:01.200]  好像平時不太察覺
[00:01:01.200 --> 00:01:05.400]  痛起來就不斷的走、停
[00:01:05.400 --> 00:01:10.280]  過了超過15分鐘才捱到上地面
[00:01:10.280 --> 00:01:14.280]  在當中這個小小的經驗
[00:01:14.280 --> 00:01:19.400]  相信對於過去這麼多年在港福堂
[00:01:19.400 --> 00:01:21.680]  見到很多不同的弟兄姊妹
[00:01:21.680 --> 00:01:26.480]  以及你們的家人在疾病裡的掙扎
[00:01:26.480 --> 00:01:32.080]  這個真是很小很小的經歷
[00:01:32.080 --> 00:01:36.080]  在兩個星期之前的主日
[00:01:36.080 --> 00:01:39.280]  我們就思想過貧窮的問題
[00:01:39.280 --> 00:01:42.880]  其實不單單是貧窮、病疾
[00:01:42.880 --> 00:01:45.880]  都很需要耶穌
[00:01:45.880 --> 00:01:49.880]  所以當我今天按照教會的安排
[00:01:49.880 --> 00:01:54.880]  繼續思想關顧病患者這個主題的時候
[00:01:54.880 --> 00:01:59.880]  其實我就想跟大家看得闊一點
[00:01:59.880 --> 00:02:05.880]  不單只是說我們沒有病沒有痛的時候
[00:02:05.880 --> 00:02:10.880]  怎樣關心那些在病疾裡的朋友
[00:02:10.880 --> 00:02:12.880]  家人弟兄姊妹
[00:02:12.880 --> 00:02:14.880]  而是進一步想一想
[00:02:14.880 --> 00:02:18.880]  如果病的是我
[00:02:18.880 --> 00:02:22.880]  我應該怎樣面對病疾的挑戰
[00:02:22.880 --> 00:02:25.880]  主耶穌又怎樣看病的呢
[00:02:25.880 --> 00:02:28.880]  當中有什麼出路呢
[00:02:28.880 --> 00:02:30.880]  我將會用一個
[00:02:30.880 --> 00:02:35.880]  耶穌醫治患有眼疾的技術
[00:02:35.880 --> 00:02:39.880]  去跟大家分享這個課題
[00:02:39.880 --> 00:02:42.880]  經文就是剛才大家讀過的那一段
[00:02:42.880 --> 00:02:46.880]  馬夫音第十章四十六至五十二節
[00:02:46.880 --> 00:02:49.880]  這個事件同樣出現在
[00:02:49.880 --> 00:02:52.880]  馬達方二十章二十九至三十四節
[00:02:52.880 --> 00:02:56.880]  和路加方第十八章三十五至四十三節
[00:02:56.880 --> 00:02:58.880]  所以當我講的時候
[00:02:58.880 --> 00:03:02.880]  都會提到這兩段相關的經文
[00:03:02.880 --> 00:03:06.880]  如果你有聖經在手的話
[00:03:06.880 --> 00:03:08.880]  你揭前一點
[00:03:08.880 --> 00:03:13.880]  或者你看PowerPoint的表格都會知道
[00:03:13.880 --> 00:03:19.880]  在馬方第十章三十二至三十四節
[00:03:19.880 --> 00:03:22.880]  其實這裡是講到
[00:03:22.880 --> 00:03:27.880]  耶穌第三次預言自己受難
[00:03:27.880 --> 00:03:32.880]  沒多久他將要進入耶路撒冷
[00:03:32.880 --> 00:03:37.880]  而耶利哥就是他進入耶路撒冷之前
[00:03:37.880 --> 00:03:39.880]  最後那一站
