
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹們早
[00:00:02.000 --> 00:00:07.000]  我們繼續來看出埃及記
[00:00:07.000 --> 00:00:12.000]  我記得在出埃及記第一我們講到
[00:00:12.000 --> 00:00:14.000]  神興起了摩西
[00:00:14.000 --> 00:00:20.000]  來成就神對亞伯拉罕的應許
[00:00:20.000 --> 00:00:24.000]  要帶領以色列人離開埃及
[00:00:26.000 --> 00:00:31.000]  我們也講到神的應許是絕不落空的
[00:00:31.000 --> 00:00:40.000]  出埃及記二我們講到神降下死災
[00:00:40.000 --> 00:00:46.000]  使得法老王害怕而讓以色列人離開
[00:00:46.000 --> 00:00:51.000]  我們也講到漁業節跟復活節的關係
[00:00:53.000 --> 00:00:57.000]  今天我們來看看以色列人離開埃及後
[00:00:57.000 --> 00:00:59.000]  所發生的事情
[00:00:59.000 --> 00:01:02.000]  那麼先做禱告
[00:01:02.000 --> 00:01:06.000]  全能慈悲的父神
[00:01:06.000 --> 00:01:08.000]  三觀宇宙的主
[00:01:08.000 --> 00:01:10.000]  感謝你
[00:01:10.000 --> 00:01:13.000]  你是聽禱告的神
[00:01:13.000 --> 00:01:16.000]  你是保守我們的神
[00:01:16.000 --> 00:01:19.000]  你是持平安的神
[00:01:19.000 --> 00:01:22.000]  你是愛我們的父
[00:01:23.000 --> 00:01:26.000]  你的應許絕不落空
[00:01:26.000 --> 00:01:30.000]  我們只要把我們的難處交在你的手中
[00:01:30.000 --> 00:01:33.000]  你必爲我們征戰
[00:01:33.000 --> 00:01:36.000]  感謝神
[00:01:36.000 --> 00:01:39.000]  正如史陀保羅所講的
[00:01:39.000 --> 00:01:42.000]  神要幫助我們
[00:01:42.000 --> 00:01:45.000]  誰能抵擋我們呢
[00:01:45.000 --> 00:01:47.000]  父神啊
[00:01:47.000 --> 00:01:50.000]  在我們人生的旅途中
[00:01:51.000 --> 00:01:53.000]  你是我們隨時的幫助
[00:01:53.000 --> 00:01:56.000]  我們感謝你
[00:01:56.000 --> 00:02:00.000]  今天我們來到你的殿中敬拜你
[00:02:00.000 --> 00:02:03.000]  獻上我們的感謝
[00:02:03.000 --> 00:02:06.000]  獻上我們的讚美
[00:02:06.000 --> 00:02:08.000]  父神啊
[00:02:08.000 --> 00:02:13.000]  今天我們也將每一位弟兄姐妹帶到你面前
[00:02:13.000 --> 00:02:17.000]  我們將身體上有難處的
[00:02:17.000 --> 00:02:20.000]  生活上有難處的
[00:02:21.000 --> 00:02:23.000]  工作上有難處的
[00:02:23.000 --> 00:02:26.000]  學業上有難處的
[00:02:26.000 --> 00:02:29.000]  家庭中有難處的
[00:02:29.000 --> 00:02:31.000]  都帶在你的手中
[00:02:31.000 --> 00:02:34.000]  求你爲我們征戰
[00:02:34.000 --> 00:02:38.000]  那我們在一切事上都得勝有餘
[00:02:38.000 --> 00:02:41.000]  將榮耀歸給你
[00:02:41.000 --> 00:02:43.000]  是的
[00:02:43.000 --> 00:02:46.000]  那奉祖來的 明來的
[00:02:46.000 --> 00:02:48.000]  是應當稱重的
[00:02:48.000 --> 00:02:50.000]  感謝主
[00:02:51.000 --> 00:02:54.000]  看顧保守今天的聚會
[00:02:54.000 --> 00:02:58.000]  願我們口中的言語
[00:02:58.000 --> 00:03:00.000]  心裏的意念
[00:03:00.000 --> 00:03:02.000]  都蒙你的願了
[00:03:02.000 --> 00:03:05.000]  奉我主耶穌基督的聖名
[00:03:05.000 --> 00:03:07.000]  阿們
[00:03:07.000 --> 00:03:11.000]  當地食災
[00:03:11.000 --> 00:03:14.000]  降到埃及人的時候
[00:03:14.000 --> 00:03:18.000]  埃及人把他們的金子銀子
[00:03:18.000 --> 00:03:20.000]  都給了以色列人
[00:03:21.000 --> 00:03:24.000]  要以色列人快點離開
[00:03:24.000 --> 00:03:26.000]  因爲埃及人不想
[00:03:26.000 --> 00:03:29.000]  再有災害臨到他們
[00:03:29.000 --> 00:03:34.000]  但是埃及人離開不久
[00:03:34.000 --> 00:03:36.000]  法老和他的臣僕
[00:03:36.000 --> 00:03:39.000]  就向百姓變心說
