
[00:00:00.000 --> 00:00:03.800]  在四年前2008年8月23日
[00:00:03.800 --> 00:00:06.840]  我在這裡講過一篇道
[00:00:06.840 --> 00:00:09.800]  那篇叫做《活潑的盼望》
[00:00:09.800 --> 00:00:14.800]  那時候我在用彼得前書一章三至七節
[00:00:14.800 --> 00:00:16.800]  可能你有少許懷疑
[00:00:16.800 --> 00:00:18.000]  是真的
[00:00:18.000 --> 00:00:23.200]  8月23日那篇叫做《活潑的盼望》
[00:00:23.200 --> 00:00:25.400]  因為通常我都在這裡分享過
[00:00:25.400 --> 00:00:26.600]  我有一個很好的習慣
[00:00:26.600 --> 00:00:28.600]  其實我每次講完一篇道
[00:00:28.600 --> 00:00:30.600]  我都會記下所有日子
[00:00:30.600 --> 00:00:32.600]  因為我怕重複
[00:00:32.600 --> 00:00:34.400]  有時去一些教會講了
[00:00:34.400 --> 00:00:36.200]  我不知道又用回那個題目
[00:00:36.200 --> 00:00:37.200]  那麼大件事
[00:00:37.200 --> 00:00:38.600]  所以我每次每一間教會
[00:00:38.600 --> 00:00:40.600]  我都會記下我講過什麼
[00:00:40.600 --> 00:00:43.000]  方便我自己查考
[00:00:43.000 --> 00:00:46.000]  那為什麼四年前我會講那篇道呢
[00:00:46.000 --> 00:00:47.600]  四年前那篇道當然大家都不記得
[00:00:47.600 --> 00:00:50.000]  我不看我自己都不記得我自己講了什麼
[00:00:50.000 --> 00:00:52.000]  四年前其實我就說
[00:00:52.000 --> 00:00:55.800]  人生總是有take two的可能
[00:00:55.800 --> 00:00:58.800]  就是說人生是有盼望的
[00:00:58.800 --> 00:01:02.200]  縱然我們在一個什麼的環境
[00:01:02.200 --> 00:01:04.200]  什麼的生命處境
[00:01:04.200 --> 00:01:06.000]  遇到什麼的情況
[00:01:06.000 --> 00:01:09.000]  甚或我們在這一刻有很大的罪
[00:01:09.000 --> 00:01:11.600]  甚或有很多事情我自己都接受不了
[00:01:11.600 --> 00:01:14.600]  我說人生是有take two的
[00:01:14.600 --> 00:01:19.000]  就是說上帝在什麼情況下
[00:01:19.000 --> 00:01:21.000]  都會接納我們
[00:01:21.000 --> 00:01:23.200]  為什麼那時候我這樣講呢
[00:01:23.200 --> 00:01:24.800]  那時候我講那篇道的時候
[00:01:24.800 --> 00:01:26.400]  我就引用了一個例子
[00:01:26.400 --> 00:01:28.200]  就是四年前
[00:01:28.200 --> 00:01:35.200]  劉翔因為傷退出了北京奧運的跨欄
[00:01:35.200 --> 00:01:38.800]  那時候我看回那篇講章我才記得
[00:01:38.800 --> 00:01:41.800]  那時候劉翔在8月23日
[00:01:41.800 --> 00:01:43.200]  當然已經跨不過了
[00:01:43.200 --> 00:01:45.200]  已經過了一點點的日子
[00:01:45.200 --> 00:01:48.600]  因為那時候京奧是8月8日開始的
[00:01:48.600 --> 00:01:49.600]  就是稿哭而忌
[00:01:49.600 --> 00:01:50.800]  因為中國人喜歡發
[00:01:50.800 --> 00:01:54.800]  8月8日8點就是京奧開幕典禮的成立
[00:01:54.800 --> 00:01:58.600]  劉翔那次傷了之後
[00:01:58.600 --> 00:02:02.800]  他之後就和他的對手羅伯斯
[00:02:02.800 --> 00:02:05.200]  就是今年戴著眼鏡的那個
[00:02:05.200 --> 00:02:07.400]  就下了一封戰書
[00:02:07.400 --> 00:02:09.200]  他說希望在明年
[00:02:09.200 --> 00:02:12.400]  明年就是2009年的世錦賽
[00:02:12.400 --> 00:02:14.400]  和四年之後的奧運會
[00:02:14.400 --> 00:02:16.200]  可以再決戰
[00:02:16.200 --> 00:02:17.800]  劉翔講過
[00:02:17.800 --> 00:02:19.600]  他仍然是昨天的劉翔
[00:02:19.600 --> 00:02:22.600]  他會比以前跑得更快
[00:02:22.600 --> 00:02:25.400]  我那時候用這個例子
[00:02:25.400 --> 00:02:27.200]  就是劉翔用這個例子
[00:02:27.200 --> 00:02:30.400]  劉翔說我下了一封戰書給羅伯斯
[00:02:30.400 --> 00:02:32.600]  我會昨天的劉翔
[00:02:32.600 --> 00:02:34.400]  明天的劉翔是一樣的時候
[00:02:34.400 --> 00:02:36.000]  他就是給自己一個盼望
[00:02:36.000 --> 00:02:36.800]  給自己一個盼望
[00:02:36.800 --> 00:02:39.600]  也給當時的中國人一個盼望
[00:02:39.600 --> 00:02:42.000]  劉翔是會回來的
[00:02:42.000 --> 00:02:45.800]  當然結果我們都看到
[00:02:45.800 --> 00:02:48.000]  他兩位沒有機會比賽
[00:02:48.000 --> 00:02:50.000]  劉翔就被傷了
[00:02:50.000 --> 00:02:51.400]  羅伯斯也被傷了
[00:02:51.400 --> 00:02:53.600]  終於他們兩個都沒有機會
[00:02:53.600 --> 00:02:56.200]  在四年後的今天去見面
[00:02:56.200 --> 00:03:00.000]  有很多人或者有些陰謀論的論者
[00:03:00.000 --> 00:03:02.000]  當然我也不是很贊成的
[00:03:02.000 --> 00:03:04.000]  沒有人會自己弄傷自己
[00:03:04.000 --> 00:03:07.600]  他說劉翔正是背負了一個
[00:03:07.600 --> 00:03:09.000]  在中國的上面
[00:03:09.000 --> 00:03:10.800]  這個陰謀論的說法
[00:03:10.800 --> 00:03:15.000]  他說劉翔實在背負了一個太大的
[00:03:15.000 --> 00:03:18.000]  盼望給中國人和給自己
[00:03:18.000 --> 00:03:21.400]  因為中國人實在對金牌
[00:03:21.400 --> 00:03:24.400]  是看得太過的重要
[00:03:24.400 --> 00:03:28.400]  而劉翔的金牌是比所有的金牌都重要的
[00:03:28.400 --> 00:03:29.400]  為什麼呢
[00:03:29.400 --> 00:03:30.200]  可能大家都知道
[00:03:30.200 --> 00:03:32.000]  其實現在如果在今年倫敦奧運會
[00:03:32.000 --> 00:03:33.400]  如果大家有看的話
[00:03:33.400 --> 00:03:35.800]  除了看那些肌肉男之外
[00:03:35.800 --> 00:03:37.400]  就是帥哥那些之外
[00:03:37.400 --> 00:03:40.400]  你發現在中國和美國的金牌上面
[00:03:40.400 --> 00:03:42.400]  差不多所有的範圍
[00:03:42.400 --> 00:03:47.000]  中國都可以和美國分庭抗禮
[00:03:47.000 --> 00:03:48.600]  叫做吧
[00:03:48.600 --> 00:03:49.600]  當然大球不可以
[00:03:49.600 --> 00:03:52.600]  大球即是足球、排球、籃球就不可以
[00:03:52.600 --> 00:03:55.000]  但是如果大家有看奧運的話
[00:03:55.000 --> 00:03:56.800]  你會發覺歷屆奧運
[00:03:56.800 --> 00:04:01.000]  中國仍然贏不了美國的地方在哪裡呢
[00:04:01.000 --> 00:04:02.800]  就是在田徑場
[00:04:02.800 --> 00:04:06.400]  所以劉翔在雅典奧運的這塊金牌
[00:04:06.400 --> 00:04:08.600]  遠比其他的金牌重要
[00:04:08.600 --> 00:04:10.200]  有很多陰謀論者就說
[00:04:10.200 --> 00:04:12.600]  劉翔實在背負太大壓力了
[00:04:12.600 --> 00:04:16.600]  所以他受傷
[00:04:16.600 --> 00:04:18.800]  是最好的做法
[00:04:18.800 --> 00:04:20.600]  輸不行
[00:04:20.600 --> 00:04:22.400]  不出來不行
[00:04:22.400 --> 00:04:24.800]  跨了個欄滾下就最理想了
[00:04:24.800 --> 00:04:27.400]  當然這個是陰謀論者的說法
[00:04:27.400 --> 00:04:28.600]  我不贊成
[00:04:28.600 --> 00:04:30.400]  他真的跟劍傷了
[00:04:30.400 --> 00:04:31.200]  沒得騙他
[00:04:31.200 --> 00:04:33.200]  真的斷了
[00:04:33.200 --> 00:04:35.400]  不過我想說的就是
[00:04:35.400 --> 00:04:38.600]  一個盼望的
[00:04:38.600 --> 00:04:42.000]  可以讓人繼續走下去
[00:04:42.000 --> 00:04:46.600]  但是也可以讓人有很大很大的壓力
[00:04:46.600 --> 00:04:48.000]  我那時候去說
[00:04:48.000 --> 00:04:49.800]  改編的道我自己會說
[00:04:49.800 --> 00:04:52.400]  當我們面對盼望
[00:04:52.400 --> 00:04:54.000]  甚麼可以讓我們盼望的時候
[00:04:54.000 --> 00:04:55.000]  跟大家重溫一下
[00:04:55.000 --> 00:04:56.400]  我自己也重溫一下
[00:04:56.400 --> 00:04:58.000]  我就說
[00:04:58.000 --> 00:05:00.200]  彼得前書說的就是
[00:05:00.200 --> 00:05:02.400]  主耶穌基督的復活
[00:05:02.400 --> 00:05:07.200]  正正是給我們人生一個最大盼望的動力
[00:05:07.200 --> 00:05:09.000]  我們還沒看到的十字架
[00:05:09.000 --> 00:05:10.600]  剛剛前面有一個
[00:05:10.600 --> 00:05:15.000]  我們基督教的十字架是沒有耶穌掛在上面的
[00:05:15.000 --> 00:05:18.200]  天主教的十字架是有耶穌掛在上面的
[00:05:18.200 --> 00:05:22.400]  我們基督教的十字架為甚麼沒有耶穌掛在上面呢
[00:05:22.400 --> 00:05:26.400]  其中一個最重要的象徵意義就是告訴我們
[00:05:26.400 --> 00:05:29.000]  耶穌是復活了
[00:05:29.000 --> 00:05:30.800]  他已經不是在十字架上面
[00:05:30.800 --> 00:05:32.400]  甚麼叫耶穌復活了
[00:05:32.400 --> 00:05:34.000]  如果大家熟悉聖經都知道
[00:05:34.000 --> 00:05:38.000]  耶穌的死是由一連串的不公義而造成的
[00:05:38.000 --> 00:05:39.600]  耶穌沒有做過錯事
[00:05:39.600 --> 00:05:42.000]  他幫邊緣群體
[00:05:42.000 --> 00:05:43.800]  他去傳福音、去醫治人
[00:05:43.800 --> 00:05:45.600]  但是最後
[00:05:45.600 --> 00:05:47.800]  當時擁有權力的人
[00:05:47.800 --> 00:05:51.400]  強行將耶穌釘在十字架的上面
[00:05:51.400 --> 00:05:53.600]  但是耶穌的復活
[00:05:53.600 --> 00:05:56.000]  彼得前書清楚講到
[00:05:56.000 --> 00:05:58.000]  耶穌的復活代表甚麼
[00:05:58.000 --> 00:06:01.800]  就是說黑暗、不公義、不公平
[00:06:01.800 --> 00:06:04.800]  最終甚或死亡
[00:06:04.800 --> 00:06:07.800]  最終在耶穌的身上都是戰勝
[00:06:07.800 --> 00:06:11.800]  這個是我們作為有信仰的人
[00:06:11.800 --> 00:06:13.400]  一個很大的盼望
[00:06:13.400 --> 00:06:16.000]  就是說我們的社會如何不公平
[00:06:16.000 --> 00:06:18.200]  我們的生命遇到如何的不公平
