
[00:00:00.000 --> 00:00:03.240]  弟兄姊妹,讓我們在聆聽主的說話以示
[00:00:03.240 --> 00:00:05.840]  我們一起再次以禱告
[00:00:05.840 --> 00:00:10.400]  預備我們的心思來迎接上帝的教訓
[00:00:10.400 --> 00:00:13.880]  父神多謝祢
[00:00:13.880 --> 00:00:18.560]  讓我們再次回到祢的啟示當中去學習
[00:00:18.560 --> 00:00:21.920]  穿著祢的僕人俄巴底牙
[00:00:21.920 --> 00:00:28.240]  透露出上主祢那份對於祢所愛的子民
[00:00:28.960 --> 00:00:33.120]  他們在這個地上所面對在屬靈上的種種挑戰
[00:00:33.120 --> 00:00:41.560]  以及在他們身邊所有其他縱然不是直接上帝的選民
[00:00:41.560 --> 00:00:44.840]  但他們陷在罪當中的光景
[00:00:44.840 --> 00:00:46.960]  上主祢同樣的關懷
[00:00:46.960 --> 00:00:53.280]  因主要求祢讓我們去體貼祢的心腸
[00:00:54.080 --> 00:01:01.520]  幫助我們能夠在這個地上,在這段時間能夠成為祢的見證
[00:01:01.520 --> 00:01:07.640]  能夠讓人見到我們的行事為人
[00:01:07.640 --> 00:01:14.080]  就能夠觸動他們去更多了解上主祢是怎樣的一位神
[00:01:14.080 --> 00:01:16.440]  求祢的帶領幫助
[00:01:16.440 --> 00:01:20.680]  讓無論是上還是下的每一個弟兄姊妹
[00:01:21.040 --> 00:01:25.280]  在聽的或者說的人的生命當中
[00:01:25.280 --> 00:01:28.760]  都能夠得蒙聖靈的引導
[00:01:28.760 --> 00:01:32.440]  禱告奉靠主耶穌基督得聖名自求
[00:01:32.440 --> 00:01:33.240]  阿們
[00:01:33.240 --> 00:01:37.640]  自從我們教會COVID之後
[00:01:37.640 --> 00:01:42.600]  搬回我們這個租的地方15號Library Lane之後
[00:01:42.600 --> 00:01:48.360]  我們一直都處於一個困難的狀態
[00:01:48.360 --> 00:01:49.560]  是什麼狀態呢?
[00:01:50.160 --> 00:01:53.680]  就是有關於這個地方怎樣可以繼續
[00:01:53.680 --> 00:02:02.600]  我們在互聯網上的事工的發展或者推廣
[00:02:02.600 --> 00:02:04.960]  這裡有一個最大的問題
[00:02:04.960 --> 00:02:06.160]  這個地點
[00:02:06.160 --> 00:02:09.200]  地方是非常好的,很老實的說
[00:02:09.200 --> 00:02:18.040]  但是我們收不到市政府他們那個無線網絡的服務
[00:02:18.760 --> 00:02:24.880]  因此就影響到自從在COVID的時候開始有的網絡直播
[00:02:24.880 --> 00:02:31.440]  及即時去做一些弟兄姊妹交流的方法
[00:02:31.440 --> 00:02:37.960]  我們曾經想過很多的技術性的問題
[00:02:37.960 --> 00:02:42.720]  譬如我們試過用手提電話的流動網絡
[00:02:42.720 --> 00:02:44.320]  不過很可惜
[00:02:44.320 --> 00:02:47.920]  我們所處在的這個地方裡面
[00:02:48.320 --> 00:02:52.200]  就屬於手提網絡的Dead Spot
[00:02:52.200 --> 00:02:54.440]  收不到訊號的
[00:02:54.440 --> 00:02:57.520]  因為訊號在這個地方進不來
[00:02:57.520 --> 00:03:00.920]  即使在室內或者室外也好
[00:03:00.920 --> 00:03:04.240]  你完全是收不到這裡的訊號的
[00:03:04.240 --> 00:03:06.520]  我們又想過
[00:03:06.520 --> 00:03:08.120]  如果是這樣的緣故
[00:03:08.120 --> 00:03:13.080]  不如我們嘗試用一些流動網絡的放大器
[00:03:13.080 --> 00:03:15.920]  所以你們過去這一年多裡面
[00:03:15.920 --> 00:03:18.720]  我們經常看到有些新的東西
[00:03:18.720 --> 00:03:20.360]  回來牧師又搞什麼
[00:03:20.360 --> 00:03:22.040]  就插在一起
[00:03:22.040 --> 00:03:23.400]  又不行
[00:03:23.400 --> 00:03:29.360]  因為加拿大的這些流動網絡的頻譜
[00:03:29.360 --> 00:03:30.680]  不是那麼輕易
[00:03:30.680 --> 00:03:36.320]  讓你那麼容易將它從室外帶進來去放大那個訊號
[00:03:36.320 --> 00:03:38.320]  我們又做不到
[00:03:38.320 --> 00:03:39.920]  於是乎我們又想過了
[00:03:39.920 --> 00:03:44.400]  不如找一條遠距離的天線
[00:03:45.000 --> 00:03:48.160]  我們買過也有兩條天線的了
[00:03:48.160 --> 00:03:49.840]  其中一條
[00:03:49.840 --> 00:03:52.520]  我們竟然發現到它收很遠了
[00:03:52.520 --> 00:03:54.200]  收很遠的那些就行
[00:03:54.200 --> 00:03:55.800]  收近的就不行
[00:03:55.800 --> 00:03:58.320]  但是收遠的那個就沒有我們的份
[00:03:58.320 --> 00:04:00.520]  因為那個不是市政府的網絡
[00:04:00.520 --> 00:04:02.680]  我們收到遠遠的都沒什麼作用
[00:04:02.680 --> 00:04:05.400]  所以又不行
[00:04:05.400 --> 00:04:09.080]  我後來就想無可想
[00:04:09.080 --> 00:04:12.400]  不如想用衛星網絡了
[00:04:12.400 --> 00:04:14.400]  但是大家知道了
[00:04:14.400 --> 00:04:17.000]  衛星網絡就不是便宜的東西
[00:04:17.000 --> 00:04:19.960]  教會又要花一筆錢每個月
[00:04:19.960 --> 00:04:21.960]  少數怕長計
[00:04:21.960 --> 00:04:27.120]  所以一直都搞搞搞到頭昏腦脹
[00:04:27.120 --> 00:04:30.480]  網絡這件事我覺得
[00:04:30.480 --> 00:04:33.320]  真是在這個年代很重要
[00:04:33.320 --> 00:04:37.360]  不過當我們去看俄巴底亞書的時候
[00:04:37.360 --> 00:04:39.960]  我就發現到我們的常主
[00:04:39.960 --> 00:04:42.360]  他的網絡是很厲害的
[00:04:42.360 --> 00:04:45.200]  尤其是他的雷達網
[00:04:45.200 --> 00:04:49.440]  他收信息的技術可以畫得非常準確
[00:04:49.440 --> 00:04:52.400]  因為他看的不只是外在的環境
[00:04:52.400 --> 00:04:55.640]  並且他能夠滲透人心
[00:04:55.640 --> 00:04:56.920]  有時候我這樣想
[00:04:56.920 --> 00:05:02.000]  如果我們教會可以有一個好像上帝那樣的雷達網
[00:05:02.000 --> 00:05:03.360]  或者信息網
[00:05:03.360 --> 00:05:05.640]  那我們就不用搞這麼久
[00:05:05.640 --> 00:05:09.400]  搞我們那個所謂上網的服務
[00:05:09.400 --> 00:05:11.600]  或者那個直播
[00:05:12.680 --> 00:05:15.720]  上帝的網絡厲害到一個地步
[00:05:15.720 --> 00:05:22.360]  真是讓我們看到上帝很能夠透視人的罪的性情
[00:05:22.360 --> 00:05:29.360]  並且可以是適當地施加拯救的挽回行動
[00:05:29.360 --> 00:05:31.960]  行動結果是怎麼樣呢?
[00:05:31.960 --> 00:05:34.440]  這是另一個話題
[00:05:34.440 --> 00:05:38.320]  但是至少上帝在這個過程當中
[00:05:38.320 --> 00:05:44.120]  是很準確地去探測到每一個人的屬靈光景
[00:05:44.120 --> 00:05:46.760]  以至於施教度
[00:05:46.760 --> 00:05:50.840]  所以今天當我們來看俄巴底亞書
[00:05:50.840 --> 00:05:53.640]  第15和第16節的時候
[00:05:53.640 --> 00:05:58.360]  我們就會看到上帝他在這個救恩的計劃
[00:05:58.360 --> 00:06:02.240]  這個雷達網的鋪設是怎麼樣運作
[00:06:02.240 --> 00:06:03.840]  所以今天的講題
[00:06:03.840 --> 00:06:07.320]  在俄巴底亞書第15和16節
[00:06:07.320 --> 00:06:11.440]  叫做「救恩的雷達網」
[00:06:11.440 --> 00:06:14.800]  Savithic Raider Network
[00:06:14.800 --> 00:06:17.400]  讓我們一起透過這段聖經兩節
[00:06:17.400 --> 00:06:22.880]  去看看上帝怎樣去盡量使用他的救恩雷達網
[00:06:22.880 --> 00:06:26.160]  叫普世的人能夠可以得救
[00:06:26.160 --> 00:06:27.160]  請大家收看節目
[00:06:27.160 --> 00:06:33.960]  我們一起再次打開俄巴底亞書的第15和第16節
[00:06:33.960 --> 00:06:37.400]  用來一起去再讀一次,好不好?
[00:06:37.400 --> 00:06:40.520]  好了,找到之後我們一起讀
[00:06:40.520 --> 00:06:46.600]  耶和華降佛的日子臨近萬國
[00:06:46.600 --> 00:06:48.400]  你怎樣行
[00:06:48.400 --> 00:06:51.400]  他也必照樣向你行
[00:06:51.400 --> 00:06:55.480]  你的報應必歸到你頭上
[00:06:55.480 --> 00:07:01.040]  你們猶大人在我聖山怎樣學了虎背
[00:07:01.040 --> 00:07:04.960]  萬國也必照樣常常地學
[00:07:04.960 --> 00:07:07.360]  且學且焉
