
[00:00:00.000 --> 00:00:04.500]  我們上次已經開始了大衛傳系列
[00:00:04.500 --> 00:00:05.900]  一個新的系列
[00:00:05.900 --> 00:00:09.540]  我們上次講了大衛的介紹
[00:00:09.540 --> 00:00:13.060]  今天要講三號以上的十六章
[00:00:13.060 --> 00:00:14.760]  和第十七章
[00:00:14.760 --> 00:00:16.160]  我給的題目是
[00:00:16.160 --> 00:00:20.100]  如何勝過我們生活中的巨敵
[00:00:20.100 --> 00:00:22.240]  我們每個人的生活當中
[00:00:22.240 --> 00:00:25.260]  都有些強敵 有些巨敵
[00:00:25.260 --> 00:00:27.000]  我們需要克服
[00:00:27.000 --> 00:00:29.500]  今天就是透過大衛的故事
[00:00:29.500 --> 00:00:30.600]  讓我們看到
[00:00:30.600 --> 00:00:32.400]  我們如何能夠戰勝
[00:00:32.400 --> 00:00:35.400]  我們生活當中的敵人
[00:00:35.400 --> 00:00:38.100]  首先我們需要重溫一下
[00:00:38.100 --> 00:00:39.100]  薩姆二上
[00:00:39.100 --> 00:00:42.400]  因為我們很久沒有講薩姆二上記
[00:00:42.400 --> 00:00:43.900]  上次我們講到
[00:00:43.900 --> 00:00:47.300]  以色列人已經拒絕了薩姆二
[00:00:47.300 --> 00:00:49.100]  成為他們的領袖
[00:00:49.100 --> 00:00:51.700]  說薩姆二的年紀已經很大
[00:00:51.700 --> 00:00:53.800]  他兩個兒子又不爭氣
[00:00:53.800 --> 00:00:58.500]  人民是希望蘇羅能夠成為他們的王
[00:00:58.500 --> 00:00:59.500]  但是很可惜
[00:00:59.500 --> 00:01:03.500]  蘇羅屢次違反了神的命令
[00:01:03.500 --> 00:01:08.100]  所以他失去了從神而來的王權
[00:01:08.100 --> 00:01:11.300]  雖然他仍然坐在他的皇位
[00:01:11.300 --> 00:01:13.800]  但是神已經棄絕了他
[00:01:13.800 --> 00:01:17.600]  薩姆二也與他斷絕了關係
[00:01:17.600 --> 00:01:19.500]  薩姆二為了這件事
[00:01:19.500 --> 00:01:23.400]  是非常悲傷 非常哀動
[00:01:23.400 --> 00:01:25.500]  在《書聖經》裡面告訴我們
[00:01:25.500 --> 00:01:27.100]  哀動有時
[00:01:27.100 --> 00:01:29.400]  就是傳道書的三章四節
[00:01:29.400 --> 00:01:31.700]  但是行動也有時
[00:01:31.700 --> 00:01:35.300]  約書亞記的七章第十節
[00:01:35.300 --> 00:01:39.200]  神給薩姆二的工作還未完結
[00:01:39.200 --> 00:01:42.400]  神是要薩姆二高立新王
[00:01:42.400 --> 00:01:46.100]  這就是耶穌的兒子大衛
[00:01:46.100 --> 00:01:49.100]  蘇羅是人民揀選的王
[00:01:49.100 --> 00:01:52.300]  但是大衛是神所揀選的
[00:01:52.300 --> 00:01:53.900]  在這兩章的經文中
[00:01:53.900 --> 00:01:59.900]  我們清楚看到大衛真是神所預定的君王
[00:01:59.900 --> 00:02:05.100]  所以第一點就是神所預定的大衛
[00:02:05.100 --> 00:02:07.500]  在薩姆二上的十六章第一節
[00:02:07.500 --> 00:02:09.600]  屈耶和對薩姆二說
[00:02:09.600 --> 00:02:13.200]  我寄艷氣蘇羅作以色列的王
[00:02:13.200 --> 00:02:16.500]  你為他悲傷要到何時呢?
[00:02:16.500 --> 00:02:18.700]  你將高遊聖滿了國
[00:02:18.700 --> 00:02:23.100]  我差遣你往百里行人耶穌那裡去
[00:02:23.100 --> 00:02:26.000]  因為我在他眾子之內
[00:02:26.000 --> 00:02:28.800]  預定一個作王的
[00:02:28.800 --> 00:02:31.100]  有沒有看到「預定」這個字?
[00:02:31.100 --> 00:02:36.000]  「預定」這個字在舊約一共出現了一千三百次
[00:02:36.000 --> 00:02:39.800]  但是只有四次被翻譯為「預定」
[00:02:39.800 --> 00:02:43.400]  其餘的一千二百九十多次
[00:02:43.400 --> 00:02:49.200]  大部份的時間都是翻譯為「漢見」這個字
[00:02:49.200 --> 00:02:54.000]  在今日的經文 薩姆二上的十六章和十七章
[00:02:54.000 --> 00:02:58.300]  我們看到「漢見」這個字重複出現十一次
[00:02:58.300 --> 00:03:03.500]  很清楚作者是要給我們看到有兩方面
[00:03:03.500 --> 00:03:08.000]  神是靠著祂的主權來預定一切
[00:03:08.000 --> 00:03:12.000]  人是靠我們的眼所看見的
