
[00:00:00.000 --> 00:00:01.000]  凌晨會早晨
[00:00:01.000 --> 00:00:05.000]  今日大家都有些興奮
[00:00:05.000 --> 00:00:10.000]  因為始終我們都講完利希米記
[00:00:10.000 --> 00:00:16.000]  非常之開心可以完結一件事
[00:00:16.000 --> 00:00:22.000]  另一方面又有其他學習等著我們
[00:00:22.000 --> 00:00:26.000]  今日都有些戰戰兢兢
[00:00:26.000 --> 00:00:33.000]  尤其是整個利希米記的一個總結
[00:00:33.000 --> 00:00:35.000]  總結的時候
[00:00:35.000 --> 00:00:42.000]  我就想究竟要溫習前面多少呢
[00:00:42.000 --> 00:00:44.000]  13章那麼多
[00:00:44.000 --> 00:00:49.000]  就沒有可能在總結的時候跟大家去溫習
[00:00:49.000 --> 00:00:51.000]  所以如果要溫習的話
[00:00:51.000 --> 00:00:54.000]  就希望大家自己回家溫習
[00:00:54.000 --> 00:00:57.000]  我們今天的總結
[00:00:57.000 --> 00:01:03.000]  就是用一個主題叫做回歸聖潔
[00:01:03.000 --> 00:01:05.000]  我們再次一起祈禱
[00:01:05.000 --> 00:01:07.000]  主我們多謝你
[00:01:07.000 --> 00:01:10.000]  在聖經裡面給我們的教導是
[00:01:10.000 --> 00:01:11.000]  我們都要聖潔
[00:01:11.000 --> 00:01:14.000]  因為我們的天父是聖潔
[00:01:14.000 --> 00:01:19.000]  我們知道當神創造我們的生命的時候
[00:01:19.000 --> 00:01:25.000]  這個也是你最大的對我們的旨意
[00:01:25.000 --> 00:01:29.000]  所以我們今天總結利希米記的時候
[00:01:29.000 --> 00:01:34.000]  我們看看你最重要的心意是什麼
[00:01:34.000 --> 00:01:37.000]  求聖靈幫助我們明白
[00:01:37.000 --> 00:01:41.000]  以及跟從服從實踐
[00:01:41.000 --> 00:01:43.000]  禱告奉耶穌的命
[00:01:43.000 --> 00:01:45.000]  阿門
[00:01:46.000 --> 00:01:49.000]  讀到第13章的時候
[00:01:49.000 --> 00:01:51.000]  上一次我們講了
[00:01:51.000 --> 00:01:52.000]  前面一半
[00:01:52.000 --> 00:01:56.000]  鄺牧師跟我們解釋得很詳細
[00:01:56.000 --> 00:02:01.000]  今天就是13章後面的一半
[00:02:01.000 --> 00:02:03.000]  讀到這些的時候
[00:02:03.000 --> 00:02:06.000]  大家不知道有沒有一種的
[00:02:06.000 --> 00:02:09.000]  仍然很奇怪的感覺
[00:02:09.000 --> 00:02:13.000]  就是這個利希米都很兇的
[00:02:13.000 --> 00:02:16.000]  怎樣兇死呢
[00:02:16.000 --> 00:02:19.000]  剛剛我們讀第13章那裡
[00:02:19.000 --> 00:02:24.000]  他就要警戒那些以色列人
[00:02:24.000 --> 00:02:29.000]  然後15節就警戒那些人
[00:02:29.000 --> 00:02:35.000]  然後17節又要繼續去斥責他們
[00:02:35.000 --> 00:02:41.000]  到了21節又繼續很嚴厲地
[00:02:41.000 --> 00:02:45.000]  去警告他們
[00:02:45.000 --> 00:02:50.000]  聖經又是用警戒這個字
[00:02:50.000 --> 00:02:58.000]  然後第25節又再同樣的措辭
[00:02:58.000 --> 00:03:00.000]  而且不單止是斥責
[00:03:00.000 --> 00:03:03.000]  還要咒助他們
[00:03:03.000 --> 00:03:06.000]  然後還要打了他們幾個人
