
[00:00:00.000 --> 00:00:04.640]  今日主題叫做「絕處啟事」
[00:00:04.640 --> 00:00:11.520]  我發覺今日這個場的設計很能夠配合
[00:00:11.520 --> 00:00:15.320]  剛才我問為甚麼這兩個白色盒子不拿走呢
[00:00:15.320 --> 00:00:17.320]  他說「我是裝水」
[00:00:17.320 --> 00:00:19.320]  「因為滴水」
[00:00:19.320 --> 00:00:22.520]  「屋漏兼逢連夜雨」
[00:00:22.520 --> 00:00:24.520]  是否很有感覺呢?
[00:00:24.520 --> 00:00:28.120]  我們現在是否在絕處裏面?
[00:00:28.120 --> 00:00:30.120]  大家有沒有覺得自己在絕處裏面?
[00:00:30.120 --> 00:00:32.120]  也不是很絕吧?
[00:00:32.120 --> 00:00:34.120]  疫情又過去了
[00:00:34.120 --> 00:00:36.120]  當時是否很絕?
[00:00:36.120 --> 00:00:38.120]  在疫情當中無法離開
[00:00:38.120 --> 00:00:40.120]  是否很慘?
[00:00:40.120 --> 00:00:42.120]  看你怎麼看
[00:00:42.120 --> 00:00:44.120]  甚麼是絕處?
[00:00:44.120 --> 00:00:46.120]  絕處往往不是環境
[00:00:46.120 --> 00:00:48.120]  而是心境
[00:00:48.120 --> 00:00:52.120]  在上世紀五十年代
[00:00:52.120 --> 00:00:54.120]  有一個人做了一個實驗
[00:00:56.120 --> 00:00:58.120]  他叫做Kurt Richard
[00:00:58.120 --> 00:01:00.120]  是John Hopkins大學的教授
[00:01:00.120 --> 00:01:04.120]  他做了一個研究
[00:01:04.120 --> 00:01:06.120]  究竟人的心理和他的環境有甚麼關係呢?
[00:01:06.120 --> 00:01:08.120]  他找了一些白老鼠
[00:01:08.120 --> 00:01:10.120]  這是上世紀五十年代
[00:01:10.120 --> 00:01:12.120]  如果現在做的話
[00:01:12.120 --> 00:01:14.120]  人們會說他是「藥蟲」
[00:01:14.120 --> 00:01:16.120]  他把老鼠丟進水裏面
[00:01:16.120 --> 00:01:20.120]  看看究竟多久他會頂丟
[00:01:20.120 --> 00:01:22.120]  會淹死
[00:01:22.120 --> 00:01:24.120]  大概十五分鐘
[00:01:26.120 --> 00:01:28.120]  然後再做一個實驗
[00:01:28.120 --> 00:01:30.120]  就是把老鼠
[00:01:30.120 --> 00:01:32.120]  當然是第二批老鼠
[00:01:32.120 --> 00:01:34.120]  再丟進水裏面
[00:01:34.120 --> 00:01:36.120]  但這次有少少不同
[00:01:36.120 --> 00:01:38.120]  十多分鐘他快頂不住的時候
[00:01:38.120 --> 00:01:40.120]  就撈起來
[00:01:40.120 --> 00:01:42.120]  抹乾讓他休息一下
[00:01:42.120 --> 00:01:44.120]  再丟進水裏面
[00:01:44.120 --> 00:01:46.120]  請問這次他可以有多久呢?
[00:01:46.120 --> 00:01:48.120]  飲你鼓
[00:01:48.120 --> 00:01:50.120]  很久的
[00:01:50.120 --> 00:01:52.120]  多很多的
[00:01:52.120 --> 00:01:54.120]  兩個小時
[00:01:54.120 --> 00:01:56.120]  多很多
[00:01:56.120 --> 00:01:58.120]  多少?
[00:01:58.120 --> 00:02:00.120]  多少?
[00:02:00.120 --> 00:02:02.120]  實驗甚麼?
[00:02:02.120 --> 00:02:04.120]  十多小時
[00:02:04.120 --> 00:02:06.120]  多少?
[00:02:06.120 --> 00:02:08.120]  答案
[00:02:08.120 --> 00:02:10.120]  六十小時
[00:02:10.120 --> 00:02:12.120]  為甚麼這麼多?
[00:02:12.120 --> 00:02:14.120]  多不多?
[00:02:14.120 --> 00:02:16.120]  因為這個叫做
[00:02:16.120 --> 00:02:18.120]  The Hope Experiment
[00:02:18.120 --> 00:02:20.120]  是一個希望的實驗
[00:02:20.120 --> 00:02:22.120]  因為他試過
