
[00:00:00.000 --> 00:00:03.880]  今日想跟大家講的主題就是「主已經復活了」
[00:00:03.880 --> 00:00:04.920]  「主復活了」
[00:00:04.920 --> 00:00:06.540]  是不是
[00:00:06.540 --> 00:00:08.000]  剛才阿明都問
[00:00:08.000 --> 00:00:11.120]  有沒有認識過一些人從死裏復活的
[00:00:11.120 --> 00:00:12.660]  有沒有試過
[00:00:12.660 --> 00:00:13.940]  不認識
[00:00:13.940 --> 00:00:19.120]  不過我知道有人從死裏復活過
[00:00:19.120 --> 00:00:21.200]  其實講一個故事
[00:00:21.200 --> 00:00:23.540]  我在佛羅里達的墓會的時候
[00:00:23.540 --> 00:00:25.240]  有一位姊妹
[00:00:25.240 --> 00:00:26.760]  她是很愛主的
[00:00:26.760 --> 00:00:29.360]  她是台灣的山地人
[00:00:29.360 --> 00:00:32.340]  即是原居台灣的山地居民
[00:00:32.340 --> 00:00:33.680]  她不識字的
[00:00:33.680 --> 00:00:34.740]  但她信了耶穌
[00:00:34.740 --> 00:00:39.580]  她經常都祈禱和主親近
[00:00:39.580 --> 00:00:45.380]  她的女兒在佛羅里達的地方開了一個餐館
[00:00:45.380 --> 00:00:48.000]  開了一個泰國餐館
[00:00:48.000 --> 00:00:50.020]  她的女兒嫁了一個泰國人
[00:00:50.020 --> 00:00:51.900]  所以開了一個泰國餐館
[00:00:51.900 --> 00:00:53.980]  後來這個故事就說
[00:00:53.980 --> 00:00:55.280]  那些人妒忌她
[00:00:55.280 --> 00:00:58.900]  就用四面佛來詛咒她
[00:00:58.900 --> 00:01:00.900]  誰知道她祈禱
[00:01:00.900 --> 00:01:04.500]  那些巫嬰就全死了
[00:01:04.500 --> 00:01:06.000]  最神奇是甚麼事呢
[00:01:06.000 --> 00:01:08.580]  有一年我回到佛羅里達探望
[00:01:08.580 --> 00:01:10.720]  佛羅里達的弟兄姊妹
[00:01:10.720 --> 00:01:13.460]  原來這個姊妹已經去世了
[00:01:13.460 --> 00:01:15.460]  見到她的女兒
[00:01:15.460 --> 00:01:17.260]  有機會和她的女兒聊天
[00:01:17.260 --> 00:01:19.340]  她說你知不知道一件神蹟發生
[00:01:19.340 --> 00:01:20.580]  我說甚麼神蹟
[00:01:20.580 --> 00:01:23.360]  她說我媽媽去世的時候我很傷心
[00:01:23.360 --> 00:01:27.080]  她沒有幫我道別就斷氣了
[00:01:27.080 --> 00:01:30.000]  但她說有很多神蹟發生
[00:01:30.000 --> 00:01:31.800]  我都不太相信
[00:01:31.800 --> 00:01:33.300]  她說甚麼神蹟呢
[00:01:33.300 --> 00:01:37.540]  她說我媽媽在床上醒來
[00:01:37.540 --> 00:01:40.840]  醫生已經證實她死亡
[00:01:40.840 --> 00:01:43.560]  她醒來和我聊天
[00:01:43.560 --> 00:01:46.380]  說了六個小時
[00:01:46.380 --> 00:01:49.860]  六個小時之後才再次死亡
[00:01:49.860 --> 00:01:50.940]  很奇怪
[00:01:50.940 --> 00:01:54.420]  我相信她的女兒沒有說謊
[00:01:54.420 --> 00:01:58.440]  我見到她的家庭有很多神蹟奇事發生
[00:01:58.440 --> 00:02:00.360]  因為她很愛主
[00:02:00.360 --> 00:02:03.260]  她有一次幫我說她的祈禱時
[00:02:03.260 --> 00:02:06.180]  她的女婿本來是泰國人
[00:02:06.180 --> 00:02:07.580]  很不肯信耶穌
[00:02:07.580 --> 00:02:09.100]  她說突然間夢到
[00:02:09.100 --> 00:02:13.340]  她的女婿變成了一隻羔羊
[00:02:13.340 --> 00:02:14.720]  很馴服
[00:02:14.720 --> 00:02:16.680]  原來她真的信了主
[00:02:16.680 --> 00:02:18.680]  第二天就信了耶穌
[00:02:18.680 --> 00:02:22.360]  這個女婿本來在廚房拿著刀
[00:02:22.360 --> 00:02:26.000]  不跟她說耶穌 怕被她斬死
[00:02:26.000 --> 00:02:27.700]  後來她很馴服
[00:02:27.700 --> 00:02:30.720]  幫教會游七 做很多事
[00:02:30.720 --> 00:02:31.620]  很奇怪
[00:02:31.620 --> 00:02:33.460]  神是很奇妙的
[00:02:33.460 --> 00:02:34.900]  我相信
[00:02:34.900 --> 00:02:37.120]  聖經裏面都有記載
[00:02:37.120 --> 00:02:39.000]  死人暫時復活
[00:02:39.000 --> 00:02:40.020]  記不記得
[00:02:40.020 --> 00:02:42.840]  耶穌基督復活的時候
[00:02:42.840 --> 00:02:46.360]  墳墓打開 死人暫時復活了
[00:02:46.360 --> 00:02:48.680]  拉薩路 記不記得拉薩路
[00:02:48.680 --> 00:02:52.460]  拉薩路在耶穌基督行神蹟的時候
[00:02:52.460 --> 00:02:53.800]  他從死裏復活
[00:02:53.800 --> 00:02:56.240]  死了四天 已經發臭了
[00:02:56.240 --> 00:03:00.940]  管會堂的艾路的女兒暫時復活
[00:03:00.940 --> 00:03:02.900]  以利亞時代記不記得
[00:03:02.900 --> 00:03:06.540]  以利亞時代寡婦的兒子死了
[00:03:06.540 --> 00:03:08.860]  以利亞在她家裏住
[00:03:08.860 --> 00:03:10.240]  以利亞為她祈禱
[00:03:10.240 --> 00:03:13.160]  這個兒子又復活過來
[00:03:13.160 --> 00:03:15.040]  我們知道在聖經裏面
[00:03:15.040 --> 00:03:17.420]  信復活的神蹟
[00:03:17.420 --> 00:03:20.280]  其實在聖經裏面一定有
