
[00:00:00.000 --> 00:00:04.420]  大家知道孫晨熙的故事是講什麼的
[00:00:04.420 --> 00:00:11.600]  就是為了愛情而死的
[00:00:11.600 --> 00:00:15.020]  是莎士比亞的名著
[00:00:15.020 --> 00:00:18.100]  就是幾百年前寫的書
[00:00:18.100 --> 00:00:22.780]  有人為了愛情而死
[00:00:22.780 --> 00:00:24.060]  就是幾百年前有的
[00:00:24.060 --> 00:00:26.360]  上個星期也有一則新聞是這樣的
[00:00:26.360 --> 00:00:32.920]  有對夫婦因為太太有病的緣故
[00:00:32.920 --> 00:00:35.500]  可能是長期病的緣故
[00:00:35.500 --> 00:00:40.540]  新聞就用了一個字叫
[00:00:40.540 --> 00:00:43.840]  「夾疊情深」
[00:00:43.840 --> 00:00:45.920]  「夾疊情深」
[00:00:45.920 --> 00:00:49.060]  就是說兩個夫婦很恩愛的
[00:00:49.060 --> 00:00:53.360]  因為太太有病
[00:00:53.360 --> 00:00:57.900]  最後兩個夫婦雙雙自殺
[00:00:57.900 --> 00:01:01.820]  他們用的方法是用膠袋套著
[00:01:01.820 --> 00:01:06.160]  放一些化學的氣體
[00:01:06.160 --> 00:01:10.160]  然後就死了
[00:01:10.160 --> 00:01:14.180]  孫晨大家都知道是什麼
[00:01:14.180 --> 00:01:18.140]  孫道大家知道是什麼嗎
[00:01:18.140 --> 00:01:19.720]  孫晨是為了愛情而死的
[00:01:19.720 --> 00:01:21.140]  孫道呢
[00:01:21.140 --> 00:01:26.560]  為了道 那個道是什麼道呢
[00:01:26.560 --> 00:01:28.480]  我們一路看《仕途行傳》
[00:01:28.480 --> 00:01:32.980]  上一次的講道題目叫
[00:01:32.980 --> 00:01:35.320]  「祝福就坐兩面體」
[00:01:35.320 --> 00:01:37.740]  就是說我們生命當中很多事情
[00:01:37.740 --> 00:01:38.740]  一件事發生
[00:01:38.740 --> 00:01:41.420]  你可以說它是「就坐」
[00:01:41.420 --> 00:01:43.620]  也可以說是「祝福」
[00:01:43.620 --> 00:01:47.880]  上一次看就是因為彼得和約翰被抓
[00:01:47.880 --> 00:01:50.500]  被抓去坐牢
[00:01:50.500 --> 00:01:52.220]  好像是很不好的一件事
[00:01:52.220 --> 00:01:56.840]  但卻是可以成為神的祝福
[00:01:56.840 --> 00:01:59.260]  今天跟大家進入《仕途行傳》第七章
[00:01:59.260 --> 00:02:01.260]  這章也很長 有六十節
[00:02:01.260 --> 00:02:04.880]  雖然很長 但牽涉的只有一個人
[00:02:04.880 --> 00:02:07.560]  就是史提反
[00:02:07.560 --> 00:02:09.300]  史提反是誰呢
[00:02:09.300 --> 00:02:11.480]  可能你未必知道
[00:02:11.480 --> 00:02:12.980]  他不是耶穌的門徒
[00:02:12.980 --> 00:02:16.020]  他也不是耶穌同時代
[00:02:16.020 --> 00:02:18.140]  在耶穌周圍的人
[00:02:18.140 --> 00:02:21.060]  所以在福音書和記載耶穌的事蹟時
[00:02:21.060 --> 00:02:25.480]  你找不到史提反的蹤跡
[00:02:25.480 --> 00:02:27.020]  史提反是何時出現的呢
[00:02:27.020 --> 00:02:28.740]  就是在第六章
[00:02:28.740 --> 00:02:30.200]  今天我們看第七章
[00:02:30.200 --> 00:02:33.120]  結前一點 第六章
[00:02:33.120 --> 00:02:35.000]  記得上一次講道
[00:02:35.000 --> 00:02:38.280]  當教會剛剛開始的時候
[00:02:38.280 --> 00:02:41.300]  有一個很美麗的圖畫
[00:02:41.300 --> 00:02:43.920]  就是大家都將田產賣了
[00:02:43.920 --> 00:02:45.680]  然後放在仕途的腳前
[00:02:45.680 --> 00:02:49.260]  凡物公用 天天行切 暫未禱告
[00:02:49.260 --> 00:02:50.480]  很好的
