
[00:00:00.000 --> 00:00:04.720]  靈姐妹,讓我們一起低頭禱告
[00:00:04.720 --> 00:00:06.640]  主啊,求祢開我們的眼
[00:00:06.640 --> 00:00:09.360]  叫我們看見
[00:00:09.360 --> 00:00:11.760]  並且進行祢的旨意
[00:00:11.760 --> 00:00:15.480]  聖靈啊,求祢在我們心裡面工作
[00:00:15.480 --> 00:00:16.840]  求祢潔淨我們
[00:00:16.840 --> 00:00:19.800]  讓我們的耳朵能夠聽得見
[00:00:19.800 --> 00:00:21.800]  眼睛能夠看得見
[00:00:21.800 --> 00:00:25.720]  上帝,祢就是那位大能的主宰
[00:00:25.720 --> 00:00:28.240]  大能的主宰要呼召我們的時候
[00:00:28.240 --> 00:00:32.560]  求祢讓我們謙卑下來
[00:00:32.560 --> 00:00:34.200]  接受祢的呼喚
[00:00:34.200 --> 00:00:36.200]  將以後的時間公平交在祢手中
[00:00:36.200 --> 00:00:37.400]  求祢與我們一起
[00:00:37.400 --> 00:00:41.000]  聽我們祈禱,奉主名求,阿們
[00:00:41.000 --> 00:00:42.560]  不知道大家知不知道
[00:00:42.560 --> 00:00:44.680]  這個月是猜拳月
[00:00:44.680 --> 00:00:49.160]  這個我小朋友常常這樣做
[00:00:49.160 --> 00:00:51.920]  昨天不知道大家有沒有去
[00:00:51.920 --> 00:00:54.200]  或者上網
[00:00:54.200 --> 00:00:58.320]  這些是我們關心的宣教士
[00:00:58.320 --> 00:01:01.160]  繼續將他們仰望給上帝
[00:01:01.160 --> 00:01:02.880]  求上帝幫助他們
[00:01:02.880 --> 00:01:07.720]  繼續在世界不同的地方宣講他的福音
[00:01:07.720 --> 00:01:10.960]  問一下大家
[00:01:10.960 --> 00:01:12.960]  對不起,先停在這裡
[00:01:12.960 --> 00:01:14.480]  大家看著他們
[00:01:14.480 --> 00:01:16.560]  這個不是IQ題
[00:01:16.560 --> 00:01:19.560]  你認為最偉大的宣教士是誰呢?
[00:01:19.560 --> 00:01:20.360]  在座四位
[00:01:20.360 --> 00:01:25.640]  不是,這裡四位,四個單位應該是
[00:01:25.640 --> 00:01:27.320]  最偉大的宣教士是誰呢?
[00:01:27.320 --> 00:01:32.800]  在你心裏面
[00:01:32.800 --> 00:01:36.520]  昨天有些反應,今天大家眉眉嘴笑
[00:01:36.520 --> 00:01:41.000]  是不是上個禮拜吳牧師所說的李愛蕊
[00:01:41.000 --> 00:01:44.000]  為中國人傳福音,死在中國
[00:01:44.000 --> 00:01:46.320]  死在集中營
[00:01:46.320 --> 00:01:49.120]  會不會是近代宣教之父威廉克里
[00:01:49.120 --> 00:01:53.000]  或者向雲南六叔族傳福音的傅能仁
[00:01:53.000 --> 00:01:56.680]  如果你知道傅能仁是誰的話
[00:01:56.680 --> 00:01:58.440]  如果不知道,Google一下
[00:01:58.440 --> 00:01:59.880]  Google完,看完他的生命
[00:01:59.880 --> 00:02:03.560]  我相信你真的會深深被感動
[00:02:03.560 --> 00:02:07.280]  你有沒有想過答案是
[00:02:07.280 --> 00:02:09.120]  主耶穌
[00:02:09.120 --> 00:02:10.840]  對了
[00:02:10.840 --> 00:02:13.560]  最偉大的宣教士就是主耶穌
[00:02:13.560 --> 00:02:16.640]  上帝參拜祂自己的愛子耶穌來到這個世界
[00:02:16.640 --> 00:02:19.160]  給我們一個很大的喜訊
[00:02:19.160 --> 00:02:20.400]  就是祂愛我們
[00:02:20.400 --> 00:02:22.520]  為我們的罪釘在十字架上
[00:02:22.520 --> 00:02:23.640]  叫甚麼?
[00:02:23.640 --> 00:02:28.600]  「一切相信祂的,不知滅亡,反得永生」
[00:02:28.600 --> 00:02:31.360]  耶穌在一開始傳天國的道的時候
[00:02:31.360 --> 00:02:33.840]  祂就嚴厲地提醒世人
[00:02:33.840 --> 00:02:37.640]  祂說「凡稱呼我主呀主呀的」
[00:02:37.640 --> 00:02:38.880]  是甚麼?
[00:02:38.880 --> 00:02:42.080]  「不能刀盡天國」
[00:02:42.080 --> 00:02:43.640]  很大反省
[00:02:43.640 --> 00:02:45.040]  我們有沒有稱呼主呀主呀?
