
[00:00:00.000 --> 00:00:02.000]  感謝神在過去兩個晚上當中
[00:00:02.000 --> 00:00:04.600]  我們看見神的靈大大在我們中間工作
[00:00:04.600 --> 00:00:06.600]  你們很多人被聖靈充滿
[00:00:06.600 --> 00:00:08.100]  第一次說方言的
[00:00:08.100 --> 00:00:10.600]  也有在我們中間有些人得到醫治的
[00:00:10.600 --> 00:00:11.900]  有多少人在我們中間
[00:00:11.900 --> 00:00:16.200]  現在你是這兩天晚上第一次說方言的經驗
[00:00:16.200 --> 00:00:17.800]  或者是這兩天你得到醫治
[00:00:17.800 --> 00:00:19.100]  舉起手來好不好
[00:00:19.100 --> 00:00:21.200]  Hallelujah
[00:00:21.200 --> 00:00:23.100]  我們將榮耀歸給我們的神
[00:00:23.100 --> 00:00:25.900]  Hallelujah
[00:00:25.900 --> 00:00:29.600]  為什麼我們要舉行這樣一個聖靈州的聚會呢
[00:00:29.600 --> 00:00:32.800]  因為聖靈充滿對我們每一位信徒來講
[00:00:32.800 --> 00:00:35.900]  都是非常重要的課題
[00:00:35.900 --> 00:00:37.200]  以弗洛索書五章第十八節
[00:00:37.200 --> 00:00:38.700]  我們剛才所讀的
[00:00:38.700 --> 00:00:40.700]  保羅在這裡很清楚地告訴我們說
[00:00:40.700 --> 00:00:42.800]  你們要被聖靈充滿
[00:00:42.800 --> 00:00:45.200]  這是個命令句
[00:00:45.200 --> 00:00:48.100]  換句話說這不是可有可無的對我們來說
[00:00:48.100 --> 00:00:49.600]  不是說有些人說
[00:00:49.600 --> 00:00:50.600]  你們被聖靈充滿
[00:00:50.600 --> 00:00:51.900]  我們不需要被聖靈充滿
[00:00:51.900 --> 00:00:52.500]  不是的
[00:00:52.500 --> 00:00:54.500]  是每一個信徒
[00:00:54.500 --> 00:00:56.900]  我們都要被聖靈充滿
[00:00:56.900 --> 00:00:59.400]  因為這是神的命令
[00:00:59.400 --> 00:01:00.500]  換句話說
[00:01:00.500 --> 00:01:03.100]  是我們每一個信徒在生命當中
[00:01:03.100 --> 00:01:04.300]  我們要追尋
[00:01:04.300 --> 00:01:08.300]  而且在經歷到神的恩典的降臨
[00:01:08.300 --> 00:01:10.800]  所以今天早上我們要再一次來思想
[00:01:10.800 --> 00:01:12.900]  聖靈充滿的真理
[00:01:12.900 --> 00:01:14.300]  而更重要的是
[00:01:14.300 --> 00:01:16.500]  如何在每天生活當中
[00:01:16.500 --> 00:01:20.700]  保持一個聖靈充滿的生活
[00:01:20.700 --> 00:01:23.100]  我們看見保羅在這件事情當中
[00:01:23.100 --> 00:01:26.400]  很清楚講到聖靈充滿各方面的真理
[00:01:26.400 --> 00:01:28.000]  首先第一點他講到
[00:01:28.000 --> 00:01:30.500]  為什麼要被聖靈充滿
