
[00:00:00.000 --> 00:00:01.360]  各位親愛的大英姊妹你們好
[00:00:01.360 --> 00:00:04.340]  我們今晚又有個茶經了
[00:00:04.340 --> 00:00:09.980]  不過今天是12月18日
[00:00:09.980 --> 00:00:12.340]  臨近聖誕節了
[00:00:12.340 --> 00:00:16.960]  再說聖誕節其實不是在12月25日的
[00:00:16.960 --> 00:00:21.220]  只不過後來基督教成為國教之後
[00:00:21.220 --> 00:00:25.300]  當時羅馬的皇帝問你什麼時候已經聖誕節了
[00:00:25.300 --> 00:00:31.280]  你們就拿了當日其實是一個敬拜太陽神的日子
[00:00:31.280 --> 00:00:33.780]  就好像香港有佛誕
[00:00:33.780 --> 00:00:36.620]  但在佛誕裡面當基督教被迫害
[00:00:36.620 --> 00:00:38.700]  不可以來這裡去慶祝
[00:00:38.700 --> 00:00:41.640]  於是藉著這個佛誕放假
[00:00:41.640 --> 00:00:44.220]  個個都去拜那個菩薩
[00:00:44.220 --> 00:00:46.880]  基督徒就躲在這些地方裡面
[00:00:46.880 --> 00:00:49.140]  來這裡去紀念耶穌的降生
[00:00:49.140 --> 00:00:51.540]  後來就用了這個日子
[00:00:51.540 --> 00:00:55.140]  聖誕節其實日子不是最重要
[00:00:55.140 --> 00:00:58.080]  最重要是明白背後的意義在哪裡
[00:00:58.080 --> 00:01:01.440]  今晚會和大家分享聖誕節一些的訊息
[00:01:01.440 --> 00:01:05.540]  可能我們耳熟能詳都希望給大家一個提醒
[00:01:05.540 --> 00:01:08.940]  我不知道大家知不知道什麼叫大撻地
[00:01:08.940 --> 00:01:10.940]  什麼叫平民夜總會
[00:01:10.940 --> 00:01:16.000]  我發覺很多人就把大撻地和平民夜總會搞錯了
[00:01:16.000 --> 00:01:22.920]  大撻地就是在荷里活道頭
[00:01:22.920 --> 00:01:29.000]  在荷里活道口那裡就叫大撻地
[00:01:29.000 --> 00:01:31.740]  在附近就有剪髮店
[00:01:31.740 --> 00:01:33.260]  那時候我去剪頭髮
[00:01:33.260 --> 00:01:35.560]  而現在的港澳碼頭
[00:01:35.560 --> 00:01:37.560]  那裡就不是叫大撻地
[00:01:37.560 --> 00:01:39.560]  那裡就叫平民夜總會
[00:01:39.560 --> 00:01:41.060]  因為我家住在上環
[00:01:41.060 --> 00:01:43.400]  我從我家走下去平民夜總會
[00:01:43.400 --> 00:01:45.400]  都是不用六七分鐘的
[00:01:45.400 --> 00:01:49.160]  十幾歲的時候就開始去那裡看一些東西
[00:01:49.160 --> 00:01:51.760]  多麼有趣 我多麼喜歡去看什麼劇
[00:01:51.760 --> 00:01:53.760]  我雖然說話粗鄙一點
[00:01:53.760 --> 00:01:55.760]  但是我喜歡去研究中國文學
[00:01:55.760 --> 00:01:59.260]  我喜歡去聽別人去解籤
[00:01:59.260 --> 00:02:00.260]  不知道你知不知道
[00:02:00.260 --> 00:02:05.000]  有些小鳥就搬一個籤出來
[00:02:05.000 --> 00:02:09.040]  那個人就問我感情是怎麼樣
[00:02:09.040 --> 00:02:10.040]  我在前途是怎麼樣
[00:02:10.040 --> 00:02:12.040]  那個籤裡面只有一個字
[00:02:12.040 --> 00:02:16.700]  於是這個解籤人就會將這個字拆開來說
[00:02:16.700 --> 00:02:18.700]  比如那個「丹」字
[00:02:18.700 --> 00:02:20.700]  「言」字部「言」就代表什麼什麼
[00:02:20.700 --> 00:02:22.700]  講到天花亂墜
[00:02:22.700 --> 00:02:24.200]  當然我不會相信他
[00:02:24.200 --> 00:02:28.700]  但是欣賞他們可以這樣拆開來解釋
[00:02:28.700 --> 00:02:31.700]  今晚我跟大家分開
[00:02:31.700 --> 00:02:36.200]  三個字來講就是聖 誕 節
[00:02:36.200 --> 00:02:39.700]  就類似這樣的情況
[00:02:39.700 --> 00:02:42.700]  不少人說聖誕節是普天同慶的日子
[00:02:42.700 --> 00:02:45.700]  當然很多人都放假
[00:02:45.700 --> 00:02:47.700]  我小時候還沒有正式信耶穌
[00:02:47.700 --> 00:02:49.700]  都很喜歡聖誕節
[00:02:49.700 --> 00:02:51.700]  因為放12天假
[00:02:51.700 --> 00:02:53.700]  我寧願放假之前考試
[00:02:53.700 --> 00:02:55.700]  好過放假之後才考試
[00:02:55.700 --> 00:02:57.700]  當我玩得很開心心
