
[00:00:00.000 --> 00:00:02.000]  我們祝你平安
[00:00:02.000 --> 00:00:05.000]  很高興今天還有機會跟大家分享上帝的說話
[00:00:05.000 --> 00:00:09.000]  讓我們再一次低頭祈禱
[00:00:09.000 --> 00:00:16.000]  將來在疫情很嚴重的香港
[00:00:16.000 --> 00:00:19.000]  我們懇求你去憐憫
[00:00:19.000 --> 00:00:22.000]  更加懇求你去感動我們
[00:00:22.000 --> 00:00:26.000]  讓我們都知道自己可以出的一分力在哪裡
[00:00:27.000 --> 00:00:35.000]  讓我們可以一起和香港人一起度過這一個困境
[00:00:35.000 --> 00:00:38.000]  願聖靈你時刻與我們同在
[00:00:38.000 --> 00:00:41.000]  讓我們明白你的話語
[00:00:41.000 --> 00:00:43.000]  願講的和聽的都同容你的月立
[00:00:43.000 --> 00:00:46.000]  祈禱奉主耶穌基督的名求
[00:00:46.000 --> 00:00:52.000]  我不知道大家在這兩年多
[00:00:53.000 --> 00:00:58.000]  就快三年的時刻我們不能去外地旅行
[00:00:58.000 --> 00:01:01.000]  不知道大家有沒有在香港尋覓一些
[00:01:01.000 --> 00:01:05.000]  你曾經在外地的一些很美麗的景色
[00:01:05.000 --> 00:01:10.000]  例如我知道很多人會去一些地方尋找芒草
[00:01:10.000 --> 00:01:13.000]  又或者去元朗看楓葉
[00:01:13.000 --> 00:01:17.000]  聽說在中大也有一棵櫻花
[00:01:17.000 --> 00:01:21.000]  我相信大家都很懷念我們可以去旅行的日子
[00:01:22.000 --> 00:01:23.000]  不能去旅行
[00:01:23.000 --> 00:01:25.000]  所以都會去這些地方打卡
[00:01:25.000 --> 00:01:30.000]  也欣賞這些植物的美態
[00:01:30.000 --> 00:01:32.000]  當然我們在想
[00:01:32.000 --> 00:01:34.000]  如果整個山都是芒草
[00:01:34.000 --> 00:01:37.000]  整個元朗平原都是紅葉
[00:01:37.000 --> 00:01:38.000]  都是楓葉
[00:01:38.000 --> 00:01:41.000]  整個中大都是櫻花
[00:01:41.000 --> 00:01:43.000]  你說多麼壯觀和美麗
[00:01:43.000 --> 00:01:45.000]  不知道我們是否記得
[00:01:45.000 --> 00:01:48.000]  當你看到這麼壯觀的景色
[00:01:48.000 --> 00:01:51.000]  特別你以往的日子在日本
[00:01:52.000 --> 00:01:55.000]  你的心是否會不期然地讚嘆
[00:01:55.000 --> 00:01:58.000]  這位創造這個世界的那一位
[00:01:58.000 --> 00:02:00.000]  實在是沒得談
[00:02:00.000 --> 00:02:05.000]  今天繼續和大家分享羅馬書的經文
[00:02:05.000 --> 00:02:06.000]  來到第十二章
[00:02:06.000 --> 00:02:10.000]  如果分得來教會的兄弟姐妹
[00:02:10.000 --> 00:02:12.000]  相信你也會很熟悉這一段的經文
[00:02:12.000 --> 00:02:16.000]  於是我略略和大家一起去重溫一下
[00:02:16.000 --> 00:02:19.000]  究竟這一至十一章我講了些什麼
[00:02:20.000 --> 00:02:22.000]  保羅告訴我們
[00:02:22.000 --> 00:02:23.000]  因為亞當犯罪
[00:02:23.000 --> 00:02:26.000]  所以世人都圈在罪的權勢之下
[00:02:26.000 --> 00:02:28.000]  受罪的蒙騙
[00:02:28.000 --> 00:02:30.000]  好像瞎了似的
[00:02:30.000 --> 00:02:32.000]  會彼此去傷害
[00:02:32.000 --> 00:02:34.000]  不能夠來到秋生
[00:02:34.000 --> 00:02:38.000]  人類更因為我們的心蒙猶知
[00:02:38.000 --> 00:02:39.000]  以待發塵
[00:02:39.000 --> 00:02:41.000]  被罪所蒙騙
[00:02:41.000 --> 00:02:43.000]  而試圖當自己是上帝
[00:02:43.000 --> 00:02:47.000]  試圖去奴役和衝擊其他人
[00:02:47.000 --> 00:02:51.000]  就如上個禮拜物質宣教師在這裏分享一樣
[00:02:51.000 --> 00:02:53.000]  我們都會在不知不覺之間
[00:02:53.000 --> 00:02:57.000]  令到其他人有一個操控和奴役
[00:02:57.000 --> 00:03:00.000]  猶太人雖然知道律法
[00:03:00.000 --> 00:03:03.000]  不過因為無能為力
[00:03:03.000 --> 00:03:06.000]  不能夠靠自己的力量去遵行上帝的律法
[00:03:06.000 --> 00:03:09.000]  所以未能夠和上帝建立一個很合宜的關係
[00:03:09.000 --> 00:03:12.000]  於是上帝另立新法
[00:03:12.000 --> 00:03:15.000]  但凡每一個相信耶穌基督為我們捨身
[00:03:15.000 --> 00:03:17.000]  以及相信祂復活的大能的人
[00:03:17.000 --> 00:03:20.000]  都可以和上帝建立合宜的關係
[00:03:20.000 --> 00:03:23.000]  而我們的罪都會被赦免
[00:03:23.000 --> 00:03:25.000]  成為了上帝的兒女
[00:03:25.000 --> 00:03:27.000]  不過基督徒和死人一樣
[00:03:27.000 --> 00:03:29.000]  還未完全得到救贖
[00:03:29.000 --> 00:03:33.000]  仍然會被這個罪的權勢影響
[00:03:33.000 --> 00:03:36.000]  不過我們和未信的朋友
[00:03:36.000 --> 00:03:38.000]  不同的地方是
[00:03:38.000 --> 00:03:40.000]  我們有聖靈的幫助
[00:03:40.000 --> 00:03:42.000]  只要我們願意的話
