
[00:00:00.000 --> 00:00:03.760]  今天和大家分享兩節很簡單的經文
[00:00:03.760 --> 00:00:05.460]  是不是有的?
[00:00:05.460 --> 00:00:11.240]  就叫幸福金13章 第34至35節
[00:00:11.240 --> 00:00:16.540]  如果找到 如果大家看到 我們一起讀
[00:00:16.540 --> 00:00:19.000]  準備 1 2 3
[00:00:19.000 --> 00:00:21.920]  給你們一條新命令
[00:00:21.920 --> 00:00:25.200]  乃是叫你們彼此相愛
[00:00:25.200 --> 00:00:27.200]  我怎樣愛你們
[00:00:27.200 --> 00:00:30.800]  你們也要怎樣相愛
[00:00:30.800 --> 00:00:33.880]  你們若有彼此相愛的心
[00:00:33.880 --> 00:00:38.800]  眾人僅此就認出 你們是我的門徒了
[00:00:38.800 --> 00:00:48.440]  上個月有機會被一對新人邀請講婚禮訓練
[00:00:48.440 --> 00:00:54.040]  他們就用了這句我讀了九萬多次的經文
[00:00:54.040 --> 00:00:56.120]  很熟悉的
[00:00:56.120 --> 00:00:58.640]  我一路分享的時候
[00:00:58.640 --> 00:01:00.760]  我的感覺是
[00:01:00.760 --> 00:01:03.480]  我都不太相信自己做到
[00:01:03.480 --> 00:01:05.120]  一路分享
[00:01:05.120 --> 00:01:10.080]  完了之後好像有一種重新發現
[00:01:10.080 --> 00:01:14.680]  上帝提醒我多過提醒他
[00:01:14.680 --> 00:01:17.040]  我先釐清一下
[00:01:17.040 --> 00:01:20.280]  我講到其實很多時候都是
[00:01:20.280 --> 00:01:23.680]  講一些我自己都沒做到的經文
[00:01:23.680 --> 00:01:26.360]  就是我想分享就是
[00:01:26.360 --> 00:01:29.560]  上帝透過經文挑戰我的東西
[00:01:29.560 --> 00:01:33.000]  其實我都想在那一刻跟大家分享
[00:01:33.000 --> 00:01:35.000]  我們是一起在做的
[00:01:35.000 --> 00:01:38.600]  不是我已經做到 然後就告訴大家
[00:01:38.600 --> 00:01:39.680]  並不是這樣
[00:01:39.680 --> 00:01:42.640]  而是上帝透過聖經
[00:01:42.640 --> 00:01:45.920]  讓我先去聽 然後我再一起去分享
[00:01:45.920 --> 00:01:49.520]  其實我們一起在聖經面前都要學習努力
[00:01:49.520 --> 00:01:54.360]  那麼這節經文的痛苦之處
[00:01:54.360 --> 00:01:57.040]  如果大家回想一下
[00:01:57.040 --> 00:01:59.400]  我們的教會生活
[00:01:59.400 --> 00:02:02.120]  當講到彼此相愛的時候
[00:02:02.120 --> 00:02:04.440]  其實你是一個
[00:02:04.440 --> 00:02:08.560]  你回望回頭的時候是一種什麼樣的經歷呢
[00:02:08.560 --> 00:02:11.960]  那種經歷是
[00:02:11.960 --> 00:02:13.480]  正面還是負面的呢
[00:02:13.480 --> 00:02:17.520]  是悲涼多 是相愛多還是傷害多呢
[00:02:17.520 --> 00:02:22.720]  是那種很淒涼 長期沒有人關顧
[00:02:22.720 --> 00:02:25.200]  是呀 我已經很用心的了
[00:02:25.200 --> 00:02:29.040]  但是我好像也得不到相應的回應
[00:02:29.040 --> 00:02:31.400]  彼此相愛
[00:02:31.400 --> 00:02:34.520]  那個彼此的意思就是
[00:02:34.520 --> 00:02:36.680]  不是一句口號來的 而是
[00:02:36.680 --> 00:02:40.480]  在關係裡面有你和有我在當中
[00:02:40.480 --> 00:02:42.040]  你中有我 我中有你
[00:02:42.040 --> 00:02:46.440]  而是有主動有被動 有往來的
[00:02:46.440 --> 00:02:49.360]  有人接收 有人付出
[00:02:49.360 --> 00:02:51.840]  而這個角色可以逆轉的
[00:02:51.840 --> 00:02:54.160]  是反過來的 是平等的逆轉
[00:02:54.160 --> 00:02:56.080]  是一種這樣的關係
[00:02:56.080 --> 00:02:58.120]  耶穌要求我們是一種這樣的關係
[00:02:58.120 --> 00:03:01.960]  其實我們很多時候都很難做到的
[00:03:01.960 --> 00:03:06.120]  我們比較容易做那種付出的角色
[00:03:06.120 --> 00:03:07.880]  要不就是長期被動的
[00:03:07.880 --> 00:03:09.920]  應該是僵化了
[00:03:09.920 --> 00:03:11.960]  我有時候也會跟那些人說
[00:03:11.960 --> 00:03:15.120]  如果你不斷去探訪無家者
[00:03:15.120 --> 00:03:19.160]  你能不能夠夠膽給他探訪你一次
[00:03:19.160 --> 00:03:21.080]  你明不明白那種逆轉的角色
[00:03:21.080 --> 00:03:23.240]  你是很不願意的
[00:03:23.240 --> 00:03:25.680]  彼此相愛
[00:03:25.680 --> 00:03:29.560]  為什麼我們不能夠彼此呢
[00:03:29.560 --> 00:03:31.320]  因為雖然我們信了耶穌
[00:03:31.320 --> 00:03:33.440]  但是我們其實
[00:03:33.440 --> 00:03:36.320]  還沒有完全一種
[00:03:36.320 --> 00:03:40.120]  就是叫做生命改變到一個地步
[00:03:40.120 --> 00:03:42.760]  完全好像像耶穌基督那樣
[00:03:42.760 --> 00:03:46.480]  其實我們很多時候你再想想你的關係
[00:03:46.480 --> 00:03:48.760]  特別是在群體的關係
[00:03:48.760 --> 00:03:50.320]  外面的群體也好
[00:03:50.320 --> 00:03:52.320]  家裡也好或者這裡也好
[00:03:52.320 --> 00:03:56.680]  不能夠彼此是因為我們永遠從自己的角度出發
[00:03:56.680 --> 00:03:59.240]  是你自己先走的
[00:03:59.240 --> 00:04:00.560]  你細心想想
[00:04:00.560 --> 00:04:03.960]  你永遠分享都是從你的角度先走
[00:04:03.960 --> 00:04:06.400]  而這個自己卻是
[00:04:06.400 --> 00:04:08.040]  窒礙了我們那種關係
[00:04:08.040 --> 00:04:09.440]  因為這個自己
[00:04:09.440 --> 00:04:11.360]  有時候卻是有高低的
[00:04:11.360 --> 00:04:14.160]  它是有權力在當中
[00:04:14.160 --> 00:04:17.440]  最不能夠
[00:04:17.440 --> 00:04:20.280]  或者最阻礙我們的關係就是我們自己
[00:04:20.280 --> 00:04:22.160]  我們有時候忽略了
[00:04:22.160 --> 00:04:26.200]  我們有兩種先天的情況是會出現的
[00:04:26.200 --> 00:04:28.000]  當你在這個關係裡面
[00:04:28.000 --> 00:04:30.640]  你不想但是都一定會發生
[00:04:30.640 --> 00:04:33.160]  第一就是我們有偏見
[00:04:33.160 --> 00:04:35.560]  偏見英文就是Persuasion
[00:04:35.560 --> 00:04:39.600]  但是比較學術一點就叫做Persuasion
[00:04:39.600 --> 00:04:43.760]  我們每個人都有些前設在
[00:04:43.760 --> 00:04:44.960]  在你還沒溝通的時候
[00:04:44.960 --> 00:04:48.120]  你已經對那個人有一種想法
[00:04:48.120 --> 00:04:49.160]  前設是什麼呢
[00:04:49.160 --> 00:04:50.960]  前設其實就是
[00:04:50.960 --> 00:04:55.120]  你一邊成長一邊幫你塑造出來
[00:04:55.120 --> 00:04:57.720]  你的家庭環境
