
[00:00:00.000 --> 00:00:05.040]  很高興在2019年第一個主日跟大家見面
[00:00:05.040 --> 00:00:09.480]  很高興今天是2019年第一個星期
[00:00:09.480 --> 00:00:10.840]  與大家一起見面
[00:00:10.840 --> 00:00:15.080]  今天的講題就是「當清者進入他的門」
[00:00:15.080 --> 00:00:18.080]  今天的講題是「當清者進入他的門」
[00:00:18.080 --> 00:00:21.520]  就是詩篇第100篇第4節
[00:00:21.520 --> 00:00:23.640]  就是詩篇第100篇第4節
[00:00:23.640 --> 00:00:27.080]  大家有沒有對這段金句很熟悉呢?
[00:00:27.080 --> 00:00:30.560]  你們是不是很熟悉這段聖經呢?
[00:00:30.560 --> 00:00:32.240]  有沒有聽過這段金句呢?
[00:00:32.240 --> 00:00:34.880]  有沒有聽過這段的經文呢?
[00:00:34.880 --> 00:00:36.360]  你不會沒有聽過的
[00:00:36.360 --> 00:00:39.160]  你不會說沒有聽見
[00:00:39.160 --> 00:00:42.160]  因為當我們每一個星期日來到教會的時候
[00:00:42.160 --> 00:00:45.440]  當我們每一次進入這間教會的時候
[00:00:45.440 --> 00:00:49.360]  就在我們教會門口那個上面刻了的字
[00:00:49.360 --> 00:00:51.440]  在我們大門的門前
[00:00:51.440 --> 00:00:53.240]  有沒有留意那句金句呢?
[00:00:53.240 --> 00:00:54.960]  就是這一句的話
[00:00:54.960 --> 00:00:57.080]  就是在英文當然,不是中文
[00:00:57.080 --> 00:00:58.600]  它是用英語寫的
[00:00:58.600 --> 00:01:00.600]  就是詩篇第100篇第4節
[00:01:00.600 --> 00:01:02.800]  就是詩篇第100篇第4節
[00:01:02.800 --> 00:01:05.440]  「當清者進入他的門」
[00:01:05.440 --> 00:01:07.280]  「當清者進入他的門」
[00:01:07.280 --> 00:01:10.560]  就是「Enter his gates with happiness」
[00:01:10.560 --> 00:01:12.880]  「Enter his gates with happiness」
[00:01:12.880 --> 00:01:14.360]  或者「With praise」
[00:01:14.360 --> 00:01:16.280]  或者「With joy」
[00:01:16.280 --> 00:01:19.760]  就是一種很興奮的心情進來這間教會
[00:01:19.760 --> 00:01:22.960]  就是很興奮的心情進入這間教會
[00:01:22.960 --> 00:01:25.360]  那麼大家留意到外面還有一個字
[00:01:25.360 --> 00:01:28.280]  寫著1870的年份是不是?
[00:01:28.280 --> 00:01:30.680]  還有就是107
[00:01:30.680 --> 00:01:31.440]  1870
[00:01:31.440 --> 00:01:33.960]  哦,170年的字上面
[00:01:33.960 --> 00:01:38.080]  原來我們這個建築物已經差不多150年了
[00:01:38.080 --> 00:01:41.240]  所以這個建築物有150年了
[00:01:41.240 --> 00:01:43.040]  那麼大家知道香港的樓宇
[00:01:43.040 --> 00:01:45.720]  十幾年、二十幾年就已經是舊樓了是不是?
[00:01:45.720 --> 00:01:47.360]  如果是香港的話
[00:01:47.360 --> 00:01:49.200]  這已經是很舊的樓了
[00:01:49.200 --> 00:01:52.440]  我們這裡的樓隨時可以一百多年了
