
[00:00:00.000 --> 00:00:05.000]  好,親愛的主,我們願意將我們今天的思考學習都加在你手裏面
[00:00:05.000 --> 00:00:08.120]  讓我們被你的說話去造就我們的生命
[00:00:08.120 --> 00:00:14.440]  讓約西亞的生命裏面的點點滴滴都激勵我們、提醒我們
[00:00:14.440 --> 00:00:17.920]  求你就聽我們祈禱奉耶穌的名字而求
[00:00:17.920 --> 00:00:19.880]  阿們
[00:00:19.880 --> 00:00:31.840]  事實上我不知道你們知不知道18年後一條好漢這句說話通常是什麼情況下人們會說
[00:00:31.840 --> 00:00:39.520]  行刑的時候和我想像的差不多
[00:00:39.520 --> 00:00:42.600]  通常我自己想像的畫面都是這樣的
[00:00:42.600 --> 00:00:49.040]  18年後有一條好漢行刑的時候被人斬首之前大喊
[00:00:49.040 --> 00:00:52.360]  被人斬首18年後一條好漢
[00:00:52.360 --> 00:01:00.480]  在網上找到一些典故在隨堂演義裏面都有提及這件事
[00:01:00.480 --> 00:01:06.240]  不過回想在這個時候說這句說話其實有個意思就是
[00:01:06.240 --> 00:01:07.800]  我現在要死了
[00:01:07.800 --> 00:01:13.320]  不過我期望中國人說的輪迴
[00:01:13.320 --> 00:01:20.600]  我輪迴之後一死了就可以輪迴出世
[00:01:20.600 --> 00:01:24.600]  等18年成為一個活生生的人
[00:01:24.600 --> 00:01:25.960]  壯年走出來
[00:01:25.960 --> 00:01:31.600]  似乎當說這句說話的時候其實是沒有把握的
[00:01:31.600 --> 00:01:36.880]  說這句說話的時候其實你不知道這18年會怎樣發生
[00:01:36.880 --> 00:01:40.080]  或者你會不會見到這18年是完全看不到的
[00:01:40.080 --> 00:01:44.840]  不過似乎他有一種概念就似乎以為說完這句話之後
[00:01:44.840 --> 00:01:48.440]  我之後人生會重新開始
[00:01:48.440 --> 00:01:51.680]  我會重新等18年之後我從頭再來
[00:01:51.680 --> 00:01:54.680]  但是不是真的正如你所想
[00:01:54.680 --> 00:01:57.000]  你18年後就會見到你
[00:01:57.000 --> 00:02:02.360]  或者18年後的結果你現在不能做到什麼去改變結果
[00:02:02.360 --> 00:02:10.000]  但是我們今天會看的就是既然不能夠這樣18年後成為一個好漢的話
[00:02:10.000 --> 00:02:12.360]  那怎樣能夠成為一個好漢呢
[00:02:12.360 --> 00:02:14.840]  今天教大家一個方法
[00:02:14.840 --> 00:02:16.880]  好漢有妙法
[00:02:16.880 --> 00:02:19.920]  怎樣能夠成為一個好漢呢
[00:02:19.920 --> 00:02:23.000]  妙法第一就是改名
[00:02:23.000 --> 00:02:25.960]  譬如你把名字改成一個漢字
[00:02:25.960 --> 00:02:27.920]  譬如我叫石偉漢
[00:02:27.920 --> 00:02:32.000]  所以一定是好漢
[00:02:32.000 --> 00:02:34.960]  所以改名就是一個方法幫你成為好漢
[00:02:34.960 --> 00:02:36.520]  不用等18年
[00:02:36.520 --> 00:02:39.440]  第二個方法是什麼呢
[00:02:39.440 --> 00:02:41.440]  這種方法有兩種做法
[00:02:41.440 --> 00:02:43.320]  一種是深度一點的、一種是淺度一點的
[00:02:43.320 --> 00:02:45.600]  一個就是去整容
[00:02:45.600 --> 00:02:48.920]  另一個就是用美圖繡繡
[00:02:48.920 --> 00:02:50.920]  因為我們就可以食字了
[00:02:50.920 --> 00:02:52.920]  這樣就變成好漢
[00:02:52.920 --> 00:02:56.360]  不知道怎麼翻譯,麻煩了
[00:02:56.360 --> 00:02:58.360]  好漢就是好看
[00:02:58.360 --> 00:03:01.480]  即是你的樣子好看
[00:03:01.480 --> 00:03:04.680]  那就好漢了,告訴別人我現在就是好漢了
[00:03:04.680 --> 00:03:09.080]  不過這兩個方法應該不是人人都做得到
[00:03:09.080 --> 00:03:11.680]  第三個方法就可以了
[00:03:11.680 --> 00:03:14.440]  應該人人都可以做得到
[00:03:14.440 --> 00:03:16.440]  不過問題是你做不做
[00:03:16.440 --> 00:03:17.440]  怎樣做呢
[00:03:17.440 --> 00:03:19.440]  就是改變你自己
[00:03:19.440 --> 00:03:24.440]  以至於在神眼中變得好漢又好漢
[00:03:24.440 --> 00:03:27.840]  即是你如果能夠改變你自己的話
[00:03:27.840 --> 00:03:30.840]  在神眼中真的看到你又好漢又好漢
[00:03:30.840 --> 00:03:32.840]  為什麼呢,因為聖經裡面說
[00:03:32.840 --> 00:03:34.080]  神怎樣去看呢
[00:03:34.080 --> 00:03:36.080]  當一個改變的你,他說什麼呢
[00:03:36.080 --> 00:03:38.080]  耶和華眼中漢為正
[00:03:38.080 --> 00:03:40.080]  在耶和華眼中漢為正直
[00:03:40.080 --> 00:03:42.080]  但是可能同時間
[00:03:42.080 --> 00:03:44.080]  廣東話才能譯成
[00:03:44.080 --> 00:03:46.080]  就是漢為正
[00:03:46.080 --> 00:03:48.080]  神覺得你好正
[00:03:48.080 --> 00:03:51.080]  當你願意改變你自己的話
[00:03:51.080 --> 00:03:53.080]  你可以成為眼中漢為正直的
[00:03:53.080 --> 00:03:55.080]  也可以在神眼中漢為正的
[00:03:55.080 --> 00:03:59.080]  今天我們都會看到一個主角
[00:03:59.080 --> 00:04:02.080]  這個主角就是猶大其中一個王
[00:04:02.080 --> 00:04:04.080]  就叫做約西亞王
[00:04:04.080 --> 00:04:07.080]  這個王其實我們在上一次
[00:04:07.080 --> 00:04:10.080]  講到裡面都已經提及了
[00:04:10.080 --> 00:04:13.080]  在聖殿裡面找回那個書卷
[00:04:13.080 --> 00:04:17.080]  那次頒布這些書卷的時候
[00:04:17.080 --> 00:04:19.080]  那個王就是約西亞王
[00:04:19.080 --> 00:04:22.080]  所以今天藉著上次大家有個初步的概念
[00:04:22.080 --> 00:04:25.080]  知道約西亞王是一個怎樣
[00:04:25.080 --> 00:04:26.080]  找到書卷
[00:04:26.080 --> 00:04:29.080]  頒布這些律法的一個王之後
[00:04:29.080 --> 00:04:31.080]  我們今天再嘗試看多一點
[00:04:31.080 --> 00:04:34.080]  這個約西亞王是怎樣
[00:04:34.080 --> 00:04:35.080]  所以既然是這樣
[00:04:35.080 --> 00:04:38.080]  我們今天先定了三個分題
[00:04:38.080 --> 00:04:39.080]  很容易記的
[00:04:39.080 --> 00:04:41.080]  第一個分題是什麼呢
[00:04:41.080 --> 00:04:44.080]  十八年前一個小樹
[00:04:44.080 --> 00:04:46.080]  十八年前一個小樹
[00:04:46.080 --> 00:04:48.080]  猶大王約西亞王
[00:04:48.080 --> 00:04:51.080]  原來用了十八年的時間變得很正
[00:04:51.080 --> 00:04:53.080]  十八年的時間變得很正
[00:04:53.080 --> 00:04:56.080]  但是十八年前是怎樣呢
[00:04:56.080 --> 00:04:58.080]  因為我們剛才看到
[00:04:58.080 --> 00:05:01.080]  就是歷代至下第三十五章的時候
[00:05:01.080 --> 00:05:04.080]  就在講約西亞王第十八年的時間
[00:05:04.080 --> 00:05:07.080]  十八年前是怎樣呢
[00:05:07.080 --> 00:05:10.080]  我會稱它為一個小樹
[00:05:10.080 --> 00:05:13.080]  通常你怎樣形容別人是小樹呢
[00:05:13.080 --> 00:05:15.080]  你會叫什麼人做小樹呢
[00:05:15.080 --> 00:05:16.080]  矇矇的
[00:05:16.080 --> 00:05:17.080]  矇矇的的人
[00:05:17.080 --> 00:05:21.080]  你身邊有沒有小樹
[00:05:21.080 --> 00:05:23.080]  這個也不用了
[00:05:23.080 --> 00:05:25.080]  樹佬是不是
[00:05:25.080 --> 00:05:26.080]  那麼
[00:05:26.080 --> 00:05:29.080]  小樹通常在廣東話來說
[00:05:29.080 --> 00:05:31.080]  暗示這個人比較呆滯
[00:05:31.080 --> 00:05:32.080]  反應慢
[00:05:32.080 --> 00:05:35.080]  甚至乎有些沒用的感覺
[00:05:35.080 --> 00:05:37.080]  所以我嘗試這樣去描述
[00:05:37.080 --> 00:05:41.080]  約西亞王在那個時間裏面都是這樣的
[00:05:41.080 --> 00:05:43.080]  不過有趣的地方就是
[00:05:43.080 --> 00:05:45.080]  原來我上網看
[00:05:45.080 --> 00:05:47.080]  很多人都喜歡用這些食物
[00:05:47.080 --> 00:05:49.080]  去形容一些人
[00:05:49.080 --> 00:05:51.080]  包括叉燒
[00:05:51.080 --> 00:05:53.080]  有時候形容成叉燒
[00:05:53.080 --> 00:05:55.080]  都是喜歡用這些食物去描述
[00:05:55.080 --> 00:05:57.080]  我嘗試用這個小樹
[00:05:57.080 --> 00:05:58.080]  但是
[00:05:58.080 --> 00:06:00.080]  十八年前是什麼時間呢
[00:06:00.080 --> 00:06:02.080]  其實經文已經說了
[00:06:02.080 --> 00:06:03.080]  第一節
[00:06:03.080 --> 00:06:04.080]  第三十四章第一節說
[00:06:04.080 --> 00:06:08.080]  約西亞王登基的時候年八歲
[00:06:08.080 --> 00:06:10.080]  在耶路撒冷作王三十一年
[00:06:10.080 --> 00:06:13.080]  原來說他
[00:06:13.080 --> 00:06:15.080]  聖經開始描述他出現的時候
[00:06:15.080 --> 00:06:18.080]  就是說他八歲的時候
[00:06:18.080 --> 00:06:19.080]  八歲的時候
[00:06:19.080 --> 00:06:22.080]  十八年前就是他八歲的時候
[00:06:22.080 --> 00:06:24.080]  問一問你八歲的時候
[00:06:24.080 --> 00:06:27.080]  你在做什麼
[00:06:27.080 --> 00:06:28.080]  八歲的時候
[00:06:28.080 --> 00:06:30.080]  你還在做什麼
[00:06:30.080 --> 00:06:31.080]  玩什麼
[00:06:31.080 --> 00:06:32.080]  學什麼
[00:06:32.080 --> 00:06:35.080]  是怎樣生活的呢
[00:06:35.080 --> 00:06:36.080]  我相信
[00:06:36.080 --> 00:06:37.080]  暫時我觀察這裏
[00:06:37.080 --> 00:06:39.080]  沒有一個人在八歲的時候
[00:06:39.080 --> 00:06:41.080]  陷入金池間出生的
[00:06:41.080 --> 00:06:43.080]  應該沒有人是這樣
[00:06:43.080 --> 00:06:44.080]  但是
[00:06:44.080 --> 00:06:45.080]  約西亞就是
[00:06:45.080 --> 00:06:46.080]  八歲的時候
[00:06:46.080 --> 00:06:50.080]  就會被人推去做皇帝
[00:06:50.080 --> 00:06:53.080]  被人推去做猶大國的皇帝
[00:06:53.080 --> 00:06:55.080]  所以這個皇帝
[00:06:55.080 --> 00:06:56.080]  八歲做一個皇帝
[00:06:56.080 --> 00:06:58.080]  會不會做呢
[00:06:58.080 --> 00:06:59.080]  我們可以想像
[00:06:59.080 --> 00:07:01.080]  應該不是太會做
[00:07:01.080 --> 00:07:02.080]  所以很需要
[00:07:02.080 --> 00:07:04.080]  別人教他
[00:07:04.080 --> 00:07:07.080]  怎樣能夠做一個皇帝呢
[00:07:07.080 --> 00:07:09.080]  所以我們的問題就是問
[00:07:09.080 --> 00:07:11.080]  在約西亞八歲的時候
[00:07:11.080 --> 00:07:13.080]  有哪一個可以教約西亞
[00:07:13.080 --> 00:07:14.080]  做些什麼呢
[00:07:14.080 --> 00:07:17.080]  究竟皇帝要做些什麼呢
[00:07:17.080 --> 00:07:19.080]  你看那些中國的宮廷劇
[00:07:19.080 --> 00:07:21.080]  皇帝當然是找些女人
[00:07:21.080 --> 00:07:22.080]  找些妃嬪
[00:07:22.080 --> 00:07:25.080]  然後只是在那裡吃好東西
[00:07:25.080 --> 00:07:27.080]  一個皇帝是否就是這樣呢
[00:07:27.080 --> 00:07:29.080]  起碼在以色列這裏
[00:07:29.080 --> 00:07:30.080]  猶大國裏面的皇帝
[00:07:30.080 --> 00:07:32.080]  應該就不是這樣
[00:07:32.080 --> 00:07:34.080]  可能早些的皇帝都有
[00:07:34.080 --> 00:07:36.080]  但是他不是這樣
[00:07:36.080 --> 00:07:38.080]  有哪一個可以教約西亞
[00:07:38.080 --> 00:07:39.080]  做些什麼呢
[00:07:39.080 --> 00:07:40.080]  八歲的時候
[00:07:40.080 --> 00:07:43.080]  可以誰成為約書亞
[00:07:43.080 --> 00:07:46.080]  可以效法的榜樣呢
[00:07:46.080 --> 00:07:47.080]  約西亞可以效法
[00:07:47.080 --> 00:07:48.080]  哪一個學懂
[00:07:48.080 --> 00:07:51.080]  怎樣去做一個真正的男人呢
[00:07:51.080 --> 00:07:53.080]  一個小孩要站出來
