
[00:00:00.000 --> 00:00:04.040]  今天說到真教會的特質三
[00:00:04.040 --> 00:00:06.180]  要懂得選擇
[00:00:06.180 --> 00:00:08.180]  要懂得選擇
[00:00:08.180 --> 00:00:10.320]  因為我們知道要懂得選擇
[00:00:10.320 --> 00:00:12.360]  我們才不會後悔
[00:00:12.360 --> 00:00:14.380]  聽過一個笑話說到
[00:00:14.380 --> 00:00:17.760]  夫妻放工回家
[00:00:17.760 --> 00:00:20.060]  太太買菜煮飯
[00:00:20.060 --> 00:00:21.920]  煮飯出來吃的時候
[00:00:21.920 --> 00:00:24.100]  老公一吃 吃條魚
[00:00:24.100 --> 00:00:25.440]  他就開始彈了
[00:00:25.440 --> 00:00:28.540]  哇 條魚都不是新鮮的
[00:00:28.540 --> 00:00:31.080]  你被人騙 你懂得選擇嗎
[00:00:31.080 --> 00:00:32.740]  選一條死魚
[00:00:32.740 --> 00:00:35.580]  弄得死蠢
[00:00:35.580 --> 00:00:38.540]  接著他一吃 牛肉
[00:00:38.540 --> 00:00:39.780]  不跟老婆說
[00:00:39.780 --> 00:00:43.480]  我弄得牛肉比你韌
[00:00:43.480 --> 00:00:45.180]  你懂得選擇嗎
[00:00:45.180 --> 00:00:47.460]  老婆看著他 很生氣
[00:00:47.460 --> 00:00:48.620]  接著一吃菜
[00:00:48.620 --> 00:00:51.420]  哇 菜是老的
[00:00:51.420 --> 00:00:53.560]  你懂得選擇嗎
[00:00:53.560 --> 00:00:56.020]  差點老過你
[00:00:56.020 --> 00:00:57.700]  接著最後吃完飯
[00:00:57.700 --> 00:00:59.560]  吃橙
[00:00:59.560 --> 00:01:01.940]  哇 這是羅底橙
[00:01:01.940 --> 00:01:03.700]  你懂得選擇嗎
[00:01:03.700 --> 00:01:05.940]  接著老婆很生氣
[00:01:05.940 --> 00:01:07.740]  接著看著老公
[00:01:07.740 --> 00:01:09.280]  你說得對
[00:01:09.280 --> 00:01:10.880]  我真是死蠢
[00:01:10.880 --> 00:01:13.380]  我選的東西都是最差的
[00:01:13.380 --> 00:01:16.740]  不然怎麼會選你
[00:01:16.740 --> 00:01:18.980]  真的 有時候如果我們選錯東西
[00:01:18.980 --> 00:01:21.120]  真的可不能會後悔
[00:01:21.120 --> 00:01:23.320]  當然這個故事真是不知道
[00:01:23.320 --> 00:01:24.760]  不過我講完之後
[00:01:24.760 --> 00:01:26.760]  這幾堂都很多太太來說
[00:01:26.760 --> 00:01:28.000]  你真是講得好
[00:01:28.000 --> 00:01:30.400]  我老公經常在這裡談
[00:01:30.400 --> 00:01:33.000]  真是選了他
[00:01:33.000 --> 00:01:35.000]  CNBC在幾年前
[00:01:35.000 --> 00:01:37.400]  有一篇文章挺好笑的
[00:01:37.400 --> 00:01:40.000]  如果我們選錯東西
[00:01:40.000 --> 00:01:43.000]  未來十年就會後悔
[00:01:43.000 --> 00:01:45.580]  上堅的遺憾是什麼
[00:01:45.580 --> 00:01:48.680]  他說錯過了機會
[00:01:48.680 --> 00:01:52.680]  更加謹慎地花時間
[00:01:52.680 --> 00:01:54.020]  即是亂花
[00:01:54.020 --> 00:01:56.820]  沒有應該有做到的成就
[00:01:56.820 --> 00:01:57.860]  沒有做到
[00:01:57.860 --> 00:02:01.820]  或者沒有做好有意義的工作
[00:02:01.820 --> 00:02:05.260]  花在不應該花的工作上
[00:02:05.260 --> 00:02:06.460]  拖延
[00:02:06.460 --> 00:02:08.940]  明天又明天
[00:02:08.940 --> 00:02:10.740]  明天又拖延後會
[00:02:10.740 --> 00:02:11.840]  又拖延多一天
[00:02:11.840 --> 00:02:14.500]  沒有形成更好的習慣
[00:02:14.500 --> 00:02:17.080]  即是三分鐘熱度
[00:02:17.080 --> 00:02:18.380]  有興趣之後
[00:02:18.380 --> 00:02:19.380]  沒有見客
[00:02:19.380 --> 00:02:21.820]  沒有掌握另一種語言和技能
[00:02:21.820 --> 00:02:23.340]  我太單一了
[00:02:23.340 --> 00:02:25.380]  陷入不良的關係
[00:02:25.380 --> 00:02:31.260]  或者犯錯誤在過往的關係中
[00:02:31.260 --> 00:02:33.060]  其實如果我們將它分類
[00:02:33.060 --> 00:02:33.660]  有兩大類
[00:02:33.660 --> 00:02:37.300]  第一是沒有好好把握時間時機
[00:02:37.300 --> 00:02:39.740]  第二是很多惡的習慣
[00:02:39.740 --> 00:02:44.340]  或者沒有建立好更換新的好的東西
[00:02:44.340 --> 00:02:45.540]  他繼續這樣說
[00:02:45.540 --> 00:02:49.540]  你今天的選擇將會決定你未來十年
[00:02:49.540 --> 00:02:52.140]  有多麼的遺憾
[00:02:52.140 --> 00:02:53.980]  我就加了一個下面
[00:02:53.980 --> 00:02:55.340]  如果你選擇得好
[00:02:55.340 --> 00:02:59.580]  將會決定你未來十年有多少的起落
[00:02:59.580 --> 00:03:03.460]  當然可能涉及不止十年
[00:03:03.460 --> 00:03:05.260]  今日我們將會講一段經文
