
[00:00:00.000 --> 00:00:04.000]  在《蝙蝠俠》裡有一個我很喜歡的角色
[00:00:04.000 --> 00:00:11.000]  這個角色曾經是這個市裡面一個很正義的檢察官
[00:00:11.000 --> 00:00:16.000]  代表著體制裡面一個很正義、希望的代表
[00:00:16.000 --> 00:00:20.000]  不過這個檢察官經歷了一次嚴重的意外
[00:00:20.000 --> 00:00:24.000]  他不單止留下了一個嚴重的創傷
[00:00:24.000 --> 00:00:27.000]  也令到這個人毀容
[00:00:27.000 --> 00:00:31.000]  不知道有沒有人知道我在說《蝙蝠俠》裡面是誰呢
[00:00:31.000 --> 00:00:36.000]  這個就是哈維丹特
[00:00:36.000 --> 00:00:43.000]  這個人昔日是《蝙蝠俠》裡面的光明騎士
[00:00:43.000 --> 00:00:47.000]  但是那次令他毀容的意外和創傷
[00:00:47.000 --> 00:00:54.000]  他是令道德最堅定、成就最卓越的人徹底的墮落
[00:00:54.000 --> 00:01:04.000]  最後他化身成為否認一切理性和道德準則的一個雙面人
[00:01:04.000 --> 00:01:09.000]  我說我很喜歡這個角色不是因為我很欣賞他或者我很認同他
[00:01:09.000 --> 00:01:14.000]  而是因為我覺得他很真實地道出了人性
[00:01:14.000 --> 00:01:21.000]  將內心的惡和他原本生命裡面有的善
[00:01:21.000 --> 00:01:27.000]  完全割裂成為兩個獨立運作的極端
[00:01:27.000 --> 00:01:31.000]  所以我覺得《蝙蝠俠》真的很吸引人
[00:01:31.000 --> 00:01:35.000]  因為他其實不只是一套給小朋友看的卡通
[00:01:35.000 --> 00:01:42.000]  而是他同樣講述很多人的深層思想和矛盾
[00:01:42.000 --> 00:01:46.000]  當我覺得《蝙蝠俠》很吸引人、很好看的時候
[00:01:46.000 --> 00:01:53.000]  其實我們手上的聖經同樣吸引甚至更加有魅力
[00:01:53.000 --> 00:01:59.000]  是因為聖經不單止與我們陳明人性的真實和軟弱
[00:01:59.000 --> 00:02:04.000]  聖經也在黑暗裡刺下盼望和答案
[00:02:04.000 --> 00:02:10.000]  時隔三個星期,今天我們再次回來啟示錄系列的《正道》
[00:02:10.000 --> 00:02:14.000]  來到耶穌基督第三封寫給教會的信
[00:02:14.000 --> 00:02:17.000]  我們見到別加摩這間教會
[00:02:17.000 --> 00:02:21.000]  雖然這間教會是很勇敢、很堅定
[00:02:21.000 --> 00:02:24.000]  但可能我們剛才讀了經都見到
[00:02:24.000 --> 00:02:28.000]  他們最終都是墮落、妥協
[00:02:28.000 --> 00:02:33.000]  心願耶穌基督寫給這間雙面教會的這封信
[00:02:33.000 --> 00:02:36.000]  都成為我們今天教會每一個信徒
[00:02:36.000 --> 00:02:39.000]  一個警告、一個提醒
[00:02:39.000 --> 00:02:41.000]  我們再次低頭祈禱
[00:02:44.000 --> 00:02:47.000]  親愛的主,願祢大能的說話
[00:02:47.000 --> 00:02:50.000]  今天否開我們的生命
[00:02:50.000 --> 00:02:55.000]  成為我們生命裡很重要的提醒、很重要的警告
[00:02:55.000 --> 00:02:57.000]  主啊!今天這個世界
[00:02:57.000 --> 00:03:00.000]  沒錯有很多的患難、有很多的苦難
[00:03:00.000 --> 00:03:06.000]  但同樣這個世界都有很多的誘惑、很多的試探
[00:03:06.000 --> 00:03:08.000]  願主祢堅固我們
[00:03:08.000 --> 00:03:14.000]  讓我們知道在世的日子怎樣作一個蒙你喜悅的人
[00:03:14.000 --> 00:03:16.000]  蒙你喜悅的信徒
[00:03:16.000 --> 00:03:20.000]  最後幫助我們今天讓講的能夠講得清晰
[00:03:20.000 --> 00:03:24.000]  也讓聽的有聖靈的導引讓我們去明白
[00:03:24.000 --> 00:03:26.000]  我們將以後的時間恭敬教堂
[00:03:26.000 --> 00:03:29.000]  奉主名求
