
[00:00:00.000 --> 00:00:04.000]  我想和大家讀一讀《雅各書第三章》第五節到第六節
[00:00:04.000 --> 00:00:06.000]  雖然今天我們仍然是在說《約伯記》
[00:00:06.000 --> 00:00:10.000]  不過我想讀這兩節聖經作為我的開場白
[00:00:10.000 --> 00:00:14.000]  我們一起讀一讀《雅各書第三章》第五節到第六節
[00:00:14.000 --> 00:00:15.000]  我們一起讀一讀 準備 1 2 3
[00:00:15.000 --> 00:00:20.000]  舌頭在八體裡也是最小的 卻能說大話
[00:00:20.000 --> 00:00:25.000]  看那最小的火 能點著最大的樹林
[00:00:25.000 --> 00:00:28.000]  舌頭就是火 在我們八體中
[00:00:28.000 --> 00:00:32.000]  舌頭是個罪惡的世界 能污穢全身
[00:00:32.000 --> 00:00:35.000]  也能把生命的娘子點起來
[00:00:35.000 --> 00:00:39.000]  並且是從地獄裡點著的
[00:00:39.000 --> 00:00:42.000]  雅各很清楚提到在我們八體當中
[00:00:42.000 --> 00:00:44.000]  身體裡 這麼多器官裡
[00:00:44.000 --> 00:00:47.000]  他說舌頭雖然是最小
[00:00:47.000 --> 00:00:52.000]  但是所帶來的禍患 所帶來的傷害可以是最大
[00:00:52.000 --> 00:00:55.000]  作為《約伯記》裡的內容
[00:00:55.000 --> 00:00:57.000]  我們看回《約伯記》的時候
[00:00:57.000 --> 00:01:00.000]  表面上我們可以覺得《約伯記》真的很簡單
[00:01:00.000 --> 00:01:02.000]  去看回一個議題
[00:01:02.000 --> 00:01:03.000]  這個議題就是說
[00:01:03.000 --> 00:01:07.000]  究竟罪是不是唯一一個原因
[00:01:07.000 --> 00:01:09.000]  是帶來一個苦難的結果
[00:01:09.000 --> 00:01:13.000]  所謂因是不是只有罪就帶來苦難
[00:01:13.000 --> 00:01:16.000]  苦難唯一的因是不是等於罪
[00:01:16.000 --> 00:01:17.000]  這個就是一個議題
[00:01:17.000 --> 00:01:19.000]  以至到約伯的三位朋友
[00:01:19.000 --> 00:01:23.000]  當他面對約伯經歷到他的人生當中
[00:01:23.000 --> 00:01:26.000]  第一 一天之內沒有金錢 沒有親人
[00:01:26.000 --> 00:01:28.000]  另一天沒有健康的時候
[00:01:28.000 --> 00:01:32.000]  這三位朋友開始去探望約伯
[00:01:32.000 --> 00:01:36.000]  而在探望當中就開始跟他說一些話
[00:01:36.000 --> 00:01:39.000]  我們完成了第一輪的對話
[00:01:39.000 --> 00:01:41.000]  和完成了第二輪的
[00:01:41.000 --> 00:01:44.000]  第一位的以利法和約伯的對話
[00:01:44.000 --> 00:01:46.000]  今天去到比亞達
[00:01:46.000 --> 00:01:51.000]  是第二輪的這位朋友開始說話
[00:01:51.000 --> 00:01:55.000]  我們發覺原來說話所帶給約伯的傷害
[00:01:55.000 --> 00:01:58.000]  比他自己所面對的身體的傷害
[00:01:58.000 --> 00:02:02.000]  面對他自己情緒的傷害是更加的嚴重
