
[00:00:00.000 --> 00:00:03.060]  我來了同福一年多的時間
[00:00:03.060 --> 00:00:05.600]  我聽到不少頂姐妹都這樣說
[00:00:05.600 --> 00:00:08.900]  她說很想讀聖經
[00:00:08.900 --> 00:00:12.680]  但是讀來讀去都讀不明白
[00:00:12.680 --> 00:00:16.880]  不知道在座會不會有些頂姐妹都有同感
[00:00:16.880 --> 00:00:20.240]  那怎麼辦呢
[00:00:20.240 --> 00:00:22.800]  有個口頭禪在講台上
[00:00:22.800 --> 00:00:26.360]  如果不明白的話就去問誰
[00:00:26.360 --> 00:00:31.060]  驅毛啦 不明白就問驅毛
[00:00:31.060 --> 00:00:35.080]  雖然頂姐妹讀不明白聖經
[00:00:35.080 --> 00:00:36.580]  都不是一件好事
[00:00:36.580 --> 00:00:39.960]  但是我從心裏很欣賞這些頂姐妹
[00:00:39.960 --> 00:00:41.840]  因為至少她們嘗試過
[00:00:41.840 --> 00:00:45.040]  她們努力過去明白聖經
[00:00:45.040 --> 00:00:48.480]  到底我們應該怎樣去讀聖經
[00:00:48.480 --> 00:00:52.240]  才可以更加明白神的心意
[00:00:52.240 --> 00:00:53.800]  這個讓我想到一齣戲
[00:00:53.800 --> 00:00:56.320]  大家有沒有看過這齣戲 叫《非常到》
[00:00:56.320 --> 00:00:59.640]  有沒有看過 有些人看過
[00:00:59.640 --> 00:01:01.640]  其實我不是講這齣戲的內容
[00:01:01.640 --> 00:01:05.860]  只不過我想講其中一句說話在裏面
[00:01:05.860 --> 00:01:07.880]  影片的開頭它用了一句說話
[00:01:07.880 --> 00:01:11.600]  它說The closer you look
[00:01:11.600 --> 00:01:14.040]  the less you will see
[00:01:14.040 --> 00:01:18.480]  即是說當我們越近距離去看事物的時間
[00:01:18.480 --> 00:01:21.760]  我們看到的東西就越少
[00:01:21.760 --> 00:01:26.440]  然後我就想其實這句說話都幾適用於我們讀經的時間
[00:01:26.440 --> 00:01:28.920]  當我們很近距離去讀經
[00:01:28.920 --> 00:01:32.080]  不是講真正的距離
[00:01:32.080 --> 00:01:33.560]  當我們近距離讀經
[00:01:33.560 --> 00:01:37.800]  就是當我們專注在一句 一節
[00:01:37.800 --> 00:01:40.800]  甚至乎一個字上面的時間
[00:01:40.800 --> 00:01:45.200]  我們可能看到的是很少的部份
[00:01:45.200 --> 00:01:46.480]  我舉一個例子
[00:01:46.480 --> 00:01:48.640]  在《路加福音》六章三一節
[00:01:48.640 --> 00:01:50.200]  那裏這樣說
[00:01:50.200 --> 00:01:53.080]  你們願意人怎樣待你們
[00:01:53.080 --> 00:01:55.640]  你們也要怎樣待人
[00:01:55.640 --> 00:01:58.440]  這句經文很熟悉吧
[00:01:58.440 --> 00:02:00.440]  有人背了嗎
[00:02:00.440 --> 00:02:04.160]  可能也會有吧
[00:02:04.160 --> 00:02:08.200]  這句經文其實講什麼呢
[00:02:08.200 --> 00:02:12.280]  我們經常都以為這句經文是主耶穌教導我們
[00:02:12.280 --> 00:02:14.280]  我們想人怎樣對我們
