
[00:00:00.000 --> 00:00:03.120]  其實講這個題目已經不知道講了多少次了
[00:00:03.120 --> 00:00:05.120]  你們也不知道聽了多少次了
[00:00:05.120 --> 00:00:06.080]  不過呢
[00:00:06.080 --> 00:00:09.080]  講到我自己也不記得我曾經怎麼講過
[00:00:09.080 --> 00:00:10.520]  我相信你們也一樣的
[00:00:10.520 --> 00:00:12.920]  聽都聽到不知道你曾經聽過些什麼
[00:00:12.920 --> 00:00:14.880]  所以你和我都好的
[00:00:14.880 --> 00:00:16.200]  我們重新來過
[00:00:16.200 --> 00:00:19.000]  從頭再看一次這段經文
[00:00:19.000 --> 00:00:22.000]  這段經文其實背景有一段經文我們沒有讀
[00:00:22.000 --> 00:00:26.080]  其實是講《釀案福音第十三章》
[00:00:26.080 --> 00:00:28.920]  開始的時候講了一件很特別的事情
[00:00:28.920 --> 00:00:29.880]  是個人看上來
[00:00:29.880 --> 00:00:31.800]  特別是當時的人看上來
[00:00:31.800 --> 00:00:33.920]  覺得是很難理解這件事
[00:00:33.920 --> 00:00:39.880]  就是耶穌為他的學生、徒弟、門徒洗腳
[00:00:39.880 --> 00:00:42.800]  關於洗腳這個記載
[00:00:42.800 --> 00:00:45.000]  有很多不同的傳道人
[00:00:45.000 --> 00:00:47.960]  都是用這段經文講了很多的
[00:00:47.960 --> 00:00:52.720]  今天我們可能不會很著重講那一段
[00:00:52.720 --> 00:00:53.840]  不過我講的是
[00:00:53.840 --> 00:00:56.800]  耶穌為什麼要為門徒洗腳呢?
[00:00:56.800 --> 00:00:59.000]  引言裡面我講了一件事情
[00:00:59.000 --> 00:01:01.080]  我講的是一個叫做同門
[00:01:01.080 --> 00:01:03.200]  今天如果我們問
[00:01:03.200 --> 00:01:04.760]  大家都是基督徒的話
[00:01:04.760 --> 00:01:07.760]  當然我們有好幾個不同的
[00:01:07.760 --> 00:01:10.040]  接近的身份或者相同的身份
[00:01:10.040 --> 00:01:11.440]  第一你是信耶穌的
[00:01:11.440 --> 00:01:13.040]  然後他問你你去哪一間教會
[00:01:13.040 --> 00:01:14.880]  很多時候我們回答
[00:01:14.880 --> 00:01:16.360]  你可能未必直接回答
[00:01:16.360 --> 00:01:18.600]  就回答這個新希望
[00:01:18.600 --> 00:01:19.880]  我回浸信會
[00:01:19.880 --> 00:01:20.880]  你有些朋友都是這樣
[00:01:20.880 --> 00:01:21.840]  我回奧德會
[00:01:21.840 --> 00:01:23.000]  我回什麼會
[00:01:23.000 --> 00:01:25.800]  你開始知道他是什麼會
[00:01:25.800 --> 00:01:27.160]  我回浸信會
[00:01:27.160 --> 00:01:29.400]  浸信會是哪一間浸信會
[00:01:29.400 --> 00:01:30.200]  很多人都問
[00:01:30.200 --> 00:01:32.000]  我說新希望浸信會
[00:01:32.000 --> 00:01:34.360]  新希望浸信會好像沒聽過
[00:01:34.360 --> 00:01:35.000]  以前
[00:01:35.000 --> 00:01:36.120]  就是說十年前
[00:01:36.120 --> 00:01:37.080]  那些人就會覺得
[00:01:37.080 --> 00:01:40.160]  不是因為十年前新希望浸信會還沒出現
[00:01:40.160 --> 00:01:41.480]  浸信會
[00:01:41.480 --> 00:01:44.480]  特別是在香港的浸聯會的浸信會
[00:01:44.480 --> 00:01:47.280]  很少用一些這樣的名字
[00:01:47.280 --> 00:01:51.160]  大部分是跟隨美南浸信會那邊
