
[00:00:00.000 --> 00:00:02.000]  旗鼎姐妹早晨
[00:00:02.000 --> 00:00:04.000]  今日我們講到的主題是
[00:00:04.000 --> 00:00:06.000]  《聖靈本色》
[00:00:06.000 --> 00:00:09.000]  我們今天是看《仕途行傳》
[00:00:09.000 --> 00:00:13.000]  教會給我的題目是講勇氣
[00:00:13.000 --> 00:00:15.000]  講勇氣的時候
[00:00:15.000 --> 00:00:18.000]  我想到一個經典的電影
[00:00:18.000 --> 00:00:20.000]  叫《英雄本色》
[00:00:20.000 --> 00:00:22.000]  大家有沒有看過
[00:00:22.000 --> 00:00:24.000]  《英雄本色》
[00:00:24.000 --> 00:00:26.000]  這齣電影好看
[00:00:26.000 --> 00:00:29.000]  不單止是因為子彈飛得好漂亮
[00:00:29.000 --> 00:00:33.000]  更吸引人的是劇情
[00:00:33.000 --> 00:00:36.000]  講到裡面每一個角色
[00:00:36.000 --> 00:00:38.000]  他們都不怕死
[00:00:38.000 --> 00:00:41.000]  好像每一個人都有九條命
[00:00:41.000 --> 00:00:43.000]  他們都不怕死
[00:00:43.000 --> 00:00:45.000]  為什麼他們不怕死呢
[00:00:45.000 --> 00:00:51.000]  原來他們每個人都有心目中的正義
[00:00:51.000 --> 00:00:53.000]  他們要守住
[00:00:53.000 --> 00:00:55.000]  好像張國榮
[00:00:55.000 --> 00:00:57.000]  他是一個警察
[00:00:57.000 --> 00:00:59.000]  維護這個社會的秩序
[00:00:59.000 --> 00:01:01.000]  就是他要守護的正義
[00:01:01.000 --> 00:01:04.000]  而狄龍和Mark哥
[00:01:04.000 --> 00:01:08.000]  雖然他們是黑社會
[00:01:08.000 --> 00:01:11.000]  但由於周潤發太有型
[00:01:11.000 --> 00:01:14.000]  還有他死都死不去
[00:01:14.000 --> 00:01:16.000]  所以我們的觀眾
[00:01:16.000 --> 00:01:18.000]  很容易都會支持
[00:01:18.000 --> 00:01:21.000]  很愛這個角色
[00:01:21.000 --> 00:01:25.000]  但是我們再回到《仕途行傳》的時候
[00:01:25.000 --> 00:01:28.000]  我們看到《仕途行傳》裡面
[00:01:28.000 --> 00:01:30.000]  都有很多英雄
[00:01:30.000 --> 00:01:33.000]  他們個個都不怕死
[00:01:33.000 --> 00:01:35.000]  數數有肥力
[00:01:35.000 --> 00:01:37.000]  有史提反
[00:01:37.000 --> 00:01:39.000]  還有巴拿巴
[00:01:39.000 --> 00:01:42.000]  《仕途行傳》講得最多的
[00:01:42.000 --> 00:01:44.000]  就是保羅和彼得
[00:01:44.000 --> 00:01:47.000]  講得最多的就是這兩個角色
[00:01:47.000 --> 00:01:49.000]  但你看到這些人不怕死
[00:01:49.000 --> 00:01:52.000]  他們是在捍衛同一個義
[00:01:52.000 --> 00:01:55.000]  他們是在捍衛神的義
[00:01:55.000 --> 00:01:58.000]  所以他們是不怕死的
[00:01:58.000 --> 00:02:00.000]  而我們看到彼得和保羅
[00:02:00.000 --> 00:02:02.000]  最後真的殉道
[00:02:02.000 --> 00:02:05.000]  他們的勇氣不是一個口
[00:02:05.000 --> 00:02:06.000]  不是一個講字
[00:02:06.000 --> 00:02:10.000]  是真的願意甘於去維護神的義
[00:02:10.000 --> 00:02:12.000]  而不怕失去他們的生命
[00:02:12.000 --> 00:02:16.000]  今天我們的經文主要是講彼得
[00:02:16.000 --> 00:02:19.000]  我們回顧一下彼得的生平
[00:02:19.000 --> 00:02:23.000]  彼得的生平是有很多英雄本色的瞬間
[00:02:23.000 --> 00:02:26.000]  彼得是吃過野粥的
[00:02:26.000 --> 00:02:30.000]  很有義氣的
[00:02:30.000 --> 00:02:33.000]  而主耶穌也幫他起了一個花名
[00:02:33.000 --> 00:02:35.000]  叫做雷子
[00:02:35.000 --> 00:02:37.000]  真的是很雷的
[00:02:37.000 --> 00:02:39.000]  主耶穌被捕那一晚
[00:02:39.000 --> 00:02:43.000]  他大膽到一刀手起刀落
[00:02:43.000 --> 00:02:48.000]  把大祭司的僕人耳朵切下來
[00:02:48.000 --> 00:02:50.000]  真的不是這麼容易的
[00:02:50.000 --> 00:02:52.000]  你讓我也手震了
[00:02:52.000 --> 00:02:54.000]  把別人的耳朵切下來
[00:02:54.000 --> 00:02:56.000]  還要在羅馬冰冰的面前
[00:02:56.000 --> 00:02:58.000]  把別人的耳朵切下來
