
[00:00:00.000 --> 00:00:02.240]  我們先低頭一起來祈禱
[00:00:02.240 --> 00:00:05.640]  天父上帝我們感謝祢 讚美祢
[00:00:05.640 --> 00:00:08.080]  祢是復活的主
[00:00:08.080 --> 00:00:10.480]  祢也是教會的元首
[00:00:10.480 --> 00:00:13.120]  所以主 今天祢招聚我們這一群人
[00:00:13.120 --> 00:00:15.120]  走在一起來敬拜祢
[00:00:15.120 --> 00:00:18.120]  來在祢的面前謙卑苦伏
[00:00:18.120 --> 00:00:20.720]  去聽上帝祢對我們的說話
[00:00:20.720 --> 00:00:24.200]  所以聖靈啊 求祢引導我們進入真理
[00:00:24.200 --> 00:00:28.400]  我求主祢將賜人智慧和啟示的大大的賞給我們每一個
[00:00:28.640 --> 00:00:33.320]  叫我們明白上帝祢對我們的愛是何等的長闊高深
[00:00:33.320 --> 00:00:36.640]  祢的能力也要在信的人生命裏面去彰顯
[00:00:36.640 --> 00:00:39.280]  所以奉主的名我們要打開神眼
[00:00:39.280 --> 00:00:40.200]  祢自己的說話
[00:00:40.200 --> 00:00:42.120]  願說的 聽的
[00:00:42.120 --> 00:00:44.440]  一同伏在祢自己的話語當中
[00:00:44.440 --> 00:00:47.840]  願祢親自向我們每一個人講說話
[00:00:47.840 --> 00:00:49.520]  禱告奉耶穌名求
[00:00:49.520 --> 00:00:50.480]  阿門
[00:00:50.480 --> 00:00:53.480]  話說有一個神學生
[00:00:53.480 --> 00:00:57.800]  這個神學生在一間教會實習講道
[00:00:58.120 --> 00:00:59.880]  那間教會是比較小的
[00:00:59.880 --> 00:01:02.720]  會眾跟港台都不是離很遠
[00:01:02.720 --> 00:01:06.480]  這個神學生那天講道非常之緊張
[00:01:06.480 --> 00:01:08.040]  非常之緊張
[00:01:08.040 --> 00:01:11.360]  他講的題目就是主在來
[00:01:11.360 --> 00:01:15.360]  他一直在講主必快來
[00:01:15.360 --> 00:01:16.880]  他說耶穌說
[00:01:16.880 --> 00:01:18.560]  I am coming
[00:01:18.560 --> 00:01:20.680]  I am coming
[00:01:20.680 --> 00:01:22.640]  I am coming
[00:01:22.640 --> 00:01:23.840]  講著講著
[00:01:23.840 --> 00:01:28.080]  他就怕得緊張到跌到第一個位置
[00:01:28.720 --> 00:01:31.400]  剛剛有個太太就坐在第一個位置
[00:01:31.400 --> 00:01:34.200]  她就非常之不好意思地說
[00:01:34.200 --> 00:01:36.120]  哎呀!真是不好意思
[00:01:36.120 --> 00:01:40.720]  我實在太緊張和太不知所措
[00:01:40.720 --> 00:01:44.880]  這個太太很鎮靜地看著這個神學生
[00:01:44.880 --> 00:01:46.240]  跟這個神學生說
[00:01:46.240 --> 00:01:48.560]  哦!不要緊
[00:01:48.560 --> 00:01:50.000]  都是我不對
[00:01:50.000 --> 00:01:52.200]  你講了這麼多次I am coming
[00:01:52.200 --> 00:01:53.320]  我都不走開
[00:01:56.960 --> 00:01:59.480]  靖姐妹主耶穌跟我們講了很多次
[00:01:59.480 --> 00:02:02.680]  I am coming soon
[00:02:02.680 --> 00:02:05.560]  我回來的日子很近
[00:02:05.560 --> 00:02:07.480]  靖姐妹今天
[00:02:07.480 --> 00:02:09.880]  我們會不會都好像這個太太一樣
[00:02:09.880 --> 00:02:13.080]  我們都擇以為常地聽這句話
[00:02:13.080 --> 00:02:15.760]  但是我們沒有想過
[00:02:15.760 --> 00:02:18.080]  祂真的會來到
[00:02:18.080 --> 00:02:22.480]  我想過往兩年就好像先帕茲宣教師的禱告一樣
[00:02:22.480 --> 00:02:26.560]  整個香港陷在翻天覆地的改變裏面
[00:02:27.360 --> 00:02:30.880]  我想身處其中沒有一個人能夠置身事外
[00:02:30.880 --> 00:02:32.560]  每一個人
[00:02:32.560 --> 00:02:35.080]  無論你是什麼年紀
[00:02:35.080 --> 00:02:38.120]  我們都身在其中
[00:02:38.120 --> 00:02:42.640]  深深地感受到中間的沉重
[00:02:42.640 --> 00:02:43.920]  困惑
[00:02:43.920 --> 00:02:45.200]  難受
[00:02:45.200 --> 00:02:49.240]  我想活了幾十年
[00:02:49.240 --> 00:02:53.520]  我們都沒有試過在一個這麼大的無力感裏面
[00:02:53.520 --> 00:02:56.040]  這麼大的沮喪裏面
[00:02:57.440 --> 00:02:59.720]  從社會事件開始
[00:02:59.720 --> 00:03:01.200]  2019年
[00:03:01.200 --> 00:03:05.320]  很多的對立撕裂
[00:03:05.320 --> 00:03:08.160]  在整個社會裏面出現
[00:03:08.160 --> 00:03:11.120]  一開始還沒搞定
[00:03:11.120 --> 00:03:14.560]  接著這個肺炎就發生
[00:03:14.560 --> 00:03:18.920]  這個翻天覆地的肺炎令到整個世界停擺
[00:03:18.920 --> 00:03:21.560]  我們在座這麼多人
[00:03:21.560 --> 00:03:23.800]  我相信我們都沒有見過這個世界
[00:03:23.800 --> 00:03:26.040]  會停擺的
[00:03:26.560 --> 00:03:27.400]  會封城的
[00:03:27.400 --> 00:03:31.640]  我們過往覺得機場是社會的命脈
[00:03:31.640 --> 00:03:33.800]  怎能夠阻機場
[00:03:33.800 --> 00:03:36.400]  但是今天卻是
[00:03:36.400 --> 00:03:37.720]  你有機場
[00:03:37.720 --> 00:03:39.280]  都沒有人飛
[00:03:39.280 --> 00:03:42.760]  我們要封城封港
[00:03:42.760 --> 00:03:44.760]  是不讓人可以進入
[00:03:44.760 --> 00:03:47.760]  要檢測等等
[00:03:47.760 --> 00:03:53.320]  各國都採取嚴厲的措施
[00:03:53.320 --> 00:03:55.520]  去防範這個肺炎
[00:03:55.880 --> 00:03:57.880]  去擴散
[00:03:57.880 --> 00:04:01.800]  但就正如柏芝朱雅思剛才的討論
[00:04:01.800 --> 00:04:08.640]  似乎這個肺炎沒有因為我們的努力而受難
[00:04:08.640 --> 00:04:11.480]  我們每人打完兩針之後
[00:04:11.480 --> 00:04:12.960]  還會復陽的
[00:04:12.960 --> 00:04:19.000]  打完兩針之後以為很安樂地去旅行
[00:04:19.000 --> 00:04:19.680]  去出門
[00:04:19.680 --> 00:04:21.480]  怎知回來就受感染
[00:04:21.480 --> 00:04:25.200]  變種病毒令我們
[00:04:25.960 --> 00:04:27.000]  束手無策
[00:04:27.000 --> 00:04:31.120]  那時還在面對這些事情
[00:04:31.120 --> 00:04:33.480]  國安法帶來香港的
[00:04:33.480 --> 00:04:37.240]  好像開始一片平靜
[00:04:37.240 --> 00:04:40.240]  以前的對立好像突然間沒有了
[00:04:40.240 --> 00:04:43.240]  但是大量的人又開始移民
[00:04:43.240 --> 00:04:45.600]  我不知道大家身處其中
[00:04:45.600 --> 00:04:49.680]  是否能夠置身事外
[00:04:49.680 --> 00:04:50.720]  我相信每一個人
[00:04:50.720 --> 00:04:53.120]  你在當中的時候你都會感受得到
[00:04:53.120 --> 00:04:54.960]  身邊總有一些人告訴你我走了
[00:04:55.640 --> 00:04:57.160]  你那種難捨難離
[00:04:57.160 --> 00:04:59.440]  那種移民的加劇
[00:04:59.440 --> 00:05:02.160]  無論你是甚麼年紀
[00:05:02.160 --> 00:05:04.080]  你都會想究竟我是否要走
[00:05:04.080 --> 00:05:06.320]  世界疫情的嚴峻
[00:05:06.320 --> 00:05:10.080]  你看看印度的疫情
[00:05:10.080 --> 00:05:11.560]  我們很震驚
[00:05:11.560 --> 00:05:16.040]  當球場變成了火葬場的情景
[00:05:16.040 --> 00:05:17.840]  大家歷歷在目
[00:05:17.840 --> 00:05:21.440]  整個疫情令世界停擺
[00:05:22.360 --> 00:05:25.840]  香港人說我們要移民是逃難式的移民
[00:05:25.840 --> 00:05:26.680]  不是移民
[00:05:26.680 --> 00:05:29.000]  是逃難
[00:05:29.000 --> 00:05:31.640]  但殊不知這句話還沒說完
[00:05:31.640 --> 00:05:35.440]  阿富汗上星期就真的逃難式了
[00:05:35.440 --> 00:05:38.360]  香港人就坐在飛機裏面逃難
[00:05:38.360 --> 00:05:40.920]  他們在飛機外面抱著飛機
[00:05:40.920 --> 00:05:42.480]  以為可以逃難
[00:05:42.480 --> 00:05:43.800]  你想想
[00:05:43.800 --> 00:05:46.360]  是要多無助的人才會這樣做
