
[00:00:00.000 --> 00:00:02.800]  首先有一條田涌題
[00:00:02.800 --> 00:00:08.240]  大家看鬥快吧
[00:00:08.240 --> 00:00:10.720]  人對我說
[00:00:10.720 --> 00:00:13.600]  我們王爺華的殿去
[00:00:13.600 --> 00:00:14.680]  我就
[00:00:14.680 --> 00:00:17.040]  很快
[00:00:17.040 --> 00:00:21.200]  熟讀詩篇一百五十篇
[00:00:21.200 --> 00:00:23.600]  不識吟詩都會偷
[00:00:23.600 --> 00:00:26.360]  這是從心而發的
[00:00:26.360 --> 00:00:28.520]  跟今天的講題沒有什麼關係
[00:00:28.520 --> 00:00:31.120]  看到大家一齊回到殿裡面
[00:00:31.120 --> 00:00:33.840]  心裡面很歡喜快樂
[00:00:33.840 --> 00:00:35.000]  大家是不是一樣?
[00:00:35.000 --> 00:00:36.080]  真的一樣
[00:00:36.080 --> 00:00:38.920]  我很體會到大衛說人對我說
[00:00:38.920 --> 00:00:41.040]  我們是往神的殿裡面
[00:00:41.040 --> 00:00:43.080]  我們就歡喜了
[00:00:43.080 --> 00:00:44.240]  好了
[00:00:44.240 --> 00:00:45.880]  講回這一篇
[00:00:45.880 --> 00:00:49.600]  我又問問大家
[00:00:49.600 --> 00:00:53.840]  你有沒有很害怕的時候?
[00:00:53.840 --> 00:00:55.160]  當然有了
[00:00:57.000 --> 00:01:00.440]  你覺得你經常害怕的是什麼呢?
[00:01:00.440 --> 00:01:02.640]  這個不用回答我了
[00:01:02.640 --> 00:01:03.560]  大家自己想想
[00:01:03.560 --> 00:01:04.720]  每個人都不同
[00:01:04.720 --> 00:01:06.960]  我講我的
[00:01:06.960 --> 00:01:10.240]  我其實經常都害怕的
[00:01:10.240 --> 00:01:12.920]  因為這件事經常都會做
[00:01:12.920 --> 00:01:15.840]  就是來到港台牆裡面
[00:01:15.840 --> 00:01:17.040]  去講道的時候
[00:01:17.040 --> 00:01:18.240]  是很害怕的
[00:01:18.240 --> 00:01:20.240]  現在也在害怕
[00:01:20.240 --> 00:01:22.840]  不過今天很興奮
[00:01:22.840 --> 00:01:24.000]  人對我說
[00:01:24.000 --> 00:01:24.800]  很歡喜
[00:01:24.800 --> 00:01:26.520]  這種害怕是看不出來的
[00:01:27.040 --> 00:01:29.000]  有時候會腳震的
[00:01:29.000 --> 00:01:31.040]  實際上是會的
[00:01:31.040 --> 00:01:32.280]  為什麼這麼說呢?
[00:01:32.280 --> 00:01:33.960]  因為有時候會覺得
[00:01:33.960 --> 00:01:35.680]  自己準備得不好
[00:01:35.680 --> 00:01:37.480]  一會兒講會講得不好
[00:01:37.480 --> 00:01:39.400]  特別坐在椅子上的時候
[00:01:39.400 --> 00:01:42.360]  準備出來的時候都會擔心
