
[00:00:00.000 --> 00:00:03.640]  各位主媒《平安提摩太前後書》的研讀
[00:00:03.640 --> 00:00:06.340]  已經來到第七講了
[00:00:06.340 --> 00:00:08.180]  這一講的題目就是
[00:00:08.180 --> 00:00:10.980]  「慕要致死中心」
[00:00:10.980 --> 00:00:13.120]  大家都知道提摩太後書
[00:00:13.120 --> 00:00:16.020]  是保羅臨離開世界之前
[00:00:16.020 --> 00:00:18.660]  很短的時間所寫的
[00:00:18.660 --> 00:00:20.160]  所以很多人說
[00:00:20.160 --> 00:00:23.060]  提摩太後書最後那章
[00:00:23.060 --> 00:00:24.560]  第四章
[00:00:24.560 --> 00:00:28.200]  差不多等於保羅的遺囑
[00:00:28.200 --> 00:00:30.740]  因此很出名的聖經就說
[00:00:30.740 --> 00:00:34.540]  「當跑的路 我已經跑盡了
[00:00:34.540 --> 00:00:38.740]  當走的路 我已經走完
[00:00:38.740 --> 00:00:44.520]  然後所信的道 我已經守住了
[00:00:44.520 --> 00:00:48.660]  有公義的冠冕會為我存留
[00:00:48.660 --> 00:00:53.960]  也為那些愛慕神等候他再來的人
[00:00:53.960 --> 00:00:56.260]  為他們預備的
[00:00:56.260 --> 00:01:00.160]  保羅說我離世的日子到了
[00:01:00.160 --> 00:01:02.560]  囂然的日子到了
[00:01:02.560 --> 00:01:06.360]  囂然就說將酒杯裡面的酒
[00:01:06.360 --> 00:01:08.400]  囂然在地上
[00:01:08.400 --> 00:01:11.340]  其實是一個離別的意思
[00:01:11.340 --> 00:01:14.280]  這個字在原文裡面的意思
[00:01:14.280 --> 00:01:16.340]  就是解濫
[00:01:16.340 --> 00:01:18.240]  大家都知道一艘船
[00:01:18.240 --> 00:01:20.180]  泊到碼頭的時候
[00:01:20.180 --> 00:01:23.720]  就要有些艦翹在岸上
[00:01:23.720 --> 00:01:26.080]  甚至你坐天星小輪
[00:01:26.080 --> 00:01:29.320]  過海的時候泊在碼頭上
[00:01:29.320 --> 00:01:31.660]  都會拋一條繩子上岸
[00:01:31.660 --> 00:01:33.860]  那岸上有個水手
[00:01:33.860 --> 00:01:37.460]  就幫忙將繩子捲捲捲到一個凳子上
[00:01:37.460 --> 00:01:39.840]  等那艘船騾靠
[00:01:39.840 --> 00:01:41.840]  然後才下甲板
[00:01:41.840 --> 00:01:44.340]  等那些乘客上岸
[00:01:44.340 --> 00:01:46.040]  所以保羅就說
[00:01:46.040 --> 00:01:48.440]  你要解開那條繩子
[00:01:48.440 --> 00:01:51.280]  就是說那艘船開航
[00:01:51.280 --> 00:01:54.180]  也是要搭個帳幕
[00:01:54.180 --> 00:01:58.120]  那你鬆了帳幕那些釘
[00:01:58.120 --> 00:01:59.580]  釘住在地上
[00:01:59.580 --> 00:02:01.560]  讓帳幕牢固
[00:02:01.560 --> 00:02:04.560]  就是說拔營起行
[00:02:04.560 --> 00:02:07.860]  或者是鬆了牛的那些鴨
[00:02:07.860 --> 00:02:10.860]  讓牛可以放出去
[00:02:10.860 --> 00:02:12.400]  來吃草
[00:02:12.400 --> 00:02:14.560]  所以保羅知道自己
[00:02:14.560 --> 00:02:17.040]  很快離開世界
[00:02:17.040 --> 00:02:20.140]  所以他就勸提摩塔
[00:02:20.140 --> 00:02:23.740]  在這篇第四章的勸勉裡面
[00:02:23.740 --> 00:02:26.480]  是語重心長
[00:02:26.480 --> 00:02:28.020]  特別他提到
[00:02:28.020 --> 00:02:29.380]  提摩塔
[00:02:29.380 --> 00:02:31.780]  你不要傳道
[00:02:31.780 --> 00:02:35.280]  無論得時或者不得時
[00:02:35.280 --> 00:02:38.700]  這個真的給我們一個很大的警惕
[00:02:38.700 --> 00:02:40.200]  你有沒有傳道呢?
[00:02:40.200 --> 00:02:42.460]  你是不是真的時時傳道呢?
[00:02:42.460 --> 00:02:44.240]  無論是適當的時候
[00:02:44.240 --> 00:02:45.660]  不適當的時候
[00:02:45.660 --> 00:02:47.160]  什麼時候都好
[00:02:47.160 --> 00:02:49.040]  都要去傳道
[00:02:49.040 --> 00:02:51.140]  各位電影主媒你醒醒吧
[00:02:51.140 --> 00:02:54.080]  我們真的需要時時去傳道
[00:02:54.080 --> 00:02:56.080]  不要說今天不是機會
[00:02:56.080 --> 00:02:57.580]  不傳了
[00:02:57.580 --> 00:02:58.420]  不是
[00:02:58.420 --> 00:03:00.080]  天天都是機會
[00:03:00.080 --> 00:03:02.380]  機會是你找回來的
[00:03:02.380 --> 00:03:04.720]  你抓住每一個機會
[00:03:04.720 --> 00:03:06.960]  都去傳講
[00:03:06.960 --> 00:03:08.880]  這個好消息
[00:03:08.880 --> 00:03:12.220]  傳講耶穌救人的信息
[00:03:12.220 --> 00:03:15.360]  今天是我們去搶救靈魂的日子
[00:03:15.360 --> 00:03:17.100]  不要再等了
[00:03:17.100 --> 00:03:19.440]  無論什麼時候
[00:03:19.440 --> 00:03:21.840]  都是我們傳福音的時候
[00:03:21.840 --> 00:03:23.340]  除非你病了
[00:03:23.340 --> 00:03:24.400]  留在家裡
[00:03:24.400 --> 00:03:26.540]  不然你出去見到任何的人
[00:03:26.540 --> 00:03:30.820]  都可以有機會說福音
[00:03:30.820 --> 00:03:33.080]  最近我看了一些YouTube
[00:03:33.080 --> 00:03:35.820]  有些世界各地的信徒
[00:03:35.820 --> 00:03:37.560]  去到以色列
[00:03:37.560 --> 00:03:40.320]  專門抓一些以色列人
[00:03:40.320 --> 00:03:42.560]  來跟他們說耶穌
[00:03:42.560 --> 00:03:44.620]  說耶穌的救人
[00:03:44.620 --> 00:03:48.600]  帶了很多不同的以色列人來順傳
[00:03:48.600 --> 00:03:51.660]  因為以色列人的心真的很光亮
[00:03:51.660 --> 00:03:53.800]  他們只有摩西五經
[00:03:53.800 --> 00:03:55.100]  只有舊約
[00:03:55.100 --> 00:03:58.500]  不相信耶穌是彌賽亞
[00:03:58.500 --> 00:04:02.240]  但是有一幫信徒很勤力
[00:04:02.240 --> 00:04:04.920]  在神的大力感動之下
[00:04:04.920 --> 00:04:06.780]  就去到以色列
[00:04:06.780 --> 00:04:08.520]  在不同的城市
[00:04:08.520 --> 00:04:12.260]  去接觸一些傳統的猶太人
[00:04:12.260 --> 00:04:14.820]  然後將福音的真理
[00:04:14.820 --> 00:04:16.520]  向他們講解
[00:04:16.520 --> 00:04:18.100]  向他們傳言
[00:04:18.100 --> 00:04:19.700]  所以各位弟兄姐妹
[00:04:19.700 --> 00:04:23.200]  我們真的需要無要傳道
[00:04:23.200 --> 00:04:27.400]  甚至是致死眾生
