
[00:00:00.000 --> 00:00:05.000]  你覺得今天的社會,我們活在今天的社會,你覺得男女平等嗎?
[00:00:05.000 --> 00:00:10.000]  有人可能會說,有改進空間,可以更加好一點
[00:00:10.000 --> 00:00:13.000]  也可能有些人會說,當然要改了
[00:00:13.000 --> 00:00:18.000]  今天的社會,女人的地位比男人高很多
[00:00:18.000 --> 00:00:21.000]  特別在家裡,我不知道大家怎麼看
[00:00:21.000 --> 00:00:27.000]  不過根據澳洲婦女性別平等協會的數據告訴我們
[00:00:27.000 --> 00:00:37.000]  在2020到2021年度,打工的女性,大概佔打工的人一半左右
[00:00:37.000 --> 00:00:44.000]  不過在機構的高層人士,CEO,高層管理人士
[00:00:44.000 --> 00:00:50.000]  只不過大概佔女性來講,佔大概10%到30%左右
[00:00:50.000 --> 00:00:57.000]  就是說三幾年前,如果大家想找一個女性老闆,也不是很大機會
[00:00:57.000 --> 00:01:00.000]  我記得有一次,我跟一個朋友聊天
[00:01:00.000 --> 00:01:06.000]  那個朋友跟我說,經歷了一次很糟糕的經驗之後
[00:01:06.000 --> 00:01:10.000]  他說,打死以後都不會找女性做老闆了
[00:01:10.000 --> 00:01:12.000]  我不知道發生什麼事
[00:01:12.000 --> 00:01:25.000]  根據蓋洛普,2006年的調查,34%的男性喜歡找男性做老闆
[00:01:25.000 --> 00:01:30.000]  只有10%說,我喜歡女性做我老闆
[00:01:30.000 --> 00:01:37.000]  不過到了2020年,即是14年之後,做同樣的調查顯示告訴我們
[00:01:37.000 --> 00:01:43.000]  只不過有23%的男性喜歡男性做他的老闆
[00:01:43.000 --> 00:01:49.000]  但是有21%的男性喜歡女性做他的老闆
[00:01:49.000 --> 00:01:52.000]  這個數字告訴我們什麼?
[00:01:52.000 --> 00:01:58.000]  這個數字反映了領導上,男女越來越平等
[00:01:58.000 --> 00:02:05.000]  現在,很老實說,我相信大部分人的評價領導者,不是基於他的性別
[00:02:05.000 --> 00:02:12.000]  是基於什麼?基於他個人的領導能力,個人的品質和能力
[00:02:12.000 --> 00:02:17.000]  但是今天我們看的聖經故事,大家要留意
[00:02:17.000 --> 00:02:21.000]  並不是發生在我們今天的世界
[00:02:21.000 --> 00:02:29.000]  我們所讀的故事發生在差不多2200年前,古代近東的地方
[00:02:29.000 --> 00:02:34.000]  那時候是一個完全不同的世界,一個完全不同的時代
[00:02:34.000 --> 00:02:37.000]  那時候是一個男性主導的世界
[00:02:37.000 --> 00:02:41.000]  女性基本上來說,在未結婚之前,就是爸爸說了算
[00:02:41.000 --> 00:02:43.000]  結了婚之後,就是老公說了算
[00:02:43.000 --> 00:02:49.000]  換句話來說,在當時的世界,女性的社會地位極低
[00:02:49.000 --> 00:02:54.000]  不過今天我們所讀的聖經故事的主角,有點不同
[00:02:54.000 --> 00:02:57.000]  這個故事的主角是底波拉
[00:02:57.000 --> 00:03:03.000]  底波拉,聖經告訴我們,是一個女先知,也是一個士師
[00:03:03.000 --> 00:03:13.000]  士師是什麼人?士師是在以色列國,沒有皇帝之前的一個民族領袖
[00:03:13.000 --> 00:03:17.000]  這些領袖有不同的角色
[00:03:17.000 --> 00:03:23.000]  可以提供軍事,司法,屬令上面,或者是管治上面的領導
[00:03:23.000 --> 00:03:25.000]  這些就是士師
[00:03:25.000 --> 00:03:34.000]  由於士師經常帶領人民百姓,從敵人的壓迫當中解放出來
