
[00:00:00.000 --> 00:00:02.000]  好,多謝你們的接觸,多謝朋友
[00:00:02.000 --> 00:00:05.000]  不知道大家有沒有想過
[00:00:05.000 --> 00:00:08.000]  在這個人生裏面
[00:00:08.000 --> 00:00:11.000]  有一些友情你是很記得的呢?
[00:00:11.000 --> 00:00:12.000]  有沒有一些朋友
[00:00:12.000 --> 00:00:14.000]  你認識了三十年還是好朋友的?
[00:00:14.000 --> 00:00:15.000]  可不可以舉一舉手?
[00:00:15.000 --> 00:00:17.000]  嘩!原來這麼多啊!
[00:00:17.000 --> 00:00:19.000]  嘩!真的很難得啊!對不對?
[00:00:19.000 --> 00:00:22.000]  友情真的可以這麼寶貴的
[00:00:22.000 --> 00:00:24.000]  我記得
[00:00:24.000 --> 00:00:25.000]  幾十年前開始
[00:00:25.000 --> 00:00:28.000]  我對於一首歌非常之有感受
[00:00:28.000 --> 00:00:30.000]  這首歌的歌詞就是這樣說的
[00:00:30.000 --> 00:00:33.000]  "來忘掉錯對來懷緬過去"
[00:00:33.000 --> 00:00:36.000]  "曾共度患難日子總有樂趣"
[00:00:36.000 --> 00:00:37.000]  記不記得是什麼歌?
[00:00:37.000 --> 00:00:40.000]  有誰知道這首歌有什麼舉舉手?
[00:00:40.000 --> 00:00:45.000]  不知道?
[00:00:45.000 --> 00:00:47.000]  竟然沒有聽過?
[00:00:47.000 --> 00:00:49.000]  這首歌我不知道為什麼
[00:00:49.000 --> 00:00:50.000]  二三十年前
[00:00:50.000 --> 00:00:52.000]  其實這首歌是九六年的歌
[00:00:52.000 --> 00:00:54.000]  差不多三十年前的歌
[00:00:54.000 --> 00:00:56.000]  三十年前的歌到今時今日
[00:00:56.000 --> 00:00:57.000]  我仍然都會記得
[00:00:57.000 --> 00:00:59.000]  起碼我記得
[00:00:59.000 --> 00:01:00.000]  我不知道你記不記得呢?
[00:01:00.000 --> 00:01:04.000]  甚至有些年輕人都會唱這首歌
[00:01:04.000 --> 00:01:06.000]  有時候我們會覺得
[00:01:06.000 --> 00:01:07.000]  友情那種可貴
[00:01:07.000 --> 00:01:09.000]  就好像用這些歌
[00:01:09.000 --> 00:01:11.000]  可以讓我們感覺到
[00:01:11.000 --> 00:01:13.000]  好像深藏在我們的心裡面一樣
[00:01:13.000 --> 00:01:16.000]  友情就是那種情義
[00:01:16.000 --> 00:01:18.000]  深藏在我們的心裡面
[00:01:18.000 --> 00:01:20.000]  我記得有一個朋友
[00:01:20.000 --> 00:01:22.000]  有一次在香港來探望我
[00:01:22.000 --> 00:01:24.000]  已經幾十年沒見了
[00:01:24.000 --> 00:01:25.000]  真的幾十年了
[00:01:25.000 --> 00:01:26.000]  讀神學的時候
[00:01:26.000 --> 00:01:28.000]  他是低我幾班的
[00:01:28.000 --> 00:01:30.000]  然後他來英國探望我
[00:01:30.000 --> 00:01:32.000]  他探望我的時候
[00:01:32.000 --> 00:01:34.000]  他送了一支筆給我
[00:01:34.000 --> 00:01:36.000]  然後送了兩支筆給我
[00:01:36.000 --> 00:01:38.000]  一支是西非里的筆
[00:01:38.000 --> 00:01:40.000]  哇!不過他用過的
[00:01:40.000 --> 00:01:42.000]  不是全新的
[00:01:42.000 --> 00:01:44.000]  另外他送了一支筆
[00:01:44.000 --> 00:01:46.000]  就是 West Ham United 的筆
[00:01:46.000 --> 00:01:48.000]  他知道我捧這隊足球隊
[00:01:48.000 --> 00:01:51.000]  所以他就送了這支筆給我
[00:01:51.000 --> 00:01:55.000]  我心裡面覺得很驚訝
[00:01:55.000 --> 00:01:58.000]  他竟然還記得這份情義
[00:01:58.000 --> 00:02:00.000]  來到英國幾十年沒見
[00:02:00.000 --> 00:02:02.000]  我們以前在香港神學院
