
[00:00:00.000 --> 00:00:02.000]  各位影子妹,早安!
[00:00:02.000 --> 00:00:05.000]  讓我們先做一次同心的禱告
[00:00:05.000 --> 00:00:09.000]  愛我們的恩主,我們要向你獻上感恩
[00:00:09.000 --> 00:00:12.000]  因你的愛,招聚我們
[00:00:12.000 --> 00:00:16.000]  能夠在你的聖教會當中去侍奉敬拜你
[00:00:16.000 --> 00:00:20.000]  也讓我們今天一同的去到你面前
[00:00:20.000 --> 00:00:23.000]  而同一人的去敬拜你
[00:00:23.000 --> 00:00:24.000]  如你賜福
[00:00:24.000 --> 00:00:26.000]  開我們的耳朵,讓我們留心的聽
[00:00:26.000 --> 00:00:29.000]  開我們的眼,讓我們沾養你的榮光
[00:00:29.000 --> 00:00:31.000]  開我們的心,讓我們能夠領受
[00:00:31.000 --> 00:00:33.000]  並且要用我們的行動去回應
[00:00:33.000 --> 00:00:34.000]  猶如僕人口中的言語
[00:00:34.000 --> 00:00:36.000]  弟兄姊妹之間的心思意念
[00:00:36.000 --> 00:00:38.000]  蒙聖靈的啟迪,蒙主的月立
[00:00:38.000 --> 00:00:40.000]  禱告,奉耶穌基督的名
[00:00:40.000 --> 00:00:45.000]  弟兄姊妹,如果由於今天回到教會
[00:00:45.000 --> 00:00:47.000]  看到周刊封面
[00:00:47.000 --> 00:00:51.000]  你會看到今天是基督徒合一主日
[00:00:51.000 --> 00:00:55.000]  當你聽到基督徒合一主日
[00:00:55.000 --> 00:00:57.000]  你第一時間有什麼反應
[00:00:57.000 --> 00:00:59.000]  可能你會想
[00:00:59.000 --> 00:01:01.000]  基督徒合一主日?
[00:01:01.000 --> 00:01:04.000]  那就說合一吧
[00:01:04.000 --> 00:01:08.000]  究竟為什麼我們要合一呢?
[00:01:08.000 --> 00:01:11.000]  或者為什麼我們今天會有基督徒合一主日呢?
[00:01:11.000 --> 00:01:14.000]  如果弟兄姊妹當中有人會留意一些教會的消息
[00:01:14.000 --> 00:01:15.000]  就知道每一年
[00:01:15.000 --> 00:01:17.000]  大約到了這個時間
[00:01:17.000 --> 00:01:19.000]  基督教協進會就會有一些宣傳
[00:01:19.000 --> 00:01:21.000]  就說這個星期我們有一些合一的祈禱
[00:01:21.000 --> 00:01:23.000]  合一的活動
[00:01:23.000 --> 00:01:24.000]  去講求合一
[00:01:24.000 --> 00:01:28.000]  希望教會有一些關心、禱告、支持
[00:01:28.000 --> 00:01:30.000]  關於合一的事
[00:01:30.000 --> 00:01:32.000]  這個是其中一個原因
[00:01:32.000 --> 00:01:34.000]  今天我跟大家分享
[00:01:34.000 --> 00:01:35.000]  但是更重要的是
[00:01:35.000 --> 00:01:36.000]  為什麼我們要合一呢?
[00:01:36.000 --> 00:01:37.000]  你才要謹記
[00:01:37.000 --> 00:01:41.000]  合一是主親自叫我們的
[00:01:41.000 --> 00:01:44.000]  是主親自教導我們的
[00:01:44.000 --> 00:01:45.000]  合一是基督徒
[00:01:45.000 --> 00:01:47.000]  應該不能選擇,不能選擇
[00:01:47.000 --> 00:01:49.000]  是一定要做的事
[00:01:49.000 --> 00:01:51.000]  接著你可能會問
[00:01:51.000 --> 00:01:53.000]  合一是什麼來的呢?
[00:01:53.000 --> 00:01:55.000]  合一是不是等於
[00:01:55.000 --> 00:01:57.000]  我和你一樣就合一呢?
[00:01:57.000 --> 00:01:58.000]  什麼叫合一呢?
[00:01:58.000 --> 00:02:00.000]  有制服就合一
[00:02:00.000 --> 00:02:02.000]  差不多樣子就合一
[00:02:02.000 --> 00:02:05.000]  總之我和你一致就行了
[00:02:05.000 --> 00:02:07.000]  是不是這樣的呢?
[00:02:07.000 --> 00:02:09.000]  更重要的是
[00:02:09.000 --> 00:02:12.000]  合一到底最重要最重要的是什麼呢?
[00:02:12.000 --> 00:02:14.000]  今天我給了一個題目就是
[00:02:14.000 --> 00:02:16.000]  基督是分裂的嗎?
[00:02:16.000 --> 00:02:18.000]  問這個問題
[00:02:18.000 --> 00:02:20.000]  問這個問題的不是我
[00:02:20.000 --> 00:02:25.000]  是聖經裏面保羅向哥倫多教會問的這個問題
[00:02:25.000 --> 00:02:27.000]  大家可以先翻開
[00:02:27.000 --> 00:02:29.000]  剛才盧斯朗陀爲我們讀的一段聖經
[00:02:29.000 --> 00:02:33.000]  又或者一會兒在螢幕上都會見到一些經文
[00:02:33.000 --> 00:02:35.000]  這一段經文就是
[00:02:35.000 --> 00:02:37.000]  當保羅寫信給哥倫多教會
[00:02:37.000 --> 00:02:39.000]  一開始的時候
[00:02:39.000 --> 00:02:40.000]  所以在第一章
[00:02:40.000 --> 00:02:43.000]  頭的一到十七字的經文
[00:02:43.000 --> 00:02:46.000]  他就講述這個內容
[00:02:46.000 --> 00:02:50.000]  保羅一開始就先有這個問安的表達
[00:02:50.000 --> 00:02:52.000]  到了第四節開始
[00:02:52.000 --> 00:02:54.000]  保羅就提一些內容
[00:02:54.000 --> 00:02:58.000]  保羅說常常為著哥倫多教會去感謝上帝
[00:02:58.000 --> 00:03:01.000]  原來當保羅提醒哥倫多教會要合一之先
[00:03:01.000 --> 00:03:04.000]  有些東西要稱讚一下哥倫多教會
[00:03:04.000 --> 00:03:07.000]  看看哥倫多教會和我們有沒有一些相似的地方
[00:03:07.000 --> 00:03:09.000]  可能上帝要稱讚一下我們
[00:03:09.000 --> 00:03:10.000]  聖經裏面這樣講的
[00:03:10.000 --> 00:03:13.000]  第四節說我常為你們感謝我們的上帝
[00:03:13.000 --> 00:03:15.000]  這個是保羅講的
[00:03:15.000 --> 00:03:20.000]  上帝在基督耶穌裏面所賜給你們的恩惠
[00:03:20.000 --> 00:03:22.000]  因為他們有基督的恩惠
[00:03:22.000 --> 00:03:23.000]  第五節
[00:03:23.000 --> 00:03:27.000]  因為你們在祂裏面凡事付足
[00:03:27.000 --> 00:03:29.000]  具有各種口才
[00:03:29.000 --> 00:03:31.000]  各樣知識
[00:03:31.000 --> 00:03:35.000]  保羅一開始對哥倫多教會提出幾樣東西
