
[00:00:00.000 --> 00:00:05.040]  我們需要很用心地去看保羅良祿的來臨
[00:00:05.040 --> 00:00:06.600]  引導我們行天路
[00:00:06.600 --> 00:00:08.200]  我給你一些背景
[00:00:08.200 --> 00:00:10.080]  接着就入正題
[00:00:10.080 --> 00:00:12.840]  就是讀我們今天要讀的書
[00:00:12.840 --> 00:00:14.840]  你要知道保羅的書信
[00:00:14.840 --> 00:00:17.720]  大概都要知道少少保羅的生平
[00:00:17.720 --> 00:00:19.320]  以及一些時序
[00:00:19.320 --> 00:00:20.560]  他的旅程
[00:00:20.560 --> 00:00:22.520]  其實不需要專注很多
[00:00:22.520 --> 00:00:24.600]  我就寫了這幾點出來
[00:00:24.600 --> 00:00:27.440]  第一 保羅的書信
[00:00:27.440 --> 00:00:31.240]  大概是J.S.O.P.14復活之後沒多久的事
[00:00:31.240 --> 00:00:33.240]  接着隔了十幾年
[00:00:33.240 --> 00:00:35.160]  我們不太知道中間那十幾年發生
[00:00:35.160 --> 00:00:36.200]  他去了哪裏
[00:00:36.200 --> 00:00:38.120]  他是不是在阿拉伯宣教
[00:00:38.120 --> 00:00:40.760]  還是他自己重新研讀聖經等等
[00:00:40.760 --> 00:00:42.000]  我們不太知道
[00:00:42.000 --> 00:00:43.720]  我們知道在《少林傳》裏面
[00:00:43.720 --> 00:00:49.600]  他第一次宣教大概是公元46至47年左右的時候
[00:00:49.600 --> 00:00:51.520]  很重要的這件事就是
[00:00:51.520 --> 00:00:55.600]  第一次宣教是在耶路撒冷的當時
[00:00:55.600 --> 00:01:00.200]  是在耶路撒冷會議之前發生的
[00:01:00.200 --> 00:01:01.920]  如果你記得耶路撒冷會議
[00:01:01.920 --> 00:01:04.640]  就是《少林傳》第十五章裏面
[00:01:04.640 --> 00:01:06.680]  講到究竟外邦人
[00:01:06.680 --> 00:01:12.800]  需不需要做猶太人纔可以做基督徒
[00:01:12.800 --> 00:01:14.680]  而答案是不需要
[00:01:14.680 --> 00:01:16.600]  你不需要成爲猶太人纔可以做基督徒
[00:01:16.600 --> 00:01:18.280]  只要憑信心相信耶穌
[00:01:18.280 --> 00:01:19.600]  這個是非常重要的
[00:01:19.600 --> 00:01:21.480]  對於加拉太書來講
