
[00:00:00.000 --> 00:00:06.000]  今年的主題是「以禱操年暫處身邊」
[00:00:06.000 --> 00:00:11.500]  所以在今年的下半年我會講「舊約」的祈禱
[00:00:11.500 --> 00:00:17.000]  希望藉著這些不同的禱告給我們一些學習和反省
[00:00:17.000 --> 00:00:20.500]  我原本打算講一篇禱文
[00:00:20.500 --> 00:00:24.500]  題目叫「以德報怨」的禱告
[00:00:24.500 --> 00:00:32.500]  上一次我講的是尼西米三軍未動,祈禱先行
[00:00:32.500 --> 00:00:39.500]  尼西米雖然身居高位,在外地做皇帝的近身保鏢
[00:00:39.500 --> 00:00:43.500]  做酒證,看著皇帝的飲料
[00:00:43.500 --> 00:00:45.500]  會不會有人下毒呢?
[00:00:45.500 --> 00:00:47.500]  但尼西米絕不簡單
[00:00:47.500 --> 00:00:50.500]  因為一個亡國奴,一個外邦人
[00:00:50.500 --> 00:00:53.500]  竟然被皇帝重用
[00:00:53.500 --> 00:00:56.500]  所以他有一個很重要的特質
[00:00:56.500 --> 00:00:58.500]  他誠實可靠
[00:00:58.500 --> 00:01:00.500]  這個生命力是很重要
[00:01:00.500 --> 00:01:04.500]  亦是今天我們香港期望會得到的
[00:01:04.500 --> 00:01:10.500]  就是每一個人,特別是一些行政長官、官員要誠實可靠
[00:01:10.500 --> 00:01:15.500]  尼西米雖然身居高位,享受好的俸祿
[00:01:15.500 --> 00:01:19.500]  但有一天,他自己的同鄉
[00:01:19.500 --> 00:01:26.500]  在鄉下出來跟他說:現在我們回歸故土,但百廢待舉
[00:01:26.500 --> 00:01:31.500]  我們被人欺凌,城牆被毀,城門被焚燒
[00:01:31.500 --> 00:01:35.500]  尼西米雖然在遠方,但他愛國愛民
[00:01:35.500 --> 00:01:39.500]  他難過,哭泣,禁食禱告
[00:01:39.500 --> 00:01:44.500]  我們說今天我們都需要有愛國家,愛社會的心
[00:01:44.500 --> 00:01:48.500]  但我們有多可為這個社會,為這個國家來禱告呢?
[00:01:48.500 --> 00:01:53.500]  接著我們看到尼西米的禱文是很好,很值得我們學習
[00:01:53.500 --> 00:01:55.500]  這個禱告裏面有一個宣告
[00:01:55.500 --> 00:02:00.500]  他對神的認識,他是耶和華大而可謂天上的神
[00:02:00.500 --> 00:02:03.500]  他把著神跟他們所納的約
[00:02:03.500 --> 00:02:07.500]  接著他做了一件事,我們很少做的,就是認罪
[00:02:07.500 --> 00:02:10.500]  還不是自己犯的罪
[00:02:10.500 --> 00:02:14.500]  他求神來寬恕他的父家,他的祖宗
[00:02:14.500 --> 00:02:19.500]  尼西米去得罪神,拜偶像,他求神尼西米去寬恕
[00:02:19.500 --> 00:02:25.500]  他沒有犯這錯,但他願意代替子民尼西米去認錯
[00:02:25.500 --> 00:02:30.500]  他對神的律法應許很熟悉,所以他把著神所說的
[00:02:30.500 --> 00:02:33.500]  他說你曾經說過,如果我們拜偶像不聽你的話
[00:02:33.500 --> 00:02:36.500]  我們會滅國,將會四散崩塌
[00:02:36.500 --> 00:02:39.500]  但這個應許的時候,他都未成立國家
[00:02:39.500 --> 00:02:41.500]  但現在他真的亡了國
[00:02:41.500 --> 00:02:45.500]  但他又說到神曾經說過,如果我們回歸的時候
[00:02:45.500 --> 00:02:49.500]  你會讓我們尼西米回去故土
[00:02:49.500 --> 00:02:51.500]  現在我們回到故土了
