
[00:00:00.000 --> 00:00:15.780]  大家有無看過一種中國國粹叫「變臉」
[00:00:15.780 --> 00:00:22.640]  這是穿劇藝術當中的一種特技
[00:00:22.640 --> 00:00:33.400]  他會透過不同的面譜去表達劇中人心裏想什麼
[00:00:33.400 --> 00:00:39.400]  他的思想感情變化 凸顯出他的性格
[00:00:39.400 --> 00:00:43.500]  甚至可以塑造不同的形象
[00:00:43.500 --> 00:00:51.260]  這種表演藝術是將藝術和技藝綜合在一起
[00:00:51.260 --> 00:00:56.700]  因為他快 所以叫他做「瞬間藝術」
[00:00:56.700 --> 00:01:00.900]  今天已經是一種可以獨當一面
[00:01:00.900 --> 00:01:06.820]  專門有「變臉」的表演出現
[00:01:06.820 --> 00:01:10.020]  因為他很好看
[00:01:10.020 --> 00:01:14.300]  所以很多人嘗試找不同的門路
[00:01:14.300 --> 00:01:19.020]  希望學習這種「變臉藝術」
[00:01:19.020 --> 00:01:26.100]  可惜他們在行內覺得這是一個秘密
[00:01:26.100 --> 00:01:30.900]  所以只傳男不傳女
[00:01:30.900 --> 00:01:33.420]  傳內不傳外
[00:01:33.420 --> 00:01:40.700]  所以不知去哪裏找到可以學到這個「變臉藝術」
[00:01:40.700 --> 00:01:46.140]  我專登上網去找找資料
[00:01:46.140 --> 00:01:50.380]  很有趣的是 原來在1987年
[00:01:50.380 --> 00:02:00.860]  國家文化部竟然將「變臉藝術」列為國家二級機密
[00:02:00.860 --> 00:02:04.900]  真是有點拗頭
[00:02:04.900 --> 00:02:09.540]  「變臉藝術」作為一種表演藝術
[00:02:09.540 --> 00:02:12.540]  可能都頗好看
[00:02:12.540 --> 00:02:19.100]  不過如果連我們的信仰都「變臉」
[00:02:19.100 --> 00:02:21.980]  其實都頗糟糕
[00:02:21.980 --> 00:02:24.780]  甚麼是信仰「變臉」呢?
[00:02:24.780 --> 00:02:27.780]  很簡單 舉個例
[00:02:27.780 --> 00:02:32.980]  我們可能擔心身邊的人怎樣看自己
[00:02:32.980 --> 00:02:37.340]  所以我們在教會就一個樣
[00:02:37.340 --> 00:02:44.700]  出門後為了跟外面的社會可以融合
[00:02:44.700 --> 00:02:51.940]  於是就放下了自己信徒的身份
[00:02:51.940 --> 00:02:57.940]  投其所好一變 變了另一個樣
