
[00:00:00.000 --> 00:00:04.980]  最近我跟一個非信徒的朋友聊天
[00:00:04.980 --> 00:00:07.420]  他跟我說
[00:00:07.420 --> 00:00:11.580]  我不需要宗教來寄託我的精神
[00:00:11.580 --> 00:00:16.060]  也不需要一些屬靈的能力來幫我解決人生的問題
[00:00:16.060 --> 00:00:17.480]  我有很多事情要做
[00:00:17.480 --> 00:00:19.740]  很忙的
[00:00:19.740 --> 00:00:21.100]  他這樣跟我說的時候
[00:00:21.100 --> 00:00:22.340]  我一點也不覺得出奇
[00:00:22.340 --> 00:00:26.140]  因為剛才所表達的一個對基督教的看法
[00:00:26.140 --> 00:00:30.100]  其實實際上真是很多人的看法
[00:00:30.100 --> 00:00:32.260]  很多時候甚至非信徒
[00:00:32.260 --> 00:00:33.780]  不是基督徒的人
[00:00:33.780 --> 00:00:35.500]  你看基督徒是怎樣看的呢?
[00:00:35.500 --> 00:00:39.020]  很多時候都覺得基督徒是比較沒什麼實力的
[00:00:39.020 --> 00:00:40.140]  我們俗語說
[00:00:40.140 --> 00:00:42.820]  很平庸、很軟弱
[00:00:42.820 --> 00:00:46.220]  需要一些東西來做精神寄託
[00:00:46.220 --> 00:00:49.500]  人生或者社會上沒什麼大的成就
[00:00:49.500 --> 00:00:51.820]  又同一個時間覺得自己好像高高在上
[00:00:51.820 --> 00:00:53.500]  特別道德過人那樣
[00:00:53.500 --> 00:00:58.380]  很多時候基督徒甚至需要一些外來的幫助
[00:00:58.380 --> 00:01:01.580]  來面對處理他的問題
[00:01:01.580 --> 00:01:06.020]  很多時候更加需要其他人告訴他要做些什麼
[00:01:06.020 --> 00:01:08.460]  我聽完他的偉論之後
[00:01:08.460 --> 00:01:09.860]  我跟他說
[00:01:09.860 --> 00:01:12.500]  我信耶穌基督又不是這樣的
[00:01:12.500 --> 00:01:18.180]  我不是需要一些東西來做我的精神寄託
[00:01:18.180 --> 00:01:23.020]  我也不需要參加教會的活動來填滿我的日記
[00:01:23.020 --> 00:01:27.260]  我也不需要來教會擴大我的生活圈子
[00:01:27.260 --> 00:01:28.780]  我外面也有很多朋友
[00:01:28.780 --> 00:01:31.500]  我不需要這些一切
[00:01:31.500 --> 00:01:35.380]  反而我來教會一個最重要的目的
[00:01:35.380 --> 00:01:39.620]  就是回歸做我們的天父上帝
[00:01:39.620 --> 00:01:42.060]  為什麼我們需要回歸神呢?
[00:01:42.060 --> 00:01:43.660]  因為我相信
[00:01:43.660 --> 00:01:46.980]  唯有回到做物主
[00:01:46.980 --> 00:01:50.260]  我們才能夠正確地生活
[00:01:50.260 --> 00:01:54.020]  生活也是正不正確的嗎?
[00:01:54.020 --> 00:01:56.780]  不知道大家有沒有用過牙籤
[00:01:56.780 --> 00:01:58.460]  大家也有用過牙籤吧
[00:01:58.460 --> 00:02:02.980]  大家有沒有留意很多牙籤裡面有些凹坑
[00:02:02.980 --> 00:02:04.020]  有沒有留意?
[00:02:04.020 --> 00:02:05.940]  很多時候都是這樣
[00:02:05.940 --> 00:02:07.020]  我想問大家
[00:02:07.020 --> 00:02:09.220]  你知不知道這些凹坑是做什麼的?
[00:02:09.220 --> 00:02:12.060]  有什麼作用?
