
[00:00:00.000 --> 00:00:02.300]  各位弟姐妹們平安
[00:00:02.300 --> 00:00:09.040]  邀請大家一齊來討告
[00:00:09.040 --> 00:00:11.240]  親愛的兄弟們我們感謝你
[00:00:11.240 --> 00:00:13.700]  感謝你讓我們的學務
[00:00:13.700 --> 00:00:16.700]  在你面前去敬拜
[00:00:16.700 --> 00:00:18.600]  無論我們在禮堂裡
[00:00:18.600 --> 00:00:20.940]  或者我們透過直播
[00:00:20.940 --> 00:00:23.280]  讓聖靈也與我們同在
[00:00:23.280 --> 00:00:24.940]  你開啟我們的心
[00:00:24.940 --> 00:00:26.600]  讓我們能夠明白
[00:00:26.600 --> 00:00:28.200]  你懷疑中國奧秘
[00:00:28.200 --> 00:00:30.100]  並且讓上帝你的力量
[00:00:30.100 --> 00:00:31.200]  充滿我們的心
[00:00:31.200 --> 00:00:33.840]  成為我們的生命的方向和力量
[00:00:33.840 --> 00:00:35.480]  有願講的和聽的
[00:00:35.480 --> 00:00:36.980]  都同盟你的月
[00:00:36.980 --> 00:00:38.600]  祈禱奉主命靠
[00:00:38.600 --> 00:00:42.200]  阿們
[00:00:42.200 --> 00:00:45.140]  今天我和大家分享的題目
[00:00:45.140 --> 00:00:47.980]  就是「教會要成為教會」
[00:00:47.980 --> 00:00:51.080]  而經文是三代經課裡面的
[00:00:51.080 --> 00:00:54.080]  《爾忽所書》第四章一至十六節
[00:00:54.080 --> 00:00:54.980]  不知道大家是否記得
[00:00:54.980 --> 00:00:56.640]  我想要和大家分享的
[00:00:56.640 --> 00:00:58.780]  都是《爾忽所書》
[00:00:58.780 --> 00:01:01.600]  當時是《爾忽所書》的第一章
[00:01:01.600 --> 00:01:05.780]  記不記得我和大家說的是什麼呢
[00:01:05.780 --> 00:01:07.580]  不好意思好像在考大家
[00:01:07.580 --> 00:01:09.340]  你問我可能一個月之前
[00:01:09.340 --> 00:01:10.080]  我說過的什麼
[00:01:10.080 --> 00:01:11.480]  我自己也不記得
[00:01:11.480 --> 00:01:14.480]  所以找回我那篇講章
[00:01:14.480 --> 00:01:16.580]  原來我和大家說的是
[00:01:16.580 --> 00:01:17.880]  在第一章
[00:01:17.880 --> 00:01:21.140]  我們是被上帝所揀選的
[00:01:21.140 --> 00:01:22.140]  當我們還未出生
[00:01:22.140 --> 00:01:23.200]  還未承認的時候
[00:01:23.200 --> 00:01:25.840]  上帝已經揀選了我們
[00:01:25.840 --> 00:01:27.900]  當我們接受上帝揀選的時候
[00:01:27.900 --> 00:01:31.400]  我們就成為上帝的孩子
[00:01:31.400 --> 00:01:34.580]  是公主和王子
[00:01:34.580 --> 00:01:36.340]  在今天經文的第一節
[00:01:36.340 --> 00:01:37.600]  他這樣說
[00:01:37.600 --> 00:01:40.940]  他說我們既然蒙照
[00:01:40.940 --> 00:01:42.040]  蒙照的意思就是
