
[00:00:00.000 --> 00:00:15.000]  我們今天讀經文是《哥羅西書》一章十四至二十節。
[00:00:15.000 --> 00:00:19.000]  我們大家一起中讀:
[00:00:19.000 --> 00:00:24.000]  「我們在愛子裡得蒙救贖,
[00:00:24.000 --> 00:00:27.000]  罪過得以赦免,
[00:00:27.000 --> 00:00:31.000]  愛子善那不能看見,
[00:00:31.000 --> 00:00:37.000]  是守生的,在一切被做的而善。
[00:00:37.000 --> 00:00:41.000]  因為萬有都是靠他做的,
[00:00:41.000 --> 00:00:45.000]  無論是天上的、地上的、
[00:00:45.000 --> 00:00:48.000]  能看見的、不能看見的,
[00:00:48.000 --> 00:00:54.000]  或是有位的、主治的、執政的、掌權的,
[00:00:54.000 --> 00:00:58.000]  一切都是藉著他做的,
[00:00:58.000 --> 00:01:00.000]  又是為他做的。
[00:01:00.000 --> 00:01:05.000]  他在萬有之先,萬有也靠他而立,
[00:01:05.000 --> 00:01:09.000]  他也是會全體之首,
[00:01:09.000 --> 00:01:11.000]  他是原始,
[00:01:11.000 --> 00:01:14.000]  是從死裡首先復生的,
[00:01:14.000 --> 00:01:19.000]  是他可以在凡事上居首位。
[00:01:19.000 --> 00:01:26.000]  因為父喜歡叫一切的風聲在他裡面居住,
[00:01:26.000 --> 00:01:33.000]  既然藉著他在十字架上所流的血成就了和平,
[00:01:33.000 --> 00:01:36.000]  便藉著他叫萬有,
[00:01:36.000 --> 00:01:43.000]  無論是地上的、天上的,都與自己和好了。」
[00:01:49.000 --> 00:01:52.000]  多謝您讓我們有您自己的說話,
[00:01:52.000 --> 00:01:59.000]  當我們在世界上好像有五花八門的學說,
[00:01:59.000 --> 00:02:02.000]  有不同的思想和主見,
[00:02:02.000 --> 00:02:05.000]  但是當我們來到您的面前,
[00:02:05.000 --> 00:02:11.000]  當我們好像藉著您的兒子來親近神的時候,
[00:02:11.000 --> 00:02:14.000]  我們知道那是唯一的真理,
[00:02:14.000 --> 00:02:17.000]  也是神和人之間唯一的橋樑。
[00:02:17.000 --> 00:02:20.000]  願您讓我們更多認識主耶穌的時候,
[00:02:20.000 --> 00:02:22.000]  我們的心悅誠服,
[00:02:22.000 --> 00:02:24.000]  如以主為我們的中心,
[00:02:24.000 --> 00:02:26.000]  奉耶穌基督的名祈求。
[00:02:26.000 --> 00:02:27.000]  阿們。
[00:02:48.000 --> 00:02:51.000]  就是高羅西的教會,
[00:02:51.000 --> 00:02:53.000]  其實就是以巴忽,
[00:02:53.000 --> 00:02:55.000]  他可能聽過過,
[00:02:55.000 --> 00:02:57.000]  保羅在大城市當中,
[00:02:57.000 --> 00:02:58.000]  來到港島之後,
[00:02:58.000 --> 00:03:02.000]  回到他自己的家鄉那裡,
[00:03:02.000 --> 00:03:05.000]  信了耶穌之後就建立了教會,
[00:03:05.000 --> 00:03:09.000]  但是當時來講的教會就面對著一個問題,
[00:03:09.000 --> 00:03:11.000]  那個問題就是,
[00:03:11.000 --> 00:03:15.000]  當有一些其他的人走到他們中間,
[00:03:15.000 --> 00:03:24.000]  來講一些其實和福音真理相違背的內容,
[00:03:24.000 --> 00:03:28.000]  而當時一班新的信徒,
[00:03:28.000 --> 00:03:32.000]  當然也不懂得如何去分辨,
[00:03:32.000 --> 00:03:38.000]  而以巴忽自己本身也遇到那些非常複雜,
[00:03:38.000 --> 00:03:44.000]  或者是非常具有神學意義的討論問題的時候,
