
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹主持平安
[00:00:02.000 --> 00:00:06.000]  正如剛纔瑞豐傳道所說的
[00:00:06.000 --> 00:00:10.000]  我是從去年一直到今年一月份
[00:00:10.000 --> 00:00:12.000]  在日本放我的安息年假
[00:00:12.000 --> 00:00:15.000]  其實就是去那邊研究寫作
[00:00:15.000 --> 00:00:18.000]  度過了非常難忘的半年
[00:00:18.000 --> 00:00:20.000]  現在回到香港
[00:00:20.000 --> 00:00:23.000]  其實我已經是第三次分享主的話語了
[00:00:23.000 --> 00:00:26.000]  我前兩次是用廣東話講的
[00:00:26.000 --> 00:00:29.000]  所以普通話是我其實回來的第一次
[00:00:29.000 --> 00:00:32.000]  也算是一個開始
[00:00:32.000 --> 00:00:34.000]  香港的節奏
[00:00:34.000 --> 00:00:38.000]  香港的事情遠遠多過日本不知道多少倍
[00:00:38.000 --> 00:00:39.000]  所以呢
[00:00:39.000 --> 00:00:43.000]  我現在也是在重新的在鼓足勇氣
[00:00:43.000 --> 00:00:47.000]  來踏上前面道路的過程當中
[00:00:47.000 --> 00:00:49.000]  那我們人生在世呢
[00:00:49.000 --> 00:00:52.000]  其實我們常常要思想的大的問題
[00:00:52.000 --> 00:00:54.000]  就是此時何時
[00:00:54.000 --> 00:00:56.000]  現在是什麼時候
[00:00:56.000 --> 00:00:57.000]  身在何地
[00:00:57.000 --> 00:00:59.000]  你現在身在哪裏
[00:00:59.000 --> 00:01:00.000]  所作何爲
[00:01:00.000 --> 00:01:03.000]  你現在在幹什麼呢
[00:01:03.000 --> 00:01:06.000]  這些呢其實是我們常常要思考的
[00:01:06.000 --> 00:01:07.000]  而聖經當中呢
[00:01:07.000 --> 00:01:11.000]  最能夠幫助我們理清這些問題
[00:01:11.000 --> 00:01:14.000]  也舒緩我們的一些情緒
[00:01:14.000 --> 00:01:16.000]  帶領我們走出迷途的
[00:01:16.000 --> 00:01:18.000]  往往是神的話語了
[00:01:18.000 --> 00:01:21.000]  尤其是我喜歡在這種大事面前
[00:01:21.000 --> 00:01:23.000]  我要問
[00:01:23.000 --> 00:01:24.000]  就是詩篇
[00:01:24.000 --> 00:01:27.000]  就是讀這個詩篇
[00:01:27.000 --> 00:01:31.000]  讓我們今天呢就進入到詩篇的第121篇
[00:01:31.000 --> 00:01:34.000]  來去追隨的當年朝聖者的足跡
[00:01:34.000 --> 00:01:36.000]  或許呢今天覆活的主在我們中間
[00:01:36.000 --> 00:01:39.000]  就讓我們尋個正着
[00:01:39.000 --> 00:01:41.000]  像這個題目一樣
[00:01:41.000 --> 00:01:45.000]  詩篇的第121篇的是一首上行詩
[00:01:45.000 --> 00:01:50.000]  它排在呢就是詩篇的一百二十篇到一百三十四篇
[00:01:50.000 --> 00:01:53.000]  正好這一段呢都是上行詩
[00:01:53.000 --> 00:01:58.000]  可能呢就是用在以色列人每年三次去聖殿朝聖
[00:01:58.000 --> 00:02:00.000]  這樣的場合
[00:02:00.000 --> 00:02:02.000]  那詩人呢作爲朝聖者
[00:02:02.000 --> 00:02:04.000]  他不知道他從哪裏過來
[00:02:04.000 --> 00:02:07.000]  反正是一路走到聖殿山下
[00:02:07.000 --> 00:02:09.000]  他走到這個山下呢
[00:02:09.000 --> 00:02:13.000]  很自然就會抬頭仰望山上的聖殿
[00:02:13.000 --> 00:02:15.000]  我不知道大家去過聖地沒有
[00:02:15.000 --> 00:02:16.000]  你來到聖殿山下
[00:02:16.000 --> 00:02:18.000]  雖然那個山不高
[00:02:18.000 --> 00:02:22.000]  但是你真的是有一種舉目仰望
[00:02:22.000 --> 00:02:24.000]  這樣的一種心境
[00:02:24.000 --> 00:02:25.000]  確實要抬頭
[00:02:25.000 --> 00:02:26.000]  他舉目仰望呢
[00:02:26.000 --> 00:02:27.000]  他就問一個話
[00:02:27.000 --> 00:02:31.000]  就是我要向山舉目
[00:02:31.000 --> 00:02:34.000]  我要向山舉目
[00:02:34.000 --> 00:02:37.000]  這是一個很自然的一個動作
[00:02:37.000 --> 00:02:39.000]  也是這首朝聖詩裏面的
