
[00:00:00.000 --> 00:00:00.840]  好,感謝主
[00:00:00.840 --> 00:00:04.280]  由今天崇拜宣召開始
[00:00:04.280 --> 00:00:05.800]  到會授詩歌
[00:00:05.800 --> 00:00:10.040]  我們看到崇拜唯一的主角是主耶穌
[00:00:10.040 --> 00:00:13.960]  我們要在崇拜當中敬拜、讚美祂
[00:00:13.960 --> 00:00:16.680]  也要在崇拜裡面
[00:00:16.680 --> 00:00:19.000]  將我們的心呈現到主耶穌基督的面前
[00:00:19.000 --> 00:00:21.640]  在今天簡稱的經文《馬克福音》
[00:00:21.640 --> 00:00:25.160]  也在接下來的御苦期裡面
[00:00:25.160 --> 00:00:26.320]  我們也會用《馬克福音》
[00:00:26.880 --> 00:00:32.080]  將我們的焦點集中在主耶穌基督的身上
[00:00:32.080 --> 00:00:34.960]  在今天我很盼望
[00:00:34.960 --> 00:00:38.320]  只要耶穌基督怎樣去醫治馬峰的病人
[00:00:38.320 --> 00:00:40.240]  讓我們體會到
[00:00:40.240 --> 00:00:42.640]  耶穌基督那份憐憫的心腸
[00:00:42.640 --> 00:00:46.080]  祂那份伸手捉摸馬峰病人
[00:00:46.080 --> 00:00:51.680]  那個突破隔膜的那份勇氣和信心
[00:00:51.680 --> 00:00:52.880]  和權柄
[00:00:52.880 --> 00:00:54.880]  以致讓人得醫治
[00:00:55.800 --> 00:00:58.240]  也提醒我們作為耶穌基督的門徒
[00:00:58.240 --> 00:01:00.960]  作為一個使人得見的教會
[00:01:00.960 --> 00:01:04.040]  我們怎樣成為一個無牆服侍的教會
[00:01:04.040 --> 00:01:06.640]  大家都知道今年的年提
[00:01:06.640 --> 00:01:09.640]  我們就是用這個無牆服侍
[00:01:09.640 --> 00:01:14.080]  真誠關係和活現真道
[00:01:14.080 --> 00:01:17.000]  去思想教會是些什麼
[00:01:17.000 --> 00:01:18.960]  教會是些什麼?
[00:01:18.960 --> 00:01:24.240]  當我們由十一月尾
[00:01:24.240 --> 00:01:25.720]  十二月開始到這一刻
[00:01:26.280 --> 00:01:29.400]  我們都不能回到教會聚集去崇拜
[00:01:29.400 --> 00:01:31.120]  只能透過網上崇拜
[00:01:31.120 --> 00:01:34.040]  我們大部份團體小組都只能透過Zoom
[00:01:34.040 --> 00:01:36.760]  或者透過電話或WhatsApp的形式
[00:01:36.760 --> 00:01:39.760]  教會是些什麼呢?
[00:01:39.760 --> 00:01:46.000]  當我去跪著今年教會的方向禱告的時候
[00:01:46.000 --> 00:01:48.080]  聖靈提醒我
[00:01:48.080 --> 00:01:50.200]  教會不是要經營一堆事工
[00:01:50.200 --> 00:01:52.280]  不是要經營一堆活動
[00:01:53.280 --> 00:01:56.080]  如果用經營這個字好像比較商業味
[00:01:56.080 --> 00:01:58.720]  我們要經營一堆關係
[00:01:58.720 --> 00:02:00.440]  教會就是一群人
[00:02:00.440 --> 00:02:03.360]  我們要建立一個真誠的關係
[00:02:03.360 --> 00:02:05.720]  我們要突破教會的牆壁
[00:02:05.720 --> 00:02:07.320]  我們要和外面的人
[00:02:07.320 --> 00:02:08.640]  未信主的人
[00:02:08.640 --> 00:02:10.360]  我們的鄰舍建立關係
[00:02:10.360 --> 00:02:12.800]  如果還記得上個月的講道
[00:02:12.800 --> 00:02:16.040]  我用約翰福音13章34至35節問什麼
[00:02:16.040 --> 00:02:17.960]  耶穌賜給我們新命令
[00:02:17.960 --> 00:02:20.080]  就是要我們彼此相愛
[00:02:20.080 --> 00:02:22.520]  這個彼此相愛就成為了愛的標記
