
[00:00:00.000 --> 00:00:04.760]  親愛的姐妹們,平安!我們感謝主耶穌,有機會一同來到敬拜神
[00:00:04.760 --> 00:00:07.260]  我們一同先低頭祈禱
[00:00:07.260 --> 00:00:09.760]  三位姐妹們,感謝祢這次給我們的恩典
[00:00:09.760 --> 00:00:15.860]  讓我們有生命氣息,能夠在這裏聚集,來敬拜祢
[00:00:15.860 --> 00:00:19.960]  祢賜恩給我們,讓我們可以成為祢的兒女
[00:00:19.960 --> 00:00:24.160]  最後感謝祢這次給我們的華語,求祢幫助我們
[00:00:24.160 --> 00:00:29.960]  讓我們講的講得清清楚楚,聽的也聽得明明白白
[00:00:29.960 --> 00:00:33.960]  更加幫助我們實實在在地走出祢的真道
[00:00:33.960 --> 00:00:37.960]  奉耶穌基督的名祈禱,阿們
[00:00:37.960 --> 00:00:42.960]  今天繼續尋找力量之源的系列講到
[00:00:42.960 --> 00:00:49.960]  要和大家思想,上帝的審判,都會成為我們的力量之源
[00:00:49.960 --> 00:00:57.960]  今天這段經文,好像一位垂死的人,在病床上吩咐後事
[00:00:57.960 --> 00:01:01.960]  因為在四章六節,保羅感覺到
[00:01:01.960 --> 00:01:06.960]  我已經被曉獻,離世的時候到了
[00:01:06.960 --> 00:01:13.960]  然後他就吩咐提摩太,祢繼續努力做好祢應該做的事
[00:01:13.960 --> 00:01:17.960]  在第七節,保羅以他自己為榜樣說
[00:01:17.960 --> 00:01:21.960]  那美好的象,我已經打過了
[00:01:21.960 --> 00:01:25.960]  當跑的路,我已經跑盡了
[00:01:25.960 --> 00:01:29.960]  該信的道,我已經守住了
[00:01:29.960 --> 00:01:35.960]  他的意思是,勸提摩太都要立定心志,要打一場勝仗
[00:01:35.960 --> 00:01:40.960]  或者說要好像運動員那樣,跑完一場比賽
[00:01:40.960 --> 00:01:43.960]  也要守得住自己的信仰
[00:01:43.960 --> 00:01:47.960]  人生是很短暫的
[00:01:47.960 --> 00:01:52.960]  正如傳道者說,生有時,死有時
[00:01:52.960 --> 00:01:56.960]  我們什麼時候出生,什麼時候離世,都是上帝規劃好的
[00:01:56.960 --> 00:02:02.960]  一般來說,人自己都不知道什麼時候會離世
[00:02:02.960 --> 00:02:09.960]  就好像最近在Bondi Junction購物中心發生兇殺案
[00:02:09.960 --> 00:02:17.960]  有六位在購物中心行掛,其中一位不是行掛,他是護衛員
[00:02:17.960 --> 00:02:24.960]  無端端被一位有精神病的男人,拿著一把刀殺死了
[00:02:24.960 --> 00:02:28.960]  他真的很無辜,生命就這樣結束了
[00:02:28.960 --> 00:02:33.960]  有些很年輕的護衛員,是巴基斯坦人
[00:02:33.960 --> 00:02:36.960]  過來讀書,找份兼職工作
[00:02:36.960 --> 00:02:40.960]  那天好像還是第一第二次上班
[00:02:40.960 --> 00:02:44.960]  他就被人刺死了,31歲
[00:02:44.960 --> 00:02:50.960]  在我們這個短暫又好像很無常的人生中
[00:02:50.960 --> 00:02:53.960]  我們有沒有自己的跑道?
[00:02:53.960 --> 00:02:56.960]  有沒有堅守我們的信仰?
[00:02:56.960 --> 00:03:00.960]  我們還要問,為什麼要堅守?
[00:03:00.960 --> 00:03:03.960]  假如我們走到無力的時候
[00:03:03.960 --> 00:03:09.960]  有什麼人可以給我們動力,繼續支撐下去呢?
[00:03:09.960 --> 00:03:13.960]  我們一起思考今天這一段經文
[00:03:13.960 --> 00:03:19.960]  第一和第八節都提到一個概念,就是審判
[00:03:19.960 --> 00:03:25.960]  第一次提到將來審判活人死人的基督耶穌面前
[00:03:25.960 --> 00:03:30.960]  第八節就提到按照公義審判的主
[00:03:30.960 --> 00:03:37.960]  上帝會施行審判,是一個在舊約中經常出現的概念
[00:03:37.960 --> 00:03:44.960]  比如說在創世紀第三章,當亞當和夏娃吃了禁果之後
[00:03:44.960 --> 00:03:49.960]  上帝知不知道呢?當然知道,上帝是無所不知的
[00:03:49.960 --> 00:03:54.960]  但是上帝仍然去到伊甸園,叫他們出來
[00:03:54.960 --> 00:03:59.960]  然後問他們,你為什麼躲起來?是不是吃了禁果?
[00:03:59.960 --> 00:04:06.960]  然後上帝就給亞當和夏娃各自招供
[00:04:06.960 --> 00:04:13.960]  最後上帝就施行懲罰,連蛇都要受懲罰
[00:04:13.960 --> 00:04:18.960]  就是說所有參與的,無論是動物,男人,女人
[00:04:18.960 --> 00:04:23.960]  都是要受審判,受懲罰的
[00:04:23.960 --> 00:04:29.960]  審判是不是一定在將來呢?其實是不一定的
[00:04:29.960 --> 00:04:32.960]  從亞當和夏娃的審判當中
[00:04:32.960 --> 00:04:38.960]  我們可以看到,上帝是在他們犯罪之後就審判
[00:04:38.960 --> 00:04:44.960]  在創世紀第七章,也都記載了洪水的審判
[00:04:44.960 --> 00:04:50.960]  另外一件事例,就是在上帝審判索多瑪和俄摩拉兩座城
[00:04:50.960 --> 00:04:56.960]  當夏伯拉罕知道之後,他就向上帝求情
[00:04:56.960 --> 00:05:02.960]  他怎麼說呢?在創世紀十八章二十五節
[00:05:02.960 --> 00:05:08.960]  他說:「你絕不會做這樣的事,將異人與惡人一同殺了
[00:05:08.960 --> 00:05:12.960]  使異人與惡人一樣,你絕對不會這樣做的
[00:05:12.960 --> 00:05:17.960]  審判全地的主,豈不做公平的事嗎?」
[00:05:17.960 --> 00:05:21.960]  從這些記載當中,我們可以看見
[00:05:21.960 --> 00:05:29.960]  我們所信的上帝,是一位會以公平、公義審判世人
[00:05:29.960 --> 00:05:35.960]  當人犯罪太嚴重的時候,上帝就會立即審判
[00:05:35.960 --> 00:05:39.960]  不一定等到罪人死了之後才審判
[00:05:39.960 --> 00:05:44.960]  但我們可以確定一點,就是當主耶穌再來的時候
[00:05:44.960 --> 00:05:48.960]  一定是會帶來審判的
[00:05:48.960 --> 00:05:54.960]  當我們這樣確信的時候,其實就包含了另外一點
[00:05:54.960 --> 00:06:02.960]  基督徒對生命的認知,應該有的認知
[00:06:02.960 --> 00:06:07.960]  就是生命有兩種,或者兩個階段
[00:06:07.960 --> 00:06:12.960]  第一,就是今生我們有靈魂與身體的生命
[00:06:12.960 --> 00:06:16.960]  靈魂與身體是結合在一起的
[00:06:16.960 --> 00:06:21.960]  第二,就是當人死了之後
[00:06:21.960 --> 00:06:24.960]  身體是屬於物質的部份
[00:06:24.960 --> 00:06:29.960]  上帝就規定了,物質的部份是要歸回塵土的
[00:06:29.960 --> 00:06:33.960]  但靈魂的部份是會繼續存留的
[00:06:33.960 --> 00:06:38.960]  直到主耶穌再來的時候,就會一同接受審判
[00:06:38.960 --> 00:06:43.960]  在保羅對審判的確信裡面還有一點
[00:06:43.960 --> 00:06:50.960]  就是只要他跑完某一條路,守著當信的道路
[00:06:50.960 --> 00:06:52.960]  他就會得獎賞的
[00:06:52.960 --> 00:06:55.960]  就是有公義的冠冕為我存留
[00:06:55.960 --> 00:06:57.960]  審判完之後,不一定是會被罰的
[00:06:57.960 --> 00:07:00.960]  就像當寶寶一樣,做得不好就被罰
[00:07:00.960 --> 00:07:03.960]  但做得好又如何?就是會得獎的
[00:07:03.960 --> 00:07:08.960]  我希望大家記得,當我說提摩太後書第二章的時候
[00:07:08.960 --> 00:07:11.960]  提到提摩太應該是在義福所教會
[00:07:11.960 --> 00:07:16.960]  而那時候其實已經有人在說一些錯誤的道理
