
[00:00:00.000 --> 00:00:09.000]  聖誕快樂,主持平安
[00:00:09.000 --> 00:00:15.000]  不知道這個聖誕節對你有什麼意義
[00:00:15.000 --> 00:00:20.000]  好像每年都有聖誕節
[00:00:20.000 --> 00:00:24.000]  那麼這個聖誕對你有什麼特別的意義呢
[00:00:24.000 --> 00:00:30.000]  我告訴你對我有特別意義,不過不告訴你什麼意義
[00:00:30.000 --> 00:00:33.000]  你可以去找找
[00:00:33.000 --> 00:00:36.000]  但是對你又有什麼意義呢
[00:00:36.000 --> 00:00:40.000]  是不是只是因為這個聖誕節是星期二
[00:00:40.000 --> 00:00:44.000]  回來敬拜主
[00:00:44.000 --> 00:00:48.000]  平時聖誕我們有時有,有時沒有
[00:00:48.000 --> 00:00:50.000]  是不是這個意思呢
[00:00:50.000 --> 00:00:55.000]  也不關你的事,因為是日子,明年就不是了
[00:00:55.000 --> 00:00:59.000]  不知道有什麼意義,大家可以思想一下
[00:00:59.000 --> 00:01:04.000]  聖誕有時我們看很熱鬧的
[00:01:04.000 --> 00:01:08.000]  其實兩堂都很大分別
[00:01:08.000 --> 00:01:13.000]  早堂真的很熱鬧,午堂就感覺寧靜一點
[00:01:13.000 --> 00:01:17.000]  聖誕有時給人的感覺都是一樣
[00:01:17.000 --> 00:01:21.000]  有些是熱鬧的,有些是寧靜的
[00:01:21.000 --> 00:01:24.000]  昨晚我們都沒有去報街音
[00:01:24.000 --> 00:01:30.000]  不過就記得,若干年前我們都會去報街音
[00:01:30.000 --> 00:01:35.000]  有一年我們就選擇去十三街那裡
[00:01:35.000 --> 00:01:40.000]  土瓜灣一個很靜的地方,去那裡報街音
[00:01:40.000 --> 00:01:43.000]  有一隊人就去那裡唱
[00:01:43.000 --> 00:01:49.000]  那條街沒什麼人,整條街都沒人
[00:01:49.000 --> 00:01:53.000]  就站在一個沒人的地方唱
[00:01:53.000 --> 00:02:00.000]  唱的時候好像見到樓上有些住戶走出來看一下
[00:02:00.000 --> 00:02:05.000]  因為我想他們都很奇怪,怎會有人來這裡報街音呢
[00:02:05.000 --> 00:02:08.000]  真是很寧靜的地方
[00:02:08.000 --> 00:02:13.000]  那年回去之後,不同的隊伍就說
[00:02:13.000 --> 00:02:16.000]  我們去到黃埔那裡很多人聽
[00:02:16.000 --> 00:02:20.000]  這隊就說我們去那裡沒什麼人聽
[00:02:20.000 --> 00:02:29.000]  結果呢,以後再也不去十三街報街音了
[00:02:29.000 --> 00:02:33.000]  其實都很值得我們去思想一下
[00:02:33.000 --> 00:02:36.000]  其實這個跟今天我要講的是有關係
[00:02:36.000 --> 00:02:41.000]  什麼是道成肉身
[00:02:41.000 --> 00:02:44.000]  當我們看聖經的時候
[00:02:44.000 --> 00:02:47.000]  新約裡面有四本福音書
[00:02:47.000 --> 00:02:53.000]  福音書對於耶穌的降生都有很不相同的記載
[00:02:53.000 --> 00:02:56.000]  昨晚我們平安夜聚會在這裡
[00:02:56.000 --> 00:03:00.000]  讀了很多關於耶穌降生的經文
[00:03:00.000 --> 00:03:06.000]  多數在馬太福音和路加福音
[00:03:06.000 --> 00:03:09.000]  馬可福音幾乎沒有
[00:03:09.000 --> 00:03:11.000]  應該是沒有的
[00:03:11.000 --> 00:03:13.000]  他引用舊約一段的經文
[00:03:13.000 --> 00:03:16.000]  但是就講到耶穌來到世上
[00:03:16.000 --> 00:03:19.000]  就不是講到耶穌的降生
[00:03:19.000 --> 00:03:22.000]  馬可福音是沒有記載耶穌的降生
[00:03:22.000 --> 00:03:24.000]  而約翰福音呢
[00:03:24.000 --> 00:03:29.000]  剛才我們喜樂區的弟兄姊妹幫我們讀了出來
[00:03:29.000 --> 00:03:34.000]  就是約翰福音第一章一至十四節
[00:03:34.000 --> 00:03:37.000]  其實應該讀到第十八節
[00:03:37.000 --> 00:03:41.000]  不過一至十四節就是我們經課裡面的經文
