
[00:00:00.000 --> 00:00:03.080]  今季的季題是操練生命
[00:00:03.080 --> 00:00:05.580]  作為門徒是要操練我們的生命的
[00:00:05.580 --> 00:00:06.780]  為什麼呢?
[00:00:06.780 --> 00:00:08.580]  因為在我們未信耶穌之前
[00:00:08.580 --> 00:00:11.580]  我們生命有很多生命的雜質
[00:00:11.580 --> 00:00:12.580]  即是有很多扭曲的東西
[00:00:12.580 --> 00:00:15.080]  你問問自己就知道了
[00:00:15.080 --> 00:00:17.580]  沒有人知道的時候我們做些什麼
[00:00:17.580 --> 00:00:19.080]  可能做一些不太好的事情
[00:00:19.080 --> 00:00:23.580]  或者我們生命中有很多缺陷的地方
[00:00:23.580 --> 00:00:25.080]  因為人是有罪的
[00:00:25.080 --> 00:00:27.080]  造成我們在品格上
[00:00:27.080 --> 00:00:28.280]  在我們的行為上
[00:00:28.280 --> 00:00:30.880]  在我們的生活上造成很多殘缺
[00:00:30.880 --> 00:00:32.880]  造成很多不完全的地方
[00:00:32.880 --> 00:00:34.880]  但是當人信了耶穌之後
[00:00:34.880 --> 00:00:37.880]  當我們完全接受主
[00:00:37.880 --> 00:00:40.880]  在我們生命中改造的一切
[00:00:40.880 --> 00:00:42.080]  完全接受主耶穌
[00:00:42.080 --> 00:00:43.880]  去改變我們生命的時候
[00:00:43.880 --> 00:00:47.880]  其實門徒是會越來越有殘缺
[00:00:47.880 --> 00:00:50.880]  變回完全和成熟的狀態
[00:00:50.880 --> 00:00:51.880]  即是俗些說
[00:00:51.880 --> 00:00:54.880]  以前信耶穌之前人不像人
[00:00:54.880 --> 00:00:56.880]  但信了耶穌之後就像個人了
[00:00:56.880 --> 00:00:59.880]  所以今天我們看的《雅各書》
[00:00:59.880 --> 00:01:01.880]  其實是在說一個題目
[00:01:01.880 --> 00:01:04.880]  就是在說一個言語的生活課題
[00:01:04.880 --> 00:01:06.880]  我們進入經文之前
[00:01:06.880 --> 00:01:09.880]  我們先有個祈禱
[00:01:09.880 --> 00:01:11.880]  師父多謝祢
[00:01:11.880 --> 00:01:12.880]  求祢原諒我們的心
[00:01:12.880 --> 00:01:14.880]  這一刻去專注於祢
[00:01:14.880 --> 00:01:15.880]  主祢原諒我們金不天
[00:01:15.880 --> 00:01:17.880]  我們的心開放給祢
[00:01:17.880 --> 00:01:18.880]  去栽種祢的話
[00:01:18.880 --> 00:01:21.880]  求祢的話植入我們生命裏面
[00:01:21.880 --> 00:01:24.880]  不只是在頭腦上的見識
