
[00:00:00.000 --> 00:00:04.720]  我剛剛講完了《新明記》
[00:00:04.720 --> 00:00:07.180]  又未開始下一個系列
[00:00:07.180 --> 00:00:08.560]  就是《馬太福音》
[00:00:08.560 --> 00:00:11.060]  當中有一些時間
[00:00:11.060 --> 00:00:14.160]  又是讓我講一些我平時不會講的道
[00:00:14.160 --> 00:00:20.280]  這一次我要講《日月升縮都傳揚基督的救恩》
[00:00:20.280 --> 00:00:23.960]  爲什麼會講這麼奇怪的一篇道呢
[00:00:23.960 --> 00:00:29.200]  就是我在執拾我舊時做工的文件的時候
[00:00:29.200 --> 00:00:32.960]  找到有很多很多是關於外太空
[00:00:32.960 --> 00:00:36.320]  關於宇宙的圖片
[00:00:36.320 --> 00:00:37.800]  我跟大家都講過
[00:00:37.800 --> 00:00:43.400]  我以前人生上半場是做外太空
[00:00:43.400 --> 00:00:51.480]  是用紅外光來探測外太空和地球的工作
[00:00:51.480 --> 00:00:53.480]  要用到紅外光的話
[00:00:53.480 --> 00:00:55.640]  就要用到低溫系統
[00:00:55.640 --> 00:00:58.200]  要用到冷卻系統
[00:00:58.200 --> 00:01:00.200]  我就是做這一行的
[00:01:00.200 --> 00:01:03.280]  另外看到這個圖片是SPCER
[00:01:03.280 --> 00:01:09.040]  一隻人造衛星所拍攝的很多外太空的圖片
[00:01:09.040 --> 00:01:14.680]  這隻SPCER的冷卻系統就是我設計的
[00:01:14.680 --> 00:01:17.480]  其實冷卻系統都很重要的
[00:01:17.480 --> 00:01:20.280]  因爲一個冷卻系統就是
[00:01:20.280 --> 00:01:26.040]  掌管着人造衛星的壽命有多長
[00:01:26.040 --> 00:01:28.520]  偵察期有多長
[00:01:28.520 --> 00:01:32.440]  如果這個冷卻系統設計得不好的時候
[00:01:32.440 --> 00:01:35.080]  偵察期就會短了
[00:01:35.080 --> 00:01:39.400]  好像這隻SPCER之前有兩隻人造衛星都是同樣的原理
[00:01:39.400 --> 00:01:41.760]  一隻是IRIS 一隻是COBE
[00:01:41.760 --> 00:01:47.440]  兩隻NASA本來要求的偵察期是一年
[00:01:47.440 --> 00:01:50.080]  但是去到十個月就壽終正寢
[00:01:50.080 --> 00:01:51.880]  就是玩完了
[00:01:51.880 --> 00:01:55.040]  因爲不能夠維持這個溫度
[00:01:55.040 --> 00:02:00.240]  這個SPCER我們看到
[00:02:00.240 --> 00:02:05.760]  偵察期NASA的要求是兩年半
[00:02:05.760 --> 00:02:09.720]  比前面那兩隻還要是超出很多
[00:02:09.720 --> 00:02:13.040]  所以我相信也是原因爲何Ball Aerospace
[00:02:13.040 --> 00:02:14.520]  在建這隻的時候
[00:02:14.520 --> 00:02:19.640]  這隻人造衛星要去外面找一個顧問來幫他們
[00:02:19.640 --> 00:02:22.680]  相信NASA給他們的壓力都很大
