
[00:00:00.000 --> 00:00:04.800]  各位,今天我的講題叫做「從榮耀降臨」
[00:00:04.800 --> 00:00:09.600]  有一首聖誕歌,又是「從榮耀降臨」
[00:00:09.600 --> 00:00:12.000]  但是很多人未必聽過的
[00:00:12.000 --> 00:00:17.000]  因為這首歌,它是來自一首「O Sole Mio」
[00:00:17.000 --> 00:00:23.200]  一首意大利的名曲,叫做「我的太陽改編而成」
[00:00:23.200 --> 00:00:27.400]  這首的詩歌,是很能夠表達
[00:00:27.400 --> 00:00:31.800]  我們的主,我們的神,怎樣從榮耀降臨
[00:00:31.800 --> 00:00:35.200]  時間的關係,我只唱一節
[00:00:35.200 --> 00:00:38.000]  但是我會用原文,是英文的
[00:00:38.000 --> 00:00:40.000]  接著用中文唱
[00:00:40.000 --> 00:00:42.800]  這首詩歌說,從榮耀降臨
[00:00:42.800 --> 00:00:45.200]  永遠奇妙的福音
[00:00:45.200 --> 00:00:47.400]  我神,我主降臨
[00:00:47.400 --> 00:00:49.600]  耶穌就是祂的名字
[00:00:49.600 --> 00:00:53.600]  祂生在馬槽,世人看為客裡
[00:00:53.600 --> 00:00:59.000]  在世間祂受盡了悲傷、流淚、飄零
[00:00:59.000 --> 00:01:04.200]  接著是作詩,也是唱詩的人的回應
[00:01:04.200 --> 00:01:10.400]  我何等的愛主,何等的崇拜主
[00:01:10.400 --> 00:01:13.800]  我生命的亮光,我的一切
[00:01:13.800 --> 00:01:17.200]  宇宙大主宰,成為我的救主
[00:01:17.200 --> 00:01:21.000]  神一切的豐盛,都在主的裡面
[00:01:21.000 --> 00:01:24.200]  唱這首詩歌的,一定要是信主的人
[00:01:24.200 --> 00:01:26.200]  去經歷過主的愛
[00:01:26.200 --> 00:01:29.200]  以至他能夠去說
[00:01:29.200 --> 00:01:32.600]  他是多麼的愛主和崇拜主
[00:01:32.600 --> 00:01:37.000]  希望我一會兒唱得很肉緊
[00:01:37.000 --> 00:01:40.400]  因為我真的很愛我的主
[00:01:40.400 --> 00:01:42.800]  我希望大家都這麼肉緊
[00:01:42.800 --> 00:01:47.600]  我有一天也有病,呼吸系統病
[00:01:47.600 --> 00:01:51.400]  每逢唱歌,撒旦就給我一些挑戰
[00:01:51.400 --> 00:01:55.200]  叫我的痰上頸,塞住我的共鳴腔
[00:01:55.200 --> 00:01:57.800]  讓我唱不好聽的聲音
[00:01:57.800 --> 00:02:02.000]  所以我很多時候會跟他鬥爭
[00:02:02.000 --> 00:02:05.400]  但是主一定勝利的,我靠著主
[00:02:05.400 --> 00:02:08.600]  今天起床我也想吃藥
[00:02:08.600 --> 00:02:10.600]  誰知道藥不知道放在哪裡
[00:02:10.600 --> 00:02:11.800]  因為太久沒吃了
[00:02:11.800 --> 00:02:15.400]  我有健康,主給我健康
[00:02:15.400 --> 00:02:17.000]  可以唱到歌
[00:02:17.000 --> 00:02:20.000]  我就想著,偷偷沒想著吃藥
[00:02:20.000 --> 00:02:21.400]  不過今天又覺得
[00:02:21.400 --> 00:02:24.800]  周圍的空氣、天氣
[00:02:24.800 --> 00:02:27.000]  都是很容易出事的
[00:02:27.000 --> 00:02:28.600]  誰知道找不到藥
[00:02:28.600 --> 00:02:31.400]  找不到藥,更加靠主的力量
[00:02:31.400 --> 00:02:33.400]  主愛我,一定唱到的
[00:02:33.400 --> 00:02:36.800]  很多謝陳姑娘幫手彈琴
[00:02:36.800 --> 00:02:40.200]  請大家去思想這首詩歌
[00:02:40.200 --> 00:02:42.200]  "Down From His Glory"
[00:02:48.000 --> 00:02:53.000]  "Down From His Glory" 詞:陳志遠 曲:陳志遠
[00:03:17.000 --> 00:03:22.000]  "Down From His Glory" 詞:陳志遠
[00:03:22.000 --> 00:03:27.000]  "Down From His Glory" 曲:陳志遠
[00:03:47.000 --> 00:03:52.000]  "Down From His Glory" 曲:陳志遠
[00:03:52.000 --> 00:03:57.000]  "Down From His Glory" 曲:陳志遠
[00:03:57.000 --> 00:04:02.000]  "Down From His Glory" 曲:陳志遠
[00:04:02.000 --> 00:04:07.000]  "Down From His Glory" 曲:陳志遠
[00:04:07.000 --> 00:04:12.000]  "Down From His Glory" 曲:陳志遠
[00:04:12.000 --> 00:04:17.000]  "Down From His Glory" 曲:陳志遠
[00:04:17.000 --> 00:04:22.000]  "Down From His Glory" 曲:陳志遠
[00:04:22.000 --> 00:04:27.000]  "Down From His Glory" 曲:陳志遠
[00:04:27.000 --> 00:04:32.000]  "Down From His Glory" 曲:陳志遠
[00:04:32.000 --> 00:04:37.000]  "Down From His Glory" 曲:陳志遠
[00:04:37.000 --> 00:04:42.000]  "Down From His Glory" 曲:陳志遠
[00:04:42.000 --> 00:04:47.000]  "Down From His Glory" 曲:陳志遠
[00:04:47.000 --> 00:04:52.000]  "Down From His Glory" 曲:陳志遠
[00:04:52.000 --> 00:04:57.000]  "Down From His Glory" 曲:陳志遠
[00:04:57.000 --> 00:05:02.000]  "Down From His Glory" 曲:陳志遠
[00:05:02.000 --> 00:05:07.000]  "Down From His Glory" 曲:陳志遠
[00:05:07.000 --> 00:05:12.000]  "Down From His Glory" 曲:陳志遠
[00:05:12.000 --> 00:05:17.000]  "Down From His Glory" 曲:陳志遠
[00:05:17.000 --> 00:05:22.000]  "Down From His Glory" 曲:陳志遠
[00:05:22.000 --> 00:05:27.000]  "Down From His Glory" 曲:陳志遠
[00:05:27.000 --> 00:05:32.000]  "Down From His Glory" 曲:陳志遠
[00:05:32.000 --> 00:05:37.000]  "Down From His Glory" 曲:陳志遠
[00:05:37.000 --> 00:05:42.000]  "Down From His Glory" 曲:陳志遠
[00:05:42.000 --> 00:05:47.000]  "Down From His Glory" 曲:陳志遠
[00:05:47.000 --> 00:05:52.000]  "Down From His Glory" 曲:陳志遠
[00:05:52.000 --> 00:05:57.000]  "Down From His Glory" 曲:陳志遠
[00:05:57.000 --> 00:06:02.000]  "Down From His Glory" 曲:陳志遠
[00:06:02.000 --> 00:06:07.000]  "Down From His Glory" 曲:陳志遠
[00:06:07.000 --> 00:06:12.000]  "Down From His Glory" 曲:陳志遠
[00:06:12.000 --> 00:06:17.000]  "Down From His Glory" 曲:陳志遠
[00:06:17.000 --> 00:06:22.000]  "Down From His Glory" 曲:陳志遠
[00:06:22.000 --> 00:06:27.000]  "Down From His Glory" 曲:陳志遠
[00:06:47.000 --> 00:06:56.000]  馬太福音第一章,十八至二十三節,請大家一同讀出
[00:06:56.000 --> 00:07:00.000]  耶穌基督降生的事,記在下面
[00:07:00.000 --> 00:07:06.000]  他母親瑪利亞已經許配了約瑟,還沒有迎娶
[00:07:06.000 --> 00:07:09.000]  瑪利亞就從聖靈懷了孕
[00:07:09.000 --> 00:07:15.000]  她丈夫約瑟是個異人,不願意明明地羞辱她
[00:07:15.000 --> 00:07:18.000]  想要暗暗地把她幽了
[00:07:18.000 --> 00:07:24.000]  正思念這事的時候,有主的使者向她夢中顯現
[00:07:24.000 --> 00:07:28.000]  說:大衛的子孫約瑟,不要怕
[00:07:28.000 --> 00:07:32.000]  只管娶過你的妻子瑪利亞來
[00:07:32.000 --> 00:07:36.000]  因她所懷的孕是從聖靈來的
[00:07:36.000 --> 00:07:42.000]  她將要生一個兒子,你要給她起名叫耶穌
[00:07:42.000 --> 00:07:47.000]  因她要將自己的百姓從罪惡裡救出來
[00:07:47.000 --> 00:07:53.000]  這一切的成就就是要應驗主席善知所說的話
[00:07:53.000 --> 00:08:00.000]  說:必有童女懷孕生子,人要稱她的名為以馬來尼
[00:08:00.000 --> 00:08:05.000]  以馬來尼翻出來,就是上帝與我們同在
[00:08:05.000 --> 00:08:08.000]  好,我們思想一下這段經文
[00:08:08.000 --> 00:08:11.000]  請大家特別留意黃色的字
[00:08:11.000 --> 00:08:15.000]  聖嬰耶穌是聖誕的主角
[00:08:15.000 --> 00:08:21.000]  聖嬰有一個很不同的,他是從聖靈懷了孕
[00:08:21.000 --> 00:08:28.000]  由於他是由聖靈懷了孕,所以嚇壞了約瑟
[00:08:28.000 --> 00:08:35.000]  約瑟知道了之後,想要暗暗地把瑪利亞幽了
[00:08:35.000 --> 00:08:42.000]  接著有天使出現,天使叫他不要怕,不用怕
[00:08:42.000 --> 00:08:46.000]  因為他所懷的孕是從聖靈來的
[00:08:46.000 --> 00:08:50.000]  所以大家特別留意耶穌與我們不同
[00:08:50.000 --> 00:08:57.000]  他是聖靈感孕的,我們在在有誰是聖靈感孕請你舉手
[00:08:57.000 --> 00:09:00.000]  我想沒有人,就算有你都不敢舉手
[00:09:00.000 --> 00:09:03.000]  在當代都很大挑戰
[00:09:03.000 --> 00:09:07.000]  他要將生一個兒子
[00:09:07.000 --> 00:09:10.000]  瑪利亞快要生一個兒子了
[00:09:10.000 --> 00:09:12.000]  叫他什麼?就是耶穌
[00:09:12.000 --> 00:09:17.000]  因為他要將自己的百姓從罪惡裡面救出來
[00:09:17.000 --> 00:09:20.000]  然後我們又再看廿三節
[00:09:20.000 --> 00:09:23.000]  必有童女,留意是童女
[00:09:23.000 --> 00:09:27.000]  即是未結婚的,大概十三歲左右
[00:09:27.000 --> 00:09:31.000]  懷孕生子,人要稱他的名
[00:09:31.000 --> 00:09:35.000]  稱他,他就是指耶穌,為爾瑪萊利
[00:09:35.000 --> 00:09:40.000]  爾瑪萊利翻出來就是上帝與我們同在
[00:09:40.000 --> 00:09:48.000]  接著我們又讀這一段,路加二章八至十四節一起讀
[00:09:48.000 --> 00:09:52.000]  在百里行之的地裡,有牧羊的人
[00:09:52.000 --> 00:09:56.000]  夜間按著羹翅看守羊群
[00:09:56.000 --> 00:09:59.000]  有主的使者站在他們旁邊
[00:09:59.000 --> 00:10:02.000]  主的榮光四面照著他們
[00:10:02.000 --> 00:10:05.000]  牧羊的人就甚懼怕
[00:10:05.000 --> 00:10:09.000]  那天使對他們說,不要懼怕
[00:10:09.000 --> 00:10:14.000]  我報給你們大喜的信息是關乎萬民的
[00:10:14.000 --> 00:10:16.000]  因今天在大衛的城裡
[00:10:16.000 --> 00:10:20.000]  為你們生了救主,就是主基督
[00:10:20.000 --> 00:10:23.000]  你們要看見一個嬰孩
[00:10:23.000 --> 00:10:26.000]  包著布臥在馬場裡
[00:10:26.000 --> 00:10:28.000]  那就是記號了
[00:10:28.000 --> 00:10:31.000]  忽然有一大隊天兵
[00:10:31.000 --> 00:10:34.000]  和那天使讚美上帝說
[00:10:34.000 --> 00:10:37.000]  在至高之處榮耀歸於上帝
[00:10:37.000 --> 00:10:42.000]  在地上平安歸於他所喜悅的人
[00:10:42.000 --> 00:10:46.000]  請大家注意那些黃色或者黃黃的色
[00:10:46.000 --> 00:10:49.000]  首先天使對他們說
[00:10:49.000 --> 00:10:51.000]  他們就是牧羊人
[00:10:51.000 --> 00:10:53.000]  叫他什麼?不要懼怕
[00:10:53.000 --> 00:10:57.000]  大家留意若瑟那裡都有的
[00:10:57.000 --> 00:11:00.000]  天使第一句都是說不要懼怕
[00:11:00.000 --> 00:11:01.000]  不用怕
[00:11:01.000 --> 00:11:03.000]  各位你們有沒有什麼要怕的?
[00:11:03.000 --> 00:11:06.000]  我想你們也有很多要怕的
[00:11:06.000 --> 00:11:09.000]  剛才我也怕我來不及
[00:11:09.000 --> 00:11:11.000]  遲了出門
[00:11:11.000 --> 00:11:15.000]  有時也會遇到有些人阻塞通道
[00:11:15.000 --> 00:11:18.000]  或者地鐵突然間要停
[00:11:18.000 --> 00:11:21.000]  好在感謝主
[00:11:21.000 --> 00:11:26.000]  我報給你們大喜的信息是關乎萬民的
[00:11:26.000 --> 00:11:29.000]  耶穌這個降生是大喜的
[00:11:29.000 --> 00:11:31.000]  不只是給一兩個人
[00:11:31.000 --> 00:11:34.000]  是所有人關乎萬民
[00:11:34.000 --> 00:11:37.000]  耶穌基督的名舊主
[00:11:37.000 --> 00:11:40.000]  然後還要說是主基督
[00:11:40.000 --> 00:11:42.000]  你們還要看到一個嬰孩
[00:11:42.000 --> 00:11:46.000]  大家留意聖誕很強調是嬰孩
[00:11:46.000 --> 00:11:51.000]  為什麼耶穌要成為嬰孩進入這個世界呢?
