
[00:00:00.000 --> 00:00:05.880]  我今日嘅題目呢係定為呢係以信望愛同行成勝嘅
[00:00:05.880 --> 00:00:08.700]  咁反而呢該唔該前書十二章呢個
[00:00:08.700 --> 00:00:10.760]  個篇幅比較長
[00:00:10.760 --> 00:00:12.540]  其實要一篇講道
[00:00:12.540 --> 00:00:15.880]  裏面講完仲要有煮餐有碰嘢比較難啲
[00:00:15.880 --> 00:00:19.720]  咁我定係用大家呢佢點出嗰個重心主題
[00:00:19.720 --> 00:00:20.740]  其實
[00:00:20.740 --> 00:00:22.020]  就係教會
[00:00:22.020 --> 00:00:23.040]  係好似個
[00:00:23.040 --> 00:00:24.060]  身體一樣
[00:00:24.060 --> 00:00:26.120]  教會係基督嘅身體
[00:00:26.120 --> 00:00:28.420]  呢個主題大家都應該好熟悉嘅
[00:00:28.680 --> 00:00:31.760]  身體每一個部分都係不可或缺嘅
[00:00:31.760 --> 00:00:34.320]  唔可以係獨立存在嘅
[00:00:34.320 --> 00:00:35.340]  基督徒一樣
[00:00:35.340 --> 00:00:38.920]  我哋需要喺一個教會裏面去生活
[00:00:38.920 --> 00:00:41.740]  身體嘅肢體都有獨特嘅功能
[00:00:41.740 --> 00:00:46.600]  所以其實每個基督徒呢神都畀特別因此我哋各有所長
[00:00:46.600 --> 00:00:50.180]  所以需要喺元首主耶穌基督裏面呢
[00:00:50.180 --> 00:00:53.000]  群策群力嘅互相合作
[00:00:53.000 --> 00:00:54.540]  做神嘅工作
[00:00:54.540 --> 00:00:56.320]  正如基督徒呢
[00:00:56.320 --> 00:00:57.360]  唔應該
[00:00:57.620 --> 00:00:59.660]  孤立嘅生活呢
[00:00:59.660 --> 00:01:01.720]  應該屬於呢個地方教會
[00:01:01.720 --> 00:01:04.020]  其實聖經嘅經文呢亦都一樣
[00:01:04.020 --> 00:01:05.040]  就唔可以就咁
[00:01:05.040 --> 00:01:10.680]  攞一隻字就攞嚟講或者攞一節嘅經文嚟講所以我就經常同大家強調要睇文
[00:01:10.680 --> 00:01:12.480]  睇埋上文下理呢
[00:01:12.480 --> 00:01:14.520]  先至唔會斷傷取義
[00:01:14.520 --> 00:01:16.560]  呢個就係點解我想將10章
[00:01:16.560 --> 00:01:19.640]  希伯來書10章24 25節呢
[00:01:19.640 --> 00:01:23.480]  放返喺嗰個頭先我哋讀出嗰個上文下理當中
[00:01:23.480 --> 00:01:24.760]  同大家研究
[00:01:25.020 --> 00:01:27.840]  其實希伯來書呢如果你睇下原文嘅時候呢
[00:01:27.840 --> 00:01:31.420]  10章19一直到到25節呢
[00:01:31.420 --> 00:01:33.980]  6節聖經其實係一句句子嚟嘅
[00:01:33.980 --> 00:01:36.540]  一個比較長啲複雜啲嘅句子
[00:01:36.540 --> 00:01:40.120]  如果你淨係攞咗24同埋25節
[00:01:40.120 --> 00:01:40.900]  出嚟
[00:01:40.900 --> 00:01:41.920]  嘅時候呢
[00:01:41.920 --> 00:01:45.500]  理解呢就容易呢就偏移咗某個方面
[00:01:45.500 --> 00:01:47.040]  咁就可能有啲
[00:01:47.040 --> 00:01:49.080]  唔準確嘅地方喇
[00:01:49.080 --> 00:01:52.160]  26同埋27節跟住呢
[00:01:52.160 --> 00:01:53.960]  其實亦都係緊接
[00:01:54.200 --> 00:01:55.480]  嚟講嘅說話嘅
[00:01:55.480 --> 00:01:57.780]  意思呢亦都係同呢個
[00:01:57.780 --> 00:02:00.080]  19到25節中間嘅
[00:02:00.080 --> 00:02:01.360]  係好有關連
[00:02:01.360 --> 00:02:02.900]  一齊讀啦
[00:02:02.900 --> 00:02:08.280]  如果大家歸納19到到27節三個slide裏面嘅內容呢
[00:02:08.280 --> 00:02:11.340]  我諗將呢篇講到定為
[00:02:11.340 --> 00:02:15.180]  係以信望外同行成聖呢
[00:02:15.180 --> 00:02:18.000]  大家都應該可以大概明白到嗰個
[00:02:18.000 --> 00:02:19.020]  原因嘅
[00:02:19.020 --> 00:02:21.580]  因為如果你淨係睇24 25節呢
[00:02:21.580 --> 00:02:23.640]  可能大家歸納個內容呢
[00:02:23.900 --> 00:02:24.420]  就係
[00:02:24.420 --> 00:02:26.460]  以愛同行啦
[00:02:26.460 --> 00:02:29.020]  可能唔會睇唔到信望
[00:02:29.020 --> 00:02:31.320]  同行要做啲咩呢都有講
[00:02:31.320 --> 00:02:32.600]  我哋呢需要
