
[00:00:00.000 --> 00:00:02.920]  慈愛信仰恩主我們來到您的庚前
[00:00:02.920 --> 00:00:05.220]  在我們思想這個福音
[00:00:05.220 --> 00:00:07.680]  這個偉大榮耀的福音
[00:00:07.680 --> 00:00:10.880]  思想到您怎樣慈祢的愛子
[00:00:10.880 --> 00:00:12.960]  慰助我們每一個人的緣故
[00:00:12.960 --> 00:00:15.200]  在十字架上為我們流血
[00:00:15.200 --> 00:00:16.680]  為我們捨身
[00:00:16.680 --> 00:00:20.600]  使我們的生命得著白白的赦罪
[00:00:20.600 --> 00:00:22.240]  主也求您今天
[00:00:22.240 --> 00:00:26.800]  由孩子能夠清晰地將這段經文講解
[00:00:26.800 --> 00:00:29.240]  也將您的福音變成榮耀
[00:00:29.240 --> 00:00:30.960]  來彰顯出來
[00:00:30.960 --> 00:00:33.640]  求您福興興起您的教會
[00:00:33.640 --> 00:00:37.200]  讓您的教會成為您所領養的兒女
[00:00:37.200 --> 00:00:39.680]  在地上彰顯您的榮耀
[00:00:39.680 --> 00:00:40.800]  我們禱告教徒
[00:00:40.800 --> 00:00:42.760]  同教教主耶穌明智其能
[00:00:42.760 --> 00:00:46.720]  今天講道的經文跟上次一樣
[00:00:46.720 --> 00:00:48.720]  不過講題加了一劃
[00:00:48.720 --> 00:00:51.360]  叫做《榮耀頌.二》
[00:00:51.360 --> 00:00:56.160]  我們在進行一個三篇講道的系列
[00:00:56.160 --> 00:00:57.200]  《榮耀頌.一》
[00:00:57.200 --> 00:00:57.760]  《榮耀頌.二》
[00:00:57.760 --> 00:00:58.280]  《榮耀頌.三》
[00:00:58.280 --> 00:01:01.080]  我們三段的講道系列
[00:01:01.080 --> 00:01:03.800]  經文一樣都是三至十四節
[00:01:03.800 --> 00:01:07.560]  上次我們看了其中頭一段
[00:01:07.560 --> 00:01:11.080]  三至十四節是一個連貫的讚美
[00:01:11.080 --> 00:01:11.960]  在原文裏面
[00:01:11.960 --> 00:01:14.840]  這是一個完整希臘文的句子
[00:01:14.840 --> 00:01:17.200]  中間是沒有停頓的
[00:01:17.200 --> 00:01:22.320]  這一整節的句子裏面的內容極為的豐富
[00:01:22.320 --> 00:01:27.400]  當我們看這三至十四節的經文的時候
[00:01:27.400 --> 00:01:31.280]  我們會發現其實保羅裏面做了一個分段
[00:01:31.280 --> 00:01:34.200]  這個分段是以一句句子來分段
[00:01:34.200 --> 00:01:38.040]  就是以上帝的榮耀來作結束
[00:01:38.040 --> 00:01:40.920]  保羅用了很清晰的分段去說明
[00:01:40.920 --> 00:01:43.840]  他所頌讚的事情和對象
[00:01:43.840 --> 00:01:44.720]  這三節的講道
[00:01:44.720 --> 00:01:48.360]  我們會逐一去高呼這三個的分段
[00:01:48.360 --> 00:01:49.160]  如果你有印象
[00:01:49.160 --> 00:01:52.280]  我們上節高呼的是三至六節
[00:01:52.280 --> 00:01:56.320]  今天我們會集中看中間的六至十二節
[00:01:56.320 --> 00:01:59.520]  但首先我想帶你回到這個經文的本質
[00:01:59.520 --> 00:02:02.880]  讓我們在這個講道裏面不會走錯方向
[00:02:02.880 --> 00:02:06.560]  這個經文的本質是「頌讚」
[00:02:06.560 --> 00:02:07.760]  第三節的起頭這樣說
[00:02:07.760 --> 00:02:09.360]  「願頌讚貴及」
[00:02:09.360 --> 00:02:14.320]  其實這是一句猶太人必然會說的說話
[00:02:14.320 --> 00:02:16.680]  因為猶太人通常去頌讚的話
[00:02:16.680 --> 00:02:18.560]  又說是應當稱頌的
[00:02:18.560 --> 00:02:20.400]  然後他後面會加一句說話
[00:02:20.400 --> 00:02:22.120]  他又說是應當稱頌的
[00:02:22.120 --> 00:02:23.920]  因為他獨行其事
[00:02:23.920 --> 00:02:28.880]  同樣的保羅是在用希臘文去表達猶太人讚美的格式
[00:02:28.880 --> 00:02:32.200]  他先說「願頌讚貴及父神」
[00:02:32.200 --> 00:02:34.000]  貴及主耶穌基督的父神
[00:02:34.000 --> 00:02:36.080]  然後在三至十四節裏面
[00:02:36.080 --> 00:02:39.000]  他列了一個很長的原因
[00:02:39.000 --> 00:02:40.400]  一個很完整的原因
[00:02:40.400 --> 00:02:42.760]  為甚麼這位上帝
[00:02:42.760 --> 00:02:45.800]  這位主耶穌基督的父神是應當稱頌
[00:02:45.800 --> 00:02:50.120]  這三至十四節是保羅頌讚的原因
[00:02:50.120 --> 00:02:52.200]  有一個神學家叫J.I.Packer
[00:02:52.200 --> 00:02:54.360]  J.I.Packer是一個哲學界的大師
[00:02:54.360 --> 00:02:57.720]  我們有看他的簡明神學
[00:02:57.720 --> 00:02:59.240]  Concise Theology
[00:02:59.240 --> 00:03:01.640]  這位神學大師他在神學院任教的時候
[00:03:01.640 --> 00:03:02.880]  他每一堂開課
[00:03:02.880 --> 00:03:06.600]  他一定會帶領每一個學生一同唱一首詩歌
[00:03:06.600 --> 00:03:07.720]  叫「榮耀頌」
[00:03:07.720 --> 00:03:09.280]  或者「三一頌」
[00:03:09.280 --> 00:03:10.760]  為甚麼他會用這樣的讚美
[00:03:10.760 --> 00:03:13.840]  不是因為這是一個老人家的習慣
[00:03:13.840 --> 00:03:17.040]  而是因為每一次他思想上帝的話語
[00:03:17.040 --> 00:03:19.560]  思想上帝的神學裏面的奧秘的時候
[00:03:19.560 --> 00:03:23.360]  他忍不住不由自主地讚美
[00:03:23.360 --> 00:03:26.440]  頌讚是唯一一個方式
[00:03:26.440 --> 00:03:27.960]  可以讓上帝得到榮耀
[00:03:27.960 --> 00:03:32.320]  可以讓我們的神學知識
