
[00:00:00.000 --> 00:00:01.280]  各位聽衆晚安
[00:00:01.280 --> 00:00:08.160]  很快就已經去到中國人的一年的最尾了
[00:00:08.160 --> 00:00:09.720]  下個星期
[00:00:09.720 --> 00:00:11.720]  新年幾號大家知道嗎?
[00:00:11.720 --> 00:00:15.520]  31號,很醒目,星期幾來的啊?
[00:00:15.520 --> 00:00:17.000]  星期五
[00:00:17.000 --> 00:00:21.160]  即是今天應該是今年度的舊曆來計
[00:00:21.160 --> 00:00:23.640]  就是最後一次的週末敬拜
[00:00:23.640 --> 00:00:26.680]  很快新年還有不夠一個星期
[00:00:26.680 --> 00:00:27.920]  大家預備好了嗎?
[00:00:29.200 --> 00:00:32.120]  可能你第一個反應是預備好了些什麼呢?
[00:00:32.120 --> 00:00:33.800]  有什麼要預備的呢?
[00:00:33.800 --> 00:00:35.800]  新年有很多東西要預備的嗎?
[00:00:35.800 --> 00:00:37.800]  誰覺得新年有很多東西要預備的?
[00:00:37.800 --> 00:00:40.400]  我見到那些媽媽
[00:00:40.400 --> 00:00:42.600]  那些結了婚的電影節目就會知道
[00:00:42.600 --> 00:00:44.600]  新年很多東西要預備的,我們要預備些什麼呢?
[00:00:44.600 --> 00:00:46.600]  可能要封利是
[00:00:46.600 --> 00:00:48.400]  要辦年貨
[00:00:48.400 --> 00:00:49.800]  要貼輝春
[00:00:49.800 --> 00:00:52.000]  要大措除,是吧?
[00:00:52.000 --> 00:00:54.000]  年廿八嘛,接下來就要
[00:00:54.000 --> 00:00:55.200]  這些可能是這個星期裏面
[00:00:55.200 --> 00:00:57.200]  你很忙碌要預備的事情
[00:00:57.200 --> 00:00:59.000]  可能年輕的電影節目
[00:00:59.000 --> 00:01:01.000]  你說我都要預備的,預備些什麼呢?
[00:01:01.000 --> 00:01:02.400]  預備約下人去玩啦
[00:01:02.400 --> 00:01:03.800]  預備約下人去喫啦
[00:01:03.800 --> 00:01:05.000]  預備哪一餐喫得沒那麼飽
[00:01:05.000 --> 00:01:07.400]  免得擠了,第二餐喫得好點啦
[00:01:07.400 --> 00:01:10.400]  又或者預備收了利是之後怎麼用啦
[00:01:10.400 --> 00:01:13.000]  每年新年我們可能都很忙碌
[00:01:13.000 --> 00:01:14.600]  很多東西要做
[00:01:14.600 --> 00:01:17.200]  忙碌可能是新年的社照
[00:01:17.200 --> 00:01:19.200]  我不知道接下來這幾天有多忙
