
[00:00:00.000 --> 00:00:02.180]  啟示錄第二章
[00:00:02.180 --> 00:00:06.520]  第七節,我們只讀第一句
[00:00:06.520 --> 00:00:19.820]  我們一起來
[00:00:19.820 --> 00:00:23.940]  聖靈向宗教會所說的話
[00:00:23.940 --> 00:00:27.720]  凡有耳聽的,就應當聽
[00:00:27.720 --> 00:00:28.720]  好奇
[00:00:29.180 --> 00:00:32.640]  聖靈向宗教會所說的話
[00:00:32.640 --> 00:00:34.520]  凡有耳聽的
[00:00:34.520 --> 00:00:36.300]  就應當聽
[00:00:36.300 --> 00:00:40.980]  這句話在
[00:00:40.980 --> 00:00:43.280]  啟示錄第二章第三章
[00:00:43.280 --> 00:00:49.820]  在給七間教會的信當中的結束
[00:00:49.820 --> 00:00:51.400]  都說了這句話
[00:00:51.400 --> 00:00:54.680]  也就是說
[00:00:55.240 --> 00:00:58.260]  神要向祂自己的教會
[00:00:58.260 --> 00:01:00.120]  去說一些道理
[00:01:00.120 --> 00:01:03.660]  而這些道理
[00:01:03.660 --> 00:01:06.680]  是主耶穌基督
[00:01:06.680 --> 00:01:09.560]  是已經得聖、升天的主耶穌基督
[00:01:09.560 --> 00:01:12.900]  親自和祂自己的教會所說的話
[00:01:12.900 --> 00:01:19.740]  我就用這半年的時間
[00:01:19.740 --> 00:01:23.220]  和大家去思想這七封書信
[00:01:24.520 --> 00:01:26.820]  也都可以說有些教經家都說
[00:01:26.820 --> 00:01:28.560]  這七封書信
[00:01:28.560 --> 00:01:31.540]  就是耶穌基督的教會觀
[00:01:31.540 --> 00:01:35.840]  祂希望祂自己的教會
[00:01:35.840 --> 00:01:39.120]  是成為一間怎樣的教會
[00:01:39.120 --> 00:01:41.960]  祂就在這七封書信裏面
[00:01:41.960 --> 00:01:43.620]  表明出來
[00:01:43.620 --> 00:01:48.400]  為何我說這是耶穌基督祂自己親自
[00:01:48.400 --> 00:01:50.420]  的啟示呢
[00:01:50.420 --> 00:01:54.320]  請各位翻開啟示錄第一章第一節
[00:01:55.520 --> 00:01:59.600]  當使徒約翰他寫啟示錄的時候
[00:01:59.600 --> 00:02:01.660]  他是這樣去領受的
[00:02:01.660 --> 00:02:04.260]  啟示錄第一章第一節
[00:02:04.260 --> 00:02:07.380]  或者你看到你就聽我去讀出來
[00:02:07.380 --> 00:02:09.900]  耶穌基督的啟示
[00:02:09.900 --> 00:02:11.860]  就是神賜給他
[00:02:11.860 --> 00:02:14.300]  叫他將快要
[00:02:14.300 --> 00:02:15.900]  要快成的事
[00:02:15.900 --> 00:02:17.760]  指示他的眾僕人
[00:02:17.760 --> 00:02:19.800]  他就差遣使者
[00:02:19.800 --> 00:02:21.120]  曉遇他的僕人
[00:02:21.120 --> 00:02:22.280]  就是約翰
[00:02:22.280 --> 00:02:24.640]  約翰便將神的道
[00:02:24.640 --> 00:02:27.400]  和耶穌基督的見證
[00:02:27.400 --> 00:02:31.240]  凡自己所看見的都證明出來
[00:02:31.240 --> 00:02:33.680]  念者書上預言的
[00:02:33.680 --> 00:02:35.600]  和那些聽見
[00:02:35.600 --> 00:02:38.560]  又遵守其中所記載的
[00:02:38.560 --> 00:02:40.360]  都是有福的
[00:02:40.360 --> 00:02:42.360]  因為日期近了
[00:02:42.360 --> 00:02:47.940]  約翰他要將耶穌基督的見證寫出來
[00:02:47.940 --> 00:02:50.360]  而約翰就寫了
[00:02:50.360 --> 00:02:53.720]  並不是他自己想要講的東西
[00:02:53.720 --> 00:02:57.640]  而是他從神所領受到的啟示
[00:02:57.640 --> 00:02:59.080]  來講出來
[00:02:59.080 --> 00:03:03.880]  他要向七間教會
[00:03:03.880 --> 00:03:07.360]  宣講他對教會的心意
[00:03:07.360 --> 00:03:08.480]  所以
