
[00:00:00.000 --> 00:00:04.360]  我們一直透過彼得前書的信息
[00:00:04.360 --> 00:00:07.440]  來彼此鼓勵提醒
[00:00:07.440 --> 00:00:11.000]  特別在這個充滿着憂患的時代
[00:00:11.000 --> 00:00:14.640]  我們能夠有基督賜給我們的盼望
[00:00:14.640 --> 00:00:16.400]  今年我們的主題是
[00:00:16.400 --> 00:00:18.880]  等候所盼望的福
[00:00:18.880 --> 00:00:20.920]  我們感謝神
[00:00:20.920 --> 00:00:23.080]  在神的應許給我們
[00:00:23.080 --> 00:00:25.880]  能夠有一個榮耀的永恆的盼望
[00:00:25.880 --> 00:00:28.400]  這個正是我們在等候的期間
[00:00:28.400 --> 00:00:32.000]  我們充滿着期望
[00:00:32.000 --> 00:00:37.800]  同時我們也負起在地上應該有的責任
[00:00:37.800 --> 00:00:41.320]  在上幾次的信息裏跟大家思想過
[00:00:41.320 --> 00:00:44.560]  我們基督徒在等候
[00:00:44.560 --> 00:00:46.880]  將來永恆、長相之前
[00:00:46.880 --> 00:00:50.440]  我們在地上有的見證的生活
[00:00:50.440 --> 00:00:58.960]  這個見證的生活包括了我們的信服的生命
[00:00:58.960 --> 00:01:05.160]  在第二章的十一至十七節
[00:01:05.160 --> 00:01:06.160]  我們曾經看過
[00:01:06.160 --> 00:01:14.480]  這裏特別講到我們如何去信服我們國家政治的領袖
[00:01:14.480 --> 00:01:21.800]  尊敬君王來信服人一切的制度
[00:01:21.800 --> 00:01:25.520]  我們會發現在今天
[00:01:25.520 --> 00:01:28.880]  正是我們7月4日的國慶的時候
[00:01:28.880 --> 00:01:31.280]  我們也是爲我們的教會
[00:01:31.280 --> 00:01:33.200]  爲我們的國家
[00:01:33.200 --> 00:01:35.640]  爲所有的人民祈禱
[00:01:35.640 --> 00:01:38.440]  我們也見到神的祝福
[00:01:38.440 --> 00:01:40.560]  臨到我們的國家
[00:01:40.560 --> 00:01:43.840]  我們更加有一個使命
[00:01:43.840 --> 00:01:45.680]  就是我們在地上的時候
