
[00:00:00.000 --> 00:00:07.400]  和大家繼續看《舌頭行傳》第19章最後一個部分
[00:00:07.400 --> 00:00:14.200]  這個題目是「屬靈的大德性」
[00:00:14.200 --> 00:00:16.400]  稍後你就會明白為什麼用這個題目
[00:00:16.400 --> 00:00:18.900]  因為聖經本身就說到
[00:00:18.900 --> 00:00:24.600]  「以忽所」保羅第三次宣教行程裡面
[00:00:24.600 --> 00:00:27.600]  實在有一個很奇妙的大德性
[00:00:28.800 --> 00:00:34.000]  我們如果記得保羅的宣教行程有三次
[00:00:34.000 --> 00:00:38.200]  他自由由安特洛教會差遣出去
[00:00:38.200 --> 00:00:41.400]  然後還有他不自由
[00:00:41.400 --> 00:00:47.800]  被奴隸的監犯形式帶到羅馬
[00:00:47.800 --> 00:00:51.400]  所以這三次保羅的宣教行程裡面
[00:00:51.400 --> 00:00:55.200]  我們已經看過第一第二次
[00:00:55.200 --> 00:00:57.400]  上一次我們看到第三次
[00:00:57.400 --> 00:01:03.400]  其實他是由第十八章二十三至二十一章的十六節
[00:01:03.400 --> 00:01:08.400]  大概是主後當時是五十至五十二年左右
[00:01:08.400 --> 00:01:11.400]  如果大家還記得
[00:01:11.400 --> 00:01:14.400]  不過我都想著大家未必記得了
[00:01:14.400 --> 00:01:16.400]  上一次我們說到
[00:01:16.400 --> 00:01:18.400]  如果大家有一點印象
[00:01:18.400 --> 00:01:21.400]  說到有一個人叫做亞波羅
[00:01:21.400 --> 00:01:22.400]  記得嗎
[00:01:22.400 --> 00:01:28.400]  亞波羅就是在十八章當時說到的一種情況
[00:01:28.400 --> 00:01:31.400]  就是保羅剛剛開始第三次宣教行程
[00:01:31.400 --> 00:01:33.400]  這邊就發生了一個人
[00:01:33.400 --> 00:01:36.400]  他也是在「以忽所」的地方
[00:01:36.400 --> 00:01:39.400]  後來他就去了哥倫多
[00:01:39.400 --> 00:01:42.400]  保羅剛剛去到「以忽所」的時候
[00:01:42.400 --> 00:01:44.400]  亞波羅就離開了
[00:01:44.400 --> 00:01:47.400]  但是他就開始了「以忽所」的一些事工
[00:01:47.400 --> 00:01:51.400]  包括了看到一些施洗約翰的門徒
[00:01:51.400 --> 00:01:55.400]  那就是這一章十九章的第一至第七節
[00:01:55.400 --> 00:01:57.400]  上一次我們說過的
[00:01:57.400 --> 00:02:00.400]  今天我們看這個第八節開始
[00:02:00.400 --> 00:02:06.400]  就是說到保羅之後在「以忽所」的一個很長的事工
[00:02:06.400 --> 00:02:08.400]  有多長呢
[00:02:08.400 --> 00:02:10.400]  根據聖經的記載
[00:02:10.400 --> 00:02:12.400]  有兩年半
[00:02:12.400 --> 00:02:14.400]  如果加上頭頭尾尾
[00:02:14.400 --> 00:02:16.400]  後來保羅復述的時候
[00:02:16.400 --> 00:02:18.400]  他說有三年之久
[00:02:18.400 --> 00:02:20.400]  總共有三年那麼長
[00:02:20.400 --> 00:02:22.400]  為什麼會有三年那麼長呢
[00:02:22.400 --> 00:02:26.400]  因為我們發覺當保羅第三次宣教行程裡面
[00:02:26.400 --> 00:02:29.400]  他首先 如果大家記得的
[00:02:29.400 --> 00:02:32.400]  他就是在安提額出發
[00:02:32.400 --> 00:02:38.400]  他就去訪問一些第一次宣教行程建立的教會
[00:02:38.400 --> 00:02:40.400]  包括了以哥廉 路斯德這些地方
