
[00:00:00.000 --> 00:00:02.400]  今年所有第三個禮拜
[00:00:02.400 --> 00:00:04.600]  是要講摩西五經
[00:00:04.600 --> 00:00:08.440]  過去已經講過七講的出埃及記
[00:00:08.440 --> 00:00:10.240]  我很快地講一遍
[00:00:10.240 --> 00:00:12.480]  第一次我講是說
[00:00:12.480 --> 00:00:16.320]  當初以色列帶著全家七十個人
[00:00:16.320 --> 00:00:20.960]  來投奔在埃及做宰相的約瑟
[00:00:20.960 --> 00:00:23.000]  過了數百年
[00:00:23.000 --> 00:00:25.480]  以色列人越來越多
[00:00:25.480 --> 00:00:27.160]  數百萬之眾
[00:00:27.160 --> 00:00:31.560]  埃及法老王也換了好十幾個
[00:00:31.560 --> 00:00:33.120]  都不認識神了
[00:00:33.120 --> 00:00:36.600]  所以他們就苦待以色列人
[00:00:36.600 --> 00:00:39.840]  所以以色列人就呼天嗆地
[00:00:39.840 --> 00:00:41.800]  中間有兩個人
[00:00:41.800 --> 00:00:44.880]  是收身婆或者是產婆
[00:00:44.880 --> 00:00:47.960]  或者是產科醫生
[00:00:47.960 --> 00:00:51.440]  他們奉法老王的命令要殺死
[00:00:51.440 --> 00:00:54.840]  所有新生的以色列的男嬰
[00:00:54.840 --> 00:00:58.400]  但是他們兩個就死都不願意去
[00:00:58.400 --> 00:01:00.520]  去殺 做這樣的事情
[00:01:00.520 --> 00:01:02.480]  這兩個人一個叫斯普拉
[00:01:02.480 --> 00:01:04.440]  一個叫佛阿
[00:01:04.440 --> 00:01:06.760]  他們兩個人不但沒有受到
[00:01:06.760 --> 00:01:08.680]  法老王的苦待懲罰
[00:01:08.680 --> 00:01:13.120]  他們兩個人反而得到祝福 蒙福
[00:01:13.120 --> 00:01:16.840]  我稱他們做敬畏神的收身婆
[00:01:16.840 --> 00:01:18.200]  感謝贊美神
[00:01:18.200 --> 00:01:20.120]  第二次我講是說
[00:01:20.120 --> 00:01:22.240]  所有這些出埃及的人
[00:01:22.240 --> 00:01:25.200]  都是蒙神紀念的人
[00:01:25.200 --> 00:01:27.440]  他們受苦難被欺壓
