
[00:00:00.000 --> 00:00:03.080]  我們剛纔讀那段聖經應該是很熟悉的聖經
[00:00:03.080 --> 00:00:06.960]  也是今天去講這段聖經是很應景的
[00:00:06.960 --> 00:00:11.760]  因爲這段聖經其實是什麼時候發生的?
[00:00:11.760 --> 00:00:13.680]  耶穌復活的那一天
[00:00:13.680 --> 00:00:16.320]  我們剛剛過了一個星期是什麼?
[00:00:16.320 --> 00:00:17.200]  復活節
[00:00:17.200 --> 00:00:20.560]  所以這個故事其實是復活節所發生的
[00:00:20.560 --> 00:00:25.400]  講到這兩個人回到二萬五時
[00:00:25.400 --> 00:00:27.000]  我不知道爲什麼他們要這麼做
[00:00:27.000 --> 00:00:29.440]  我們叫做兩個迷途的核子
[00:00:29.440 --> 00:00:31.040]  這個通常是這樣解釋的
[00:00:31.040 --> 00:00:32.520]  我正面一點
[00:00:32.520 --> 00:00:36.320]  我的題目就叫做黑眼心死
[00:00:36.320 --> 00:00:39.360]  這個代表了他們當時的屬靈狀態
[00:00:39.360 --> 00:00:40.520]  黑眼心性
[00:00:40.520 --> 00:00:43.880]  但是我有一個最後耶穌醫治他們的東西
[00:00:43.880 --> 00:00:46.000]  叫做復活神功
[00:00:46.000 --> 00:00:49.560]  耶穌是用復活神功來醫治他們的
[00:00:49.560 --> 00:00:52.680]  我想用一個不是很傳統的方法
[00:00:52.680 --> 00:00:56.080]  去帶你去看這段聖經
[00:00:56.080 --> 00:01:00.640]  我想介紹用一個古厄摩的方式
[00:01:00.640 --> 00:01:02.920]  去帶你去看這段聖經
[00:01:02.920 --> 00:01:06.440]  我想未必每個人都知道古厄摩是什麼
[00:01:06.440 --> 00:01:08.600]  總之你上網的時候
[00:01:08.600 --> 00:01:10.280]  古厄摩最喜歡做的就是
[00:01:10.280 --> 00:01:14.200]  將一個九十分鐘的電影變成三分鐘
[00:01:14.200 --> 00:01:16.520]  讓你很快濃縮地去看
[00:01:16.520 --> 00:01:18.960]  我給個示範你
[00:01:18.960 --> 00:01:21.280]  老少咸宜的
[00:01:21.280 --> 00:01:22.840]  不會有成人的東西
[00:01:22.840 --> 00:01:24.640]  就是Big Hero 6
[00:01:24.640 --> 00:01:29.320]  我給你看兩分鐘左右
[00:01:54.640 --> 00:01:56.640]  這一切都是爲了學業
[00:01:56.640 --> 00:01:58.640]  天才也是需要一些正當的職業的
[00:01:58.640 --> 00:02:00.640]  然後入學生應該會想喫火
[00:02:00.640 --> 00:02:02.640]  天才主教大哥就他媽被炸死
[00:02:02.640 --> 00:02:04.640]  我是說他哥被炸死不是他媽被炸死
[00:02:04.640 --> 00:02:06.640]  天才主教雖然被學校錄取
[00:02:06.640 --> 00:02:08.640]  但很難過都不太想上學
[00:02:08.640 --> 00:02:10.640]  順便跟被炸死的主教大哥
[00:02:10.640 --> 00:02:12.640]  留下來的一排長輩
[00:02:12.640 --> 00:02:14.640]  一點都不像是機器人輪胎的
[00:02:14.640 --> 00:02:16.640]  正要是機器人交的朋友
[00:02:16.640 --> 00:02:18.640]  懷念一下老哥
[00:02:18.640 --> 00:02:20.640]  接着天才主教生常會以留下的特殊詞
[00:02:20.640 --> 00:02:24.640]  帶天才主教去任何場景找詞帖好棒
[00:02:24.640 --> 00:02:26.640]  拿顯得人多被大量生產的詞帖
[00:02:26.640 --> 00:02:28.640]  使之大怒昂出現
[00:02:28.640 --> 00:02:30.640]  把天才主教趕走
[00:02:30.640 --> 00:02:32.640]  天才主教跑去報警當然沒用
