
[00:00:00.000 --> 00:00:03.760]  上一次跟大家已經開始了講這個題目「彼此」
[00:00:03.760 --> 00:00:08.900]  而講了剛才讀經的這幾節的經文
[00:00:08.900 --> 00:00:13.500]  又開始講了 如果我們彼此相愛有甚麼表現的
[00:00:13.500 --> 00:00:18.060]  但是呢 彼此相愛的表現呢 原來有很多的
[00:00:18.060 --> 00:00:22.340]  所以今天繼續要跟大家講「彼此相愛的表現」
[00:00:22.340 --> 00:00:26.840]  但是我想跟大家重溫剛才那幾節經文
[00:00:27.800 --> 00:00:30.420]  為甚麼要重溫剛才那幾節經文呢
[00:00:30.420 --> 00:00:33.220]  因為這幾節經文我選擇的時候呢
[00:00:33.220 --> 00:00:36.020]  是根據「彼此」這兩個字
[00:00:36.020 --> 00:00:40.400]  我叫我們的國安士哥哥
[00:00:40.400 --> 00:00:43.380]  因為他用電腦 我不用電腦
[00:00:43.380 --> 00:00:45.360]  教會連電腦都沒有給我
[00:00:45.360 --> 00:00:48.660]  因為我由第一天就說 我不用電腦 你不要給我
[00:00:48.660 --> 00:00:50.580]  所以我沒有電腦
[00:00:50.580 --> 00:00:54.200]  那麼電腦哥哥呢 就跟我用聖經裏面
[00:00:54.200 --> 00:00:56.920]  關於到「彼此」 只是用新約而已
[00:00:57.120 --> 00:00:59.700]  「彼此」這兩個字就印了出來
[00:00:59.700 --> 00:01:03.860]  我逐節去看 然後就嘗試去分類
[00:01:03.860 --> 00:01:06.700]  就在逐節去看這個聖經的時候
[00:01:06.700 --> 00:01:08.140]  被我發現了一個
[00:01:08.140 --> 00:01:10.500]  是我不是很留意到的
[00:01:10.500 --> 00:01:15.500]  就是原來聖經裏面是有很多最重要
[00:01:15.500 --> 00:01:18.900]  我用最重要最重要的人物
[00:01:18.900 --> 00:01:21.060]  有甚麼有些人不重要的嗎
[00:01:21.060 --> 00:01:23.560]  其實每一個人都重要
[00:01:23.560 --> 00:01:26.580]  連出賣耶穌的那個猶大人都很重要
[00:01:26.580 --> 00:01:29.340]  沒有了猶大就不知道要找哪一個
[00:01:29.340 --> 00:01:33.100]  才能夠去成就這個救恩
[00:01:33.100 --> 00:01:34.900]  有些人是很讚賞猶大的
[00:01:34.900 --> 00:01:36.220]  你明不明白我的意思
[00:01:36.220 --> 00:01:37.660]  好了 回來這裏
[00:01:37.660 --> 00:01:39.180]  第一個我看到的就是
[00:01:39.180 --> 00:01:41.820]  在《讓風》第十三章三十四節
[00:01:41.820 --> 00:01:43.860]  「我賜給你們一條新命令
[00:01:43.860 --> 00:01:45.700]  乃至叫你們彼此相愛
[00:01:45.700 --> 00:01:47.020]  我怎樣愛你們
[00:01:47.020 --> 00:01:49.020]  你們也要怎樣彼此相愛」
[00:01:49.020 --> 00:01:50.780]  因為曾經說過了
[00:01:50.780 --> 00:01:54.060]  我不想受一個引誘重蹈覆轍
[00:01:54.060 --> 00:01:56.660]  不是 由頭再說 我不想
[00:01:56.660 --> 00:01:59.380]  雖然我知道再說你們都會聽
[00:01:59.380 --> 00:02:01.140]  因為你們不會馬上走的
[00:02:01.140 --> 00:02:03.180]  但是我真的不想
[00:02:03.180 --> 00:02:05.940]  你拿回上一次的錄音來聽
[00:02:05.940 --> 00:02:06.980]  這個是誰說的呢
[00:02:06.980 --> 00:02:08.180]  是主耶穌基督說的
[00:02:08.180 --> 00:02:10.100]  你說是不是很重要呢
[00:02:10.100 --> 00:02:11.300]  是不是很重要呢
[00:02:11.300 --> 00:02:13.100]  還要說「我怎樣愛你們
[00:02:13.100 --> 00:02:14.460]  你們又怎樣愛他們」
[00:02:14.460 --> 00:02:15.300]  耶穌怎樣愛
[00:02:15.300 --> 00:02:17.100]  愛到我他釘在十字架上
[00:02:17.100 --> 00:02:20.940]  所以這個是最高最高最高的
[00:02:20.940 --> 00:02:22.460]  最偉大的
[00:02:22.460 --> 00:02:25.140]  是寫 不是寫幾這麼簡單
[00:02:25.140 --> 00:02:27.300]  寫新
[00:02:27.300 --> 00:02:29.140]  這個是我們的主
[00:02:29.140 --> 00:02:30.380]  接著保羅
[00:02:30.380 --> 00:02:32.420]  保羅當然不是小事
[00:02:32.420 --> 00:02:33.860]  新約二十七卷書
[00:02:33.860 --> 00:02:36.380]  有十三卷是保羅寫的
[00:02:36.380 --> 00:02:38.860]  神用他寫這麼多卷書
[00:02:38.860 --> 00:02:40.940]  當然不是小事
[00:02:40.940 --> 00:02:42.860]  我不是讚賞保羅
[00:02:42.860 --> 00:02:44.300]  我是告訴大家
[00:02:44.300 --> 00:02:45.340]  神選擇他
[00:02:45.340 --> 00:02:46.860]  要他這樣做這件事
[00:02:46.860 --> 00:02:49.700]  神一定有他的原因的
[00:02:49.700 --> 00:02:50.460]  保羅怎樣說
[00:02:50.460 --> 00:02:53.380]  弟兄們要相親相愛
[00:02:53.380 --> 00:02:55.740]  恭敬人要彼此推讓
[00:02:55.740 --> 00:02:57.260]  保羅都提醒
[00:02:57.260 --> 00:02:59.660]  是要相親相愛
[00:02:59.660 --> 00:03:01.860]  彼得 彼得當然也是厲害
[00:03:01.860 --> 00:03:03.860]  雖然他曾經不認主三次
[00:03:03.860 --> 00:03:06.220]  但是他悔改
[00:03:06.220 --> 00:03:07.460]  浪子回頭
[00:03:07.460 --> 00:03:09.860]  接著那三個字是什麼
[00:03:09.860 --> 00:03:11.380]  金不換
[00:03:11.380 --> 00:03:12.660]  現在不是這樣說
[00:03:12.660 --> 00:03:13.900]  浪子回頭
[00:03:13.900 --> 00:03:14.980]  鑽不換
[00:03:14.980 --> 00:03:16.100]  以前是質金
[00:03:16.100 --> 00:03:17.820]  現在說鑽石
[00:03:17.820 --> 00:03:18.780]  好了
[00:03:18.780 --> 00:03:20.100]  怎樣說呢 彼得說
[00:03:20.100 --> 00:03:23.900]  既然你們因順從真理而潔淨自己的心靈
[00:03:23.900 --> 00:03:26.900]  能真誠愛弟兄
[00:03:26.900 --> 00:03:28.020]  不是表現功夫
[00:03:28.020 --> 00:03:29.580]  是真誠的愛弟兄
[00:03:29.580 --> 00:03:33.700]  就該以清潔的心彼此切實相愛
[00:03:33.700 --> 00:03:37.100]  這是彼得跟我們分享
[00:03:37.100 --> 00:03:38.580]  約翰一書
[00:03:38.580 --> 00:03:40.100]  約翰一書是誰寫的
[00:03:40.100 --> 00:03:42.020]  耶穌所愛的門徒
[00:03:42.020 --> 00:03:43.700]  約翰所寫的
[00:03:43.700 --> 00:03:45.100]  我們要彼此相愛
[00:03:45.100 --> 00:03:48.580]  這就是你們從起初所聽到的訊息
[00:03:48.580 --> 00:03:51.700]  使徒約翰的名字是什麼
[00:03:51.700 --> 00:03:53.860]  是愛的門徒
[00:03:53.860 --> 00:03:55.300]  所以他說很多話
[00:03:55.300 --> 00:03:57.540]  都跟愛有好關係
[00:03:57.540 --> 00:03:58.580]  神愛世人
[00:03:58.580 --> 00:04:04.140]  這節聖經就是使徒約翰所說的
[00:04:04.140 --> 00:04:05.180]  希伯來書
[00:04:05.180 --> 00:04:06.140]  不知道是誰寫的
[00:04:06.140 --> 00:04:07.700]  有人歸於保羅
