
[00:00:00.000 --> 00:00:03.000]  在我們生命當中有一個很奇妙的事情發生
[00:00:03.000 --> 00:00:06.000]  原來人的愛是有限的
[00:00:06.000 --> 00:00:10.000]  但是呢 耶穌的愛可以無限
[00:00:10.000 --> 00:00:14.000]  那為什麼叫做人的愛有限 耶穌愛可以無限呢
[00:00:14.000 --> 00:00:17.000]  因為呢 當我們說我們愛人的時候
[00:00:17.000 --> 00:00:21.000]  其實我們要承認我們真的是有限的
[00:00:21.000 --> 00:00:24.000]  我們愛到哪個地步呢 其實我們有一個界線了
[00:00:24.000 --> 00:00:27.000]  跨不出去的 跨不出去的
[00:00:27.000 --> 00:00:31.000]  但是呢 當我們去到那裡不斷地
[00:00:31.000 --> 00:00:34.000]  大概我們 我估算了一下
[00:00:34.000 --> 00:00:40.000]  大概這五年來 應該有五千到六千以上人次
[00:00:40.000 --> 00:00:43.000]  在這五年當中不斷地進到當中去
[00:00:43.000 --> 00:00:44.000]  不過進到當中去呢
[00:00:44.000 --> 00:00:46.000]  所以其實我去的時候
[00:00:46.000 --> 00:00:49.000]  這次我去一個雜貨店買東西的時候
[00:00:49.000 --> 00:00:56.000]  那就有幾個大概是中學生的同學就看著我
[00:00:56.000 --> 00:00:59.000]  看著我呢 其實我也不認識他們
[00:00:59.000 --> 00:01:01.000]  看著我 就在那邊嘰嘰咕咕
[00:01:01.000 --> 00:01:04.000]  他們說什麼呢 應該是他們吧
[00:01:04.000 --> 00:01:06.000]  應該是他們吧
[00:01:06.000 --> 00:01:10.000]  那另外一個說 是嗎 可是沒有聽過風聲
[00:01:10.000 --> 00:01:12.000]  可是應該是他們吧 你看他們穿紅衣服
[00:01:12.000 --> 00:01:15.000]  因為我們的四北就是我們有一件紅色的衣服
[00:01:15.000 --> 00:01:17.000]  那是我們的制服
[00:01:17.000 --> 00:01:20.000]  那五千多人 六千多人都穿這種衣服
[00:01:20.000 --> 00:01:22.000]  就是每一次 應該是他們吧
[00:01:22.000 --> 00:01:26.000]  然後有一個人很大膽 就走到我前面來 我在結帳
[00:01:26.000 --> 00:01:30.000]  就伸手來看這個mark
[00:01:30.000 --> 00:01:32.000]  看了mark說 對啦 是他們啦
[00:01:32.000 --> 00:01:35.000]  他們三個人就說 你們又來了
[00:01:35.000 --> 00:01:37.000]  對啊 我們又來了 其實不認識
[00:01:37.000 --> 00:01:40.000]  那其實那是什麼 那是一個愛的延續
[00:01:40.000 --> 00:01:44.000]  因為我看見一個耶穌的生命在我們裡頭彰顯的時候
[00:01:44.000 --> 00:01:48.000]  不斷地有人願意持續來關心 來愛他們
[00:01:48.000 --> 00:01:51.000]  所以我相信我們都是這樣回應的
[00:01:51.000 --> 00:01:54.000]  其實今天我要分享的是 耶穌愛無限
[00:01:54.000 --> 00:02:00.000]  透過這罐經文來思考一下 到底什麼叫做愛耶穌
[00:02:00.000 --> 00:02:05.000]  到底耶穌的愛有多大 可以讓我們可以來回應他
[00:02:05.000 --> 00:02:09.000]  這是一個場景 這場景是一個驗喜的場景
[00:02:09.000 --> 00:02:14.000]  這個場景是一個法利賽人 他邀請耶穌來到他家裡作喜
[00:02:14.000 --> 00:02:17.000]  這場景是在法利賽人的家裡面
[00:02:17.000 --> 00:02:21.000]  然後有一些客人 但是有一個不速之客也來了
[00:02:21.000 --> 00:02:23.000]  但是場景就開始發生了
[00:02:23.000 --> 00:02:26.000]  其實在那時候 在耶穌那時代
[00:02:26.000 --> 00:02:30.000]  以色列人 猶太人 他們其實有一些傳統的
[00:02:30.000 --> 00:02:34.000]  有時候他們接待客人這件事情 是很重要的一件事
[00:02:34.000 --> 00:02:36.000]  因為在摩西舞劇裡面有告訴他們說
[00:02:36.000 --> 00:02:39.000]  你就是要接待什麼 客人
[00:02:39.000 --> 00:02:42.000]  可能有時候會接待什麼 天使
[00:02:42.000 --> 00:02:44.000]  所以其實他們是很好客的
[00:02:44.000 --> 00:02:46.000]  他們接待那個客人是很盡心的
[00:02:46.000 --> 00:02:49.000]  但是日久就會有一些禮節
[00:02:49.000 --> 00:02:54.000]  所以基本上法利賽人請耶穌來家裡作喜
[00:02:54.000 --> 00:02:58.000]  也是當時的一個禮節 因為耶穌到會堂去講道
[00:02:58.000 --> 00:03:00.000]  所以這些法利賽人通常都是比較有錢的
[00:03:00.000 --> 00:03:03.000]  是一個宗教人士 他們對律法熟悉
[00:03:03.000 --> 00:03:06.000]  他們也很願意來遵守律法上的教訓
[00:03:06.000 --> 00:03:11.000]  因為在宗教會是領袖 所以他們通常會請講人
[00:03:11.000 --> 00:03:13.000]  所以耶穌在那裡講道 解開聖經的時候
[00:03:13.000 --> 00:03:17.000]  他們就要說 夫子 你來我們家裡坐一坐
[00:03:17.000 --> 00:03:18.000]  我們接待你
[00:03:18.000 --> 00:03:22.000]  那這是一個慣例 或者是他們願意接待的一個作為
[00:03:22.000 --> 00:03:25.000]  所以其實這是很平常的一件事
[00:03:25.000 --> 00:03:27.000]  所以耶穌也答應了
[00:03:27.000 --> 00:03:30.000]  可是進到這個家裡面就看見一件事
[00:03:30.000 --> 00:03:33.000]  聖經的鋪陳是很特別的
[00:03:33.000 --> 00:03:36.000]  其實我們好好讀聖經
