
[00:00:00.000 --> 00:00:04.040]  各位電視節目,我們繼續研讀《哥倫多前行書》
[00:00:04.040 --> 00:00:05.880]  今天來到第二講
[00:00:05.880 --> 00:00:08.680]  就由《哥倫多前行書》第五章
[00:00:08.680 --> 00:00:10.960]  我們一路看到第十章
[00:00:10.960 --> 00:00:12.860]  在第五章一開頭
[00:00:12.860 --> 00:00:14.260]  保羅就提到
[00:00:14.260 --> 00:00:19.160]  「我封民在你們中間有淫亂的事」
[00:00:19.160 --> 00:00:23.040]  這件事令到保羅非常之掛心
[00:00:23.040 --> 00:00:25.280]  因為他很愛這間教會
[00:00:25.280 --> 00:00:28.720]  竟然聽到一些這樣的風聲
[00:00:28.720 --> 00:00:30.100]  所以他就說
[00:00:30.100 --> 00:00:35.560]  你們必須要不要跟這些人來往
[00:00:35.560 --> 00:00:39.240]  要將犯罪的人趕出去
[00:00:39.240 --> 00:00:45.440]  因為一些的面膠可以令全團發起上來
[00:00:45.440 --> 00:00:49.680]  如果你做麵包放些面膠進去
[00:00:49.680 --> 00:00:52.560]  全團就會發的了
[00:00:52.560 --> 00:00:57.360]  是那個感染力、影響力很厲害
[00:00:57.360 --> 00:01:01.960]  不要跟淫亂的人有交往
[00:01:01.960 --> 00:01:08.200]  這是保羅給這間教會一個很清晰的界線
[00:01:08.200 --> 00:01:11.560]  對罪必須要處理
[00:01:11.560 --> 00:01:13.760]  然後到第六章
[00:01:13.760 --> 00:01:17.280]  就不可以彼此告狀
[00:01:17.280 --> 00:01:23.040]  原來有些人去到官府那裡
[00:01:23.040 --> 00:01:26.120]  來告發一些弟兄姊妹
[00:01:26.120 --> 00:01:30.280]  彼此在一些不信的人面前
[00:01:30.280 --> 00:01:33.920]  彼此來告狀
[00:01:33.920 --> 00:01:39.240]  所以這個也是令保羅很掛心的
[00:01:39.240 --> 00:01:44.040]  你們怎麼可以將自己一些爭吵
[00:01:44.040 --> 00:01:46.800]  自己一些處理不了的事
[00:01:46.800 --> 00:01:49.800]  請愛人來判斷
[00:01:49.800 --> 00:01:53.520]  用愛人的方法來判斷呢?
[00:01:53.520 --> 00:01:57.680]  我們自己不可以勸勉弟兄姊妹嗎?
[00:01:57.680 --> 00:01:59.880]  所以很多時候教會裡面
[00:01:59.880 --> 00:02:03.840]  有時候有些弟兄姊妹起了一些紛爭的時候
[00:02:03.840 --> 00:02:07.120]  千萬不要進入訴訟
[00:02:07.120 --> 00:02:09.360]  我要去告你
[00:02:09.360 --> 00:02:12.080]  我請律師來告你
[00:02:12.080 --> 00:02:16.680]  這些都是令到保羅非常之不滿意
[00:02:16.680 --> 00:02:19.080]  很掛心的事
[00:02:19.080 --> 00:02:23.360]  然後在第七章和第八章
[00:02:23.360 --> 00:02:27.160]  提到在飲食上
[00:02:27.160 --> 00:02:31.920]  在身體上要榮耀神
[00:02:31.920 --> 00:02:37.040]  特別第七章提到婚姻的問題
[00:02:37.040 --> 00:02:41.520]  因為有些人是守獨身的
[00:02:41.520 --> 00:02:43.800]  就是他不結婚的
[00:02:43.800 --> 00:02:46.960]  保羅就稱讚這些人
[00:02:46.960 --> 00:02:49.560]  如果你有這樣的感動
[00:02:49.560 --> 00:02:52.280]  神有這樣的恩賜給你
[00:02:52.280 --> 00:02:55.680]  守獨身是好的
[00:02:55.680 --> 00:03:00.920]  因為婚姻很多時候就帶來很多的負累
[00:03:00.920 --> 00:03:03.320]  帶來很多的重擔
[00:03:03.320 --> 00:03:08.200]  他說如果有些人能夠守同身是好的
[00:03:08.200 --> 00:03:12.240]  他可以更專心的來侍奉神
[00:03:12.240 --> 00:03:15.800]  但是神對每一個人的帶領都不同
[00:03:15.800 --> 00:03:20.920]  如果你覺得你很需要一個伴來陪你的話
[00:03:20.920 --> 00:03:22.400]  那就結婚吧
[00:03:22.400 --> 00:03:25.080]  除非神有一個安排
[00:03:25.080 --> 00:03:27.800]  你有獨身的這樣的恩賜
[00:03:27.800 --> 00:03:31.040]  那你就可以守獨身
[00:03:31.040 --> 00:03:33.440]  還有他說
[00:03:33.440 --> 00:03:36.960]  應該如果你不能夠自制
[00:03:36.960 --> 00:03:39.280]  你就應該嫁娶了
[00:03:39.280 --> 00:03:40.680]  不要忍忍忍
[00:03:40.680 --> 00:03:42.360]  要嫁娶
[00:03:42.360 --> 00:03:51.360]  他說如果你能夠保守貞節是更為有福
[00:03:51.360 --> 00:03:56.560]  我想我自己也是被上帝的靈所感動
[00:03:56.560 --> 00:03:59.720]  所以當保羅說這番話的時候
[00:03:59.720 --> 00:04:02.360]  雖然是他自己的意思
[00:04:02.360 --> 00:04:06.720]  但是他覺得好像聖靈也在感動他一樣
[00:04:06.720 --> 00:04:08.000]  所以我們經常說
[00:04:08.000 --> 00:04:11.640]  是聖靈感動這個作者
[00:04:11.640 --> 00:04:14.120]  去寫書信的
[00:04:14.120 --> 00:04:15.840]  所以他的書信
[00:04:15.840 --> 00:04:19.360]  都是在聖靈的帶領引導下
[00:04:19.360 --> 00:04:23.200]  按神的默示來寫出來
[00:04:23.200 --> 00:04:27.760]  這個就是我們所領受的聖經的華語
[00:04:27.760 --> 00:04:33.440]  到第八章就說到祭偶像的食物
[00:04:33.440 --> 00:04:36.000]  其實八、九、十這三章
[00:04:36.000 --> 00:04:39.480]  都是討論到祭偶像的食物
[00:04:39.480 --> 00:04:41.200]  我們可不可以吃呢?
[00:04:41.200 --> 00:04:43.840]  很多時候我們看到
[00:04:43.840 --> 00:04:47.160]  這些食物是拜過神的
[00:04:47.160 --> 00:04:50.040]  我們基督徒不可以吃
[00:04:50.040 --> 00:04:52.160]  但是很多時候在家裡
[00:04:52.160 --> 00:04:56.440]  如果你的父母、家人全部都是拜神的
[00:04:56.440 --> 00:04:58.520]  他們是拜過那些東西
[00:04:58.520 --> 00:05:01.120]  然後大家一起開餐吃的
[00:05:01.120 --> 00:05:02.720]  那怎麼辦呢?
