
[00:00:00.000 --> 00:00:02.220]  丙姊妹住落去平安
[00:00:02.220 --> 00:00:05.960]  雖然今年的聖誕節剛剛過了
[00:00:05.960 --> 00:00:09.400]  但是仍然在聖誕節期之中
[00:00:09.400 --> 00:00:12.980]  所以還可以在這裡祝大家聖誕快樂
[00:00:12.980 --> 00:00:17.040]  聖誕節當然要講一下聖誕的故事
[00:00:17.040 --> 00:00:22.460]  那如果要用一個形容詞來形容聖誕節的故事的時候的話
[00:00:22.460 --> 00:00:25.840]  大家不知道會選擇一個怎樣的形容詞呢?
[00:00:25.840 --> 00:00:27.920]  在大家心目中
[00:00:27.920 --> 00:00:30.280]  聖誕節的故事的氣氛
[00:00:30.280 --> 00:00:36.120]  我想大概都是平安、喜樂、歡欣、普世歡騰
[00:00:36.120 --> 00:00:37.920]  充滿著盼望
[00:00:37.920 --> 00:00:42.320]  不過,這個並不是聖誕節故事的全部
[00:00:42.320 --> 00:00:45.320]  就是以馬太福音作為例子
[00:00:45.320 --> 00:00:47.320]  東方博士的拜訪
[00:00:47.320 --> 00:00:51.240]  並不是在他們獻上了黃金、乳香、抹藥
[00:00:51.240 --> 00:00:54.440]  這些禮物之後就大團圓結局
[00:00:54.440 --> 00:00:58.480]  而是仍然有下文、有後續的發展
[00:00:58.480 --> 00:01:01.040]  而這個下文正好也突出了
[00:01:01.040 --> 00:01:06.400]  聖誕故事有不平安、不喜樂、不歡欣的一面
[00:01:06.400 --> 00:01:08.800]  今天就和大家一起去看一下
[00:01:08.800 --> 00:01:11.840]  東方博士這個故事的下集
[00:01:11.840 --> 00:01:16.560]  經文就是來自《馬太福音》二章十六至十八節
[00:01:16.560 --> 00:01:18.840]  今天所用的是和合本
[00:01:18.840 --> 00:01:20.840]  讓我們一同去讀出
[00:01:22.000 --> 00:01:25.640]  希律見自己被博士愚弄
[00:01:25.640 --> 00:01:27.760]  就大大發怒
[00:01:27.760 --> 00:01:33.200]  差人將百里行城裡並四景所有的男孩
[00:01:33.200 --> 00:01:37.160]  照著他向博士仔細查問的時候
[00:01:37.160 --> 00:01:41.080]  凡兩歲以裡的都殺盡了
[00:01:41.080 --> 00:01:45.480]  這就應了先知耶利米的話說
[00:01:45.480 --> 00:01:49.680]  在拉瑪聽見浩圖大哭的聲音
[00:01:49.680 --> 00:01:54.000]  是拉結哭他兒女不肯受安慰
[00:01:54.000 --> 00:01:57.000]  因為他們都不在了
[00:01:57.000 --> 00:02:00.000]  我們同心有個祈禱
[00:02:00.000 --> 00:02:01.920]  親愛的主,我們感謝你
[00:02:01.920 --> 00:02:06.000]  在這個美好的早上招聚我們來到你的殿當中
[00:02:06.000 --> 00:02:09.120]  願我們剛才讚美的歌聲
[00:02:09.120 --> 00:02:10.920]  都成為一個美好的祭
[00:02:10.920 --> 00:02:12.200]  獻過給你
[00:02:12.200 --> 00:02:14.080]  願你親自的越南
[00:02:14.080 --> 00:02:18.080]  願你的靈在我們眾人的心裡面
[00:02:18.080 --> 00:02:19.880]  打開我們的內心
[00:02:19.880 --> 00:02:22.000]  讓你的話語當中的信息
[00:02:22.000 --> 00:02:24.880]  都能在我們的心中扎根成長
[00:02:24.880 --> 00:02:30.400]  成為我們心裡面的安慰鼓勵和激勵
[00:02:30.400 --> 00:02:31.960]  願你與我們同在
[00:02:31.960 --> 00:02:35.080]  奉主耶穌的名祈禱
[00:02:35.080 --> 00:02:37.400]  這段經文大家都很熟悉
[00:02:37.400 --> 00:02:39.040]  經文一開始他這樣說
[00:02:39.040 --> 00:02:42.320]  就說希律見自己被博士愚弄
[00:02:42.320 --> 00:02:44.400]  就大大發怒
[00:02:44.400 --> 00:02:46.400]  那到底發生了什麼事情
[00:02:46.400 --> 00:02:51.000]  激怒了希律那些博士又是什麼人來的呢
[00:02:51.000 --> 00:02:55.880]  簡單交代一下這個事件發展的背景
[00:02:55.880 --> 00:02:59.120]  《馬帝福音》第二章一開始就提到
[00:02:59.120 --> 00:03:00.920]  耶穌在伯利恆誕生之後
[00:03:00.920 --> 00:03:06.520]  就有幾位來自東方的博士去到耶路撒冷
