
[00:00:00.000 --> 00:00:02.320]  今天我選了一段經文
[00:00:02.320 --> 00:00:05.360]  然後按照經文選了一個題目
[00:00:05.360 --> 00:00:08.480]  這個題目有一點刺激
[00:00:08.480 --> 00:00:11.360]  叫做「永不割蓆的愛」
[00:00:11.360 --> 00:00:19.200]  「割蓆」這個詞語最近很流行
[00:00:19.200 --> 00:00:22.560]  網上大家都知道有個詞語
[00:00:22.560 --> 00:00:23.840]  不是每個人都知道
[00:00:23.840 --> 00:00:24.960]  你有留意的就知道
[00:00:24.960 --> 00:00:26.800]  「核爆都唔割蓆」
[00:00:26.800 --> 00:00:33.920]  是說抗爭者之間的齊上齊落的心
[00:00:33.920 --> 00:00:37.680]  今天其實不是說這個話題
[00:00:37.680 --> 00:00:40.720]  不過我用了這個詞語去說今天的經文
[00:00:40.720 --> 00:00:45.920]  我想說神跟我們的關係
[00:00:45.920 --> 00:00:53.280]  神,你覺得耶穌會不會跟我們割蓆?
[00:00:53.280 --> 00:00:57.680]  不會的,大家思想一下
[00:00:57.680 --> 00:01:02.080]  有一次我在網上跟一位
[00:01:02.080 --> 00:01:05.600]  十幾年前在池江實習的學生
[00:01:05.600 --> 00:01:06.800]  他現在做了傳道人
[00:01:06.800 --> 00:01:09.280]  大家在網上見面
[00:01:09.280 --> 00:01:11.280]  跟著討論了很多東西
[00:01:11.280 --> 00:01:12.640]  以今天的課題
[00:01:12.640 --> 00:01:14.640]  其中一件事就是討論這個問題
[00:01:14.640 --> 00:01:16.640]  他問這個問題
[00:01:16.640 --> 00:01:19.600]  其實耶穌會不會跟人割蓆呢?
[00:01:19.600 --> 00:01:23.200]  我們跟他討論了幾天
[00:01:23.200 --> 00:01:26.640]  在耶穌的一生裡面
[00:01:26.640 --> 00:01:29.280]  特別是在地上的人生裡面
[00:01:29.280 --> 00:01:33.600]  耶穌跟那些罪人有沒有割蓆?
[00:01:33.600 --> 00:01:35.600]  沒有,跟他們一起吃飯
[00:01:35.600 --> 00:01:39.040]  跟那些妓女有沒有割蓆?
[00:01:39.040 --> 00:01:40.080]  沒有
[00:01:40.080 --> 00:01:42.960]  耶穌跟那些門徒有沒有割蓆?
[00:01:42.960 --> 00:01:44.960]  也沒有
[00:01:44.960 --> 00:01:47.600]  耶穌跟那些病人有沒有割蓆?
[00:01:47.600 --> 00:01:48.480]  當然沒有
[00:01:48.480 --> 00:01:53.280]  專門去他們的地方,大麻瘋的、黑眼的
