
[00:00:00.000 --> 00:00:01.300]  靜姊妹早晨
[00:00:01.300 --> 00:00:05.080]  今日我講題叫「致死忠心」
[00:00:05.080 --> 00:00:06.500]  好似好沉重
[00:00:06.500 --> 00:00:09.700]  我們一齊去祈禱先,安靜我們的心
[00:00:09.700 --> 00:00:13.800]  我們的天父上帝,我們感謝祢
[00:00:13.800 --> 00:00:15.860]  上帝是祢昔日
[00:00:15.860 --> 00:00:18.220]  擦拍很多祢的大能勇士
[00:00:18.220 --> 00:00:21.460]  來到中國,讓我們有機會去蒙祢的大恩
[00:00:21.460 --> 00:00:24.000]  去相信,又能夠坐在這裏
[00:00:24.000 --> 00:00:25.980]  不需要受苦,我們就想感謝
[00:00:25.980 --> 00:00:29.800]  願主祢讓我們一路去安靜的去聽
[00:00:29.800 --> 00:00:30.900]  相信祢自己的道
[00:00:30.900 --> 00:00:34.260]  又讓這個道在我們生命裏面成為我們的幫助
[00:00:34.260 --> 00:00:36.800]  祈禱奉主耶穌的名及,阿門
[00:00:36.800 --> 00:00:40.200]  我講題叫「致死忠心」
[00:00:40.200 --> 00:00:43.600]  同時間在十九節一開首的時候
[00:00:43.600 --> 00:00:48.700]  就講了一件頗可怕的集體殺人事件
[00:00:48.700 --> 00:00:52.000]  是不是?某程度上也是
[00:00:52.000 --> 00:00:53.500]  在十九節裏面
[00:00:53.500 --> 00:00:57.100]  為什麼信主的人
[00:00:57.100 --> 00:00:59.700]  又或者明明保羅正在做的事是對的
[00:00:59.700 --> 00:01:02.300]  是好的,為什麼會受苦的?
[00:01:02.300 --> 00:01:06.300]  為什麼我信了耶穌,還會有人攻擊的?
[00:01:06.300 --> 00:01:10.100]  為什麼我會有這些難處?
[00:01:10.100 --> 00:01:12.100]  我的上司會逼迫我?
[00:01:12.100 --> 00:01:14.900]  我們有很多很多不同的情景
[00:01:14.900 --> 00:01:16.300]  令到我們心裏面
[00:01:16.300 --> 00:01:18.600]  啊,信了耶穌也是這樣而已
[00:01:18.600 --> 00:01:19.800]  為什麼我們會這樣?
[00:01:19.800 --> 00:01:24.400]  究竟這些人又或者當日保羅
[00:01:24.400 --> 00:01:28.300]  他怎樣去面對人生裏面這些難處呢?
[00:01:30.300 --> 00:01:32.600]  是啊,信耶穌的人
[00:01:32.600 --> 00:01:34.600]  其實也會面對很多的難處
[00:01:34.600 --> 00:01:36.600]  牧師也會一樣面對的
[00:01:36.600 --> 00:01:40.600]  我記得我以前初初做神學生的時候
[00:01:40.600 --> 00:01:43.600]  第一年,可能有些頂姐妹
[00:01:43.600 --> 00:01:45.100]  可能你也會聽我提過
[00:01:45.100 --> 00:01:47.100]  信我信得久的頂姐妹
[00:01:47.100 --> 00:01:48.600]  在這裏久的頂姐妹
[00:01:48.600 --> 00:01:53.600]  第一年,其實我也會經歷一些又害怕又害怕的事
[00:01:53.600 --> 00:01:55.100]  我覺得這件是我很深刻
[00:01:55.100 --> 00:01:57.100]  我又害怕又害怕的事
[00:01:57.100 --> 00:02:00.100]  就是我的伴郎
[00:02:00.100 --> 00:02:01.600]  就是結婚的時候的伴郎
[00:02:01.600 --> 00:02:03.600]  他的媽媽經歷癌症
[00:02:03.600 --> 00:02:06.100]  接著在那一年去世
[00:02:06.100 --> 00:02:08.600]  接著我還要幫忙做喪禮
[00:02:08.600 --> 00:02:12.100]  那種感覺最無助的是
[00:02:12.100 --> 00:02:14.600]  我怎樣去關心他?
[00:02:14.600 --> 00:02:15.600]  怎樣去幫助他?
[00:02:15.600 --> 00:02:18.100]  他說完安慰完都死了
[00:02:18.100 --> 00:02:19.100]  都是要死了
[00:02:19.100 --> 00:02:20.600]  那種感受
[00:02:20.600 --> 00:02:22.100]  其實我是一個很感性的人
[00:02:22.100 --> 00:02:24.100]  所以那種記掛
[00:02:24.100 --> 00:02:25.600]  那種擔心
[00:02:25.600 --> 00:02:27.600]  又覺得自己會做不到事
[00:02:27.600 --> 00:02:29.100]  是很難受的
[00:02:29.100 --> 00:02:31.100]  我相信這些不只是牧師面對的
[00:02:31.100 --> 00:02:33.100]  其實頂姐妹也會面對這些朋友
[00:02:33.100 --> 00:02:35.100]  這些家人
[00:02:35.100 --> 00:02:37.600]  當日當然沒有因為這樣打倒我
[00:02:37.600 --> 00:02:38.600]  我更加努力
[00:02:38.600 --> 00:02:39.600]  研究多一點
[00:02:39.600 --> 00:02:40.600]  看多一點
[00:02:40.600 --> 00:02:41.600]  用多一點
[00:02:41.600 --> 00:02:42.600]  學多一點
[00:02:42.600 --> 00:02:45.600]  這樣去做
[00:02:45.600 --> 00:02:48.600]  有時這些事會叫人成長
[00:02:48.600 --> 00:02:50.600]  還有在苦難裏面
[00:02:50.600 --> 00:02:53.100]  在這些問題裏面
[00:02:53.100 --> 00:02:55.100]  我們看到上帝同在
[00:02:55.100 --> 00:02:58.600]  這是侍奉人員最重要的部份
