
[00:00:00.000 --> 00:00:10.200]  不知大家是否記得上星期黃牧師提到的內容或者不內容的題目
[00:00:10.200 --> 00:00:14.200]  記得是講哪裏嗎?有沒有印象?
[00:00:14.200 --> 00:00:18.200]  對了 都是講彼得前書
[00:00:18.200 --> 00:00:23.000]  爲什麼呢?因爲我們十月開始到十二月
[00:00:23.000 --> 00:00:27.200]  我們就會講這卷書 四個統統大家輪流分享
[00:00:27.200 --> 00:00:33.200]  今天是第二次 上個星期黃牧師的題目是擁抱舊恩
[00:00:33.200 --> 00:00:37.200]  今天我會跟大家看十三至二十五節
[00:00:37.200 --> 00:00:41.200]  我們開始的時候先讀完這十幾節的經文
[00:00:41.200 --> 00:00:47.200]  所以要約束你們的心 謹慎自守
[00:00:47.200 --> 00:00:53.200]  專心盼望耶穌基督顯現的時候所帶給你們的恩
[00:00:53.200 --> 00:01:02.200]  你們既作信命的兒女 就不要效法從前矇昧無知的時候那放縱私慾的樣子
[00:01:02.200 --> 00:01:09.200]  哪照你們的既是聖潔 你們在一切所行的事上也要聖潔
[00:01:09.200 --> 00:01:15.200]  因爲經上記着說 你們要聖潔 因爲我是聖潔的
[00:01:15.200 --> 00:01:22.200]  你們既稱那不偏待人 按各人行爲審判人的主爲父
[00:01:22.200 --> 00:01:27.200]  就當全敬畏的心度你們在世寄居的日子
[00:01:27.200 --> 00:01:33.200]  知道你們不屬 脫去你們祖宗所存留虛妄的行爲
[00:01:33.200 --> 00:01:39.200]  不是憑着能爲的金銀等物 乃是憑着基督的補血
[00:01:39.200 --> 00:01:43.200]  如同無瑕疵 無顛烏的羔羊之血
[00:01:43.200 --> 00:01:47.200]  基督在創世以前是預先被上帝知道的
[00:01:47.200 --> 00:01:51.200]  卻在這末世才爲你們顯現
[00:01:51.200 --> 00:01:55.200]  你們也恩着他 信那叫他從死裏復活
[00:01:55.200 --> 00:02:02.200]  又給他榮耀的上帝 叫你們的信心和盼望都在於上帝
[00:02:02.200 --> 00:02:07.200]  你們既恩信從真地 結證了自己的心
[00:02:07.200 --> 00:02:14.200]  以至愛弟兄沒有虛假 就當心裏彼此切實相愛
[00:02:14.200 --> 00:02:22.200]  你們蒙了從心 不是由於能壞的種子 乃是由於不能壞的種子
[00:02:22.200 --> 00:02:28.200]  是藉着上帝活潑常存的道 因爲凡有血氣的盡都如草
[00:02:28.200 --> 00:02:34.200]  他的美靈都像草上的花 草必枯乾 花必凋謝
[00:02:34.200 --> 00:02:40.200]  唯有主的道是永存的 所傳給你們的福音就是這道
[00:02:40.200 --> 00:02:44.200]  是一段很長的經文 我還是選擇要讀
[00:02:44.200 --> 00:02:48.200]  因爲這段經文是有很豐富的內容
[00:02:48.200 --> 00:02:56.200]  再重複多一點 這段經文是彼得前書的寫作目的
[00:02:56.200 --> 00:02:59.200]  特別是提醒當時的一些信徒
[00:02:59.200 --> 00:03:05.200]  雖然在外界 在敵基督教的環境當中
[00:03:05.200 --> 00:03:12.200]  但仍然鼓勵信徒 讓他們知道他們仍然是神所挑選的
[00:03:12.200 --> 00:03:17.200]  鼓勵他們在神面前堅定去忠誠 聖潔和愛心地生活
[00:03:17.200 --> 00:03:19.200]  爲主作見證 領人歸主
[00:03:19.200 --> 00:03:22.200]  當然這份堅持可能會帶來苦難
[00:03:22.200 --> 00:03:27.200]  但因爲教導他們明白苦難真正的目的之後
[00:03:27.200 --> 00:03:30.200]  亦給他們一份信心繼續向前
[00:03:30.200 --> 00:03:36.200]  這個信心來自於他們需要對舊恩有一個很真確的瞭解
[00:03:36.200 --> 00:03:40.200]  所以彼得在開始的時候有一章三節十二節
[00:03:40.200 --> 00:03:44.200]  用了很大的篇幅去講述整個舊恩
[00:03:44.200 --> 00:03:46.200]  很多內容很豐富
[00:03:46.200 --> 00:03:52.200]  上星期牧師第一次講了一章三節十二節
[00:03:52.200 --> 00:03:56.200]  我們看到內容上是集中於將來盼望
[00:03:56.200 --> 00:04:02.200]  神爲我們在天上預留的機業 在末世要顯現的時候的救贖內容
[00:04:02.200 --> 00:04:08.200]  但我今天第二講會集中於一章十三至二十五節
[00:04:08.200 --> 00:04:13.200]  這部分是一種提到在信仰上的實踐
[00:04:13.200 --> 00:04:18.200]  我們身份上的改變 因爲神的緣故而挑選
[00:04:18.200 --> 00:04:24.200]  讓我們能夠得着屬天一個很完美的生命
[00:04:24.200 --> 00:04:27.200]  所以這段經文是要回應常民
[00:04:27.200 --> 00:04:33.200]  提醒我們既有屬神子民一個高尚的身份的時候
[00:04:33.200 --> 00:04:38.200]  而當中這段經文十三至二十五節有很多道德上的呼籲
[00:04:38.200 --> 00:04:43.200]  讓我們能夠展現出這種生命特質的改變
[00:04:43.200 --> 00:04:47.200]  我不知道你讀那段十三至二十五節有什麼感覺
[00:04:47.200 --> 00:04:51.200]  在我預備的時候發覺很多內容很豐富
[00:04:51.200 --> 00:04:54.200]  好像每一個字都有一個特別的意思
[00:04:54.200 --> 00:04:57.200]  如果我用今天的四十分鐘來解釋
[00:04:57.200 --> 00:04:59.200]  這段經文實在不可能了
[00:04:59.200 --> 00:05:03.200]  因爲有些人用了整本書來講這十幾節
[00:05:03.200 --> 00:05:07.200]  用一本書 我又豈能夠今天四十分鐘講完呢
[00:05:07.200 --> 00:05:11.200]  但也找到一些重點 雖然內容很多
[00:05:11.200 --> 00:05:16.200]  但按原文 用希列文的結構很特別
[00:05:16.200 --> 00:05:20.200]  其實它有四個命令式的動詞
[00:05:20.200 --> 00:05:22.200]  而中間有很多詞彙
[00:05:22.200 --> 00:05:23.200]  就算是有些動詞
[00:05:23.200 --> 00:05:27.200]  但也圍繞着這四方面的主題來發揮
[00:05:27.200 --> 00:05:31.200]  有見及此 我今天講章的內容
[00:05:31.200 --> 00:05:34.200]  就會以四方面來分享
[00:05:34.200 --> 00:05:36.200]  我們作爲神的選民
[00:05:36.200 --> 00:05:40.200]  要展開一個新生樣式的生活特質當中
[00:05:40.200 --> 00:05:43.200]  有哪四方面可以成爲我們的提醒呢
[00:05:43.200 --> 00:05:46.200]  我就選擇了這四方面
[00:05:46.200 --> 00:05:49.200]  第一方面就是盼望的生命
[00:05:49.200 --> 00:05:53.200]  第二方面就是聖潔的生命
[00:05:53.200 --> 00:05:55.200]  第三就是敬畏神的生命
[00:05:55.200 --> 00:05:59.200]  最後就是真誠相愛的生命
[00:05:59.200 --> 00:06:01.200]  今天分享的內容在這裏
[00:06:01.200 --> 00:06:03.200]  我們先看第一方面
[00:06:03.200 --> 00:06:07.200]  神給我們一個身份上很特別的身份
[00:06:07.200 --> 00:06:09.200]  成爲神的子民
[00:06:09.200 --> 00:06:12.200]  而這個身份當中提醒我們
[00:06:12.200 --> 00:06:15.200]  我們要作出一個回應
[00:06:15.200 --> 00:06:19.200]  讀這段經文一章十三節的時候
[00:06:19.200 --> 00:06:20.200]  如果是中文版
[00:06:20.200 --> 00:06:22.200]  你會把重點放在哪裏
[00:06:22.200 --> 00:06:24.200]  你們要約束你們的心
[00:06:24.200 --> 00:06:26.200]  謹慎自守 專心盼望
[00:06:26.200 --> 00:06:28.200]  如果按次序
[00:06:28.200 --> 00:06:30.200]  中文的結構就是
[00:06:30.200 --> 00:06:32.200]  第一樣東西要先前面那兩樣東西
[00:06:32.200 --> 00:06:34.200]  第三樣東西纔是盼望
[00:06:34.200 --> 00:06:35.200]  但原文就不是
[00:06:35.200 --> 00:06:37.200]  命令詞在哪裏呢
[00:06:37.200 --> 00:06:40.200]  重心是說你們要專心盼望
[00:06:40.200 --> 00:06:42.200]  之前那兩個有什麼作用呢
[00:06:42.200 --> 00:06:44.200]  一會兒再分享
[00:06:44.200 --> 00:06:46.200]  盼望什麼呢
[00:06:46.200 --> 00:06:50.200]  我們說這是一個命令句
[00:06:50.200 --> 00:06:53.200]  但回應上文的一章三節
[00:06:53.200 --> 00:06:56.200]  其實是透過救恩提醒我們
[00:06:56.200 --> 00:06:58.200]  我們基督徒的重生
[00:06:58.200 --> 00:07:01.200]  我們將要進入一個永恆盼望
[00:07:01.200 --> 00:07:02.200]  這是一個陳述
[00:07:02.200 --> 00:07:05.200]  告訴我們我們實在的身份就是這樣
[00:07:05.200 --> 00:07:07.200]  去到十三節的時候
[00:07:07.200 --> 00:07:10.200]  就是因爲這個陳述
[00:07:10.200 --> 00:07:11.200]  這個狀態
[00:07:11.200 --> 00:07:13.200]  我們就要有這種生命特質
[00:07:13.200 --> 00:07:14.200]  正義就是
[00:07:14.200 --> 00:07:16.200]  你是一個什麼人呢
[00:07:16.200 --> 00:07:19.200]  我們就要做什麼人的特質
[00:07:19.200 --> 00:07:21.200]  所以在這個生命的展示裏
[00:07:21.200 --> 00:07:22.200]  我們需要做這個特質
[00:07:22.200 --> 00:07:26.200]  就是一個沒有盼望的生命
[00:07:26.200 --> 00:07:29.200]  說到盼望的時候是什麼呢
[00:07:29.200 --> 00:07:31.200]  你會想是什麼呢
[00:07:31.200 --> 00:07:33.200]  大家都想想
[00:07:33.200 --> 00:07:38.200]  其實盼望也是帶着一份期待
[00:07:38.200 --> 00:07:40.200]  很急切
[00:07:40.200 --> 00:07:42.200]  如果你盼望那樣東西來到的時候
[00:07:42.200 --> 00:07:43.200]  你不會慢吞吞
[00:07:43.200 --> 00:07:45.200]  你當然想它快一點
