
[00:00:00.000 --> 00:00:02.000]  好 各位親愛的弟兄姊妹 早晨
[00:00:02.000 --> 00:00:03.000]  早晨
[00:00:03.000 --> 00:00:06.800]  我很感恩可以跟大家一齊來帶去分享神的說話
[00:00:06.800 --> 00:00:09.000]  今天見到這麼多的弟兄姊妹在這裡的時候
[00:00:09.000 --> 00:00:11.100]  心裡面是很激動的
[00:00:11.100 --> 00:00:12.100]  就是很開心
[00:00:12.100 --> 00:00:13.300]  雖然不是經常來
[00:00:13.300 --> 00:00:14.700]  但是每一次來的時候
[00:00:14.700 --> 00:00:16.700]  那種感受都是很深的
[00:00:16.700 --> 00:00:19.500]  今天教會要求我跟大家分享一個課題
[00:00:19.500 --> 00:00:21.900]  就叫做「信心的果效」
[00:00:21.900 --> 00:00:24.200]  今天會分兩部分的
[00:00:24.200 --> 00:00:25.900]  第一部分就是從聖經裡面
[00:00:25.900 --> 00:00:28.000]  一個大家很熟悉的神蹟
[00:00:28.000 --> 00:00:30.600]  你有看到「信心的果效」
[00:00:30.600 --> 00:00:31.800]  第二部分就是會講
[00:00:31.800 --> 00:00:35.400]  我們怎樣可以建立更大的信心
[00:00:35.400 --> 00:00:37.800]  有一個神蹟大家都很熟悉的
[00:00:37.800 --> 00:00:38.800]  如來基督徒
[00:00:38.800 --> 00:00:41.100]  就是有四個人抬著一個毯子
[00:00:41.100 --> 00:00:42.600]  來去見耶穌
[00:00:42.600 --> 00:00:44.600]  耶穌就醫好了這個毯子
[00:00:44.600 --> 00:00:47.000]  我們一齊來帶去先讀這段經文
[00:00:47.000 --> 00:00:49.000]  我們大家可以讀得快一點
[00:00:49.000 --> 00:00:51.000]  因為我會講得長一點
[00:00:51.000 --> 00:00:52.600]  好 我們一齊來讀
[00:00:59.000 --> 00:01:01.300]  就有許多人聚集
[00:01:01.300 --> 00:01:04.300]  甚至門前都會有空地
[00:01:04.300 --> 00:01:06.700]  耶穌就去探訪到
[00:01:06.700 --> 00:01:10.000]  有人帶著一個毯子來見耶穌
[00:01:10.000 --> 00:01:12.300]  只要四個人抬著
[00:01:12.300 --> 00:01:14.900]  因為人多不得更事
[00:01:14.900 --> 00:01:17.500]  就在耶穌所在的房子
[00:01:17.500 --> 00:01:18.800]  沙雕房頂
[00:01:18.800 --> 00:01:20.200]  地下宮廟
[00:01:20.200 --> 00:01:24.800]  就在毯子連鎖廠內的屏幕上
[00:01:24.800 --> 00:01:27.200]  耶穌見探的信心
[00:01:27.200 --> 00:01:28.800]  想對探子說
[00:01:28.800 --> 00:01:31.300]  小子 你的罪寫了
[00:01:31.300 --> 00:01:33.700]  有幾個文師坐在那裡
[00:01:33.700 --> 00:01:35.300]  心裡這論說
[00:01:35.300 --> 00:01:38.000]  即是為了什麼這樣說呢
[00:01:38.000 --> 00:01:40.100]  那說傳從我的國語
[00:01:40.100 --> 00:01:41.500]  除了神以外
[00:01:41.500 --> 00:01:43.300]  誰能寫最靈
[00:01:43.300 --> 00:01:44.800]  耶穌想眾知道
[00:01:44.800 --> 00:01:47.000]  靠著心裡這樣議論
[00:01:47.000 --> 00:01:47.800]  就說
[00:01:47.800 --> 00:01:51.100]  你換心裡為什麼這樣議論呢
[00:01:51.100 --> 00:01:52.700]  或對探子說
[00:01:52.700 --> 00:01:54.200]  你的罪寫了
[00:01:54.200 --> 00:01:55.600]  或說祈禱
[00:01:55.600 --> 00:01:57.500]  拿你的玉子合手
[00:01:57.500 --> 00:01:59.200]  哪一樣容易得
[00:01:59.200 --> 00:02:01.000]  但要叫你服之道
[00:02:01.000 --> 00:02:04.200]  人只在地上有寫罪的權利
[00:02:04.200 --> 00:02:05.700]  就對探子說
[00:02:05.700 --> 00:02:07.500]  我吩咐你祈禱
[00:02:07.500 --> 00:02:10.200]  拿你的玉子回家對白
[00:02:10.200 --> 00:02:11.900]  禮人
[00:02:11.900 --> 00:02:13.600]  禮人受祈禱
[00:02:13.600 --> 00:02:15.500]  打扮打著玉子
[00:02:15.500 --> 00:02:17.900]  當眾人已是出類
[00:02:17.900 --> 00:02:20.000]  以此眾人都驚奇
[00:02:20.000 --> 00:02:22.000]  不必了解神說
[00:02:22.000 --> 00:02:25.600]  我們從來沒有見過這樣的事
[00:02:25.600 --> 00:02:26.700]  這裡很清楚
[00:02:26.700 --> 00:02:27.600]  大家都很熟悉
[00:02:27.600 --> 00:02:31.000]  就是耶穌醫好了一個探子
[00:02:31.000 --> 00:02:33.400]  我們首先要了解這個探子
[00:02:33.400 --> 00:02:35.900]  所面對的是什麼困難
[00:02:35.900 --> 00:02:37.600]  一個探子是什麼呢
[00:02:37.600 --> 00:02:40.000]  往往原來都被人在那個時候
[00:02:40.000 --> 00:02:42.500]  視為一個不祥人
[00:02:42.500 --> 00:02:44.900]  或者不是這麼好的一個人
[00:02:44.900 --> 00:02:45.600]  因為那個時候
[00:02:45.600 --> 00:02:47.600]  他們會將一個人病的時候
[00:02:47.600 --> 00:02:49.600]  是跟罪連在一起的
[00:02:49.600 --> 00:02:52.200]  為什麼有一個一生出來瞎眼的人
[00:02:52.200 --> 00:02:54.800]  耶穌悶到就問
[00:02:54.800 --> 00:02:57.000]  為什麼他一生出來就瞎眼呢
[00:02:57.000 --> 00:02:58.900]  難道是他犯罪
[00:02:58.900 --> 00:03:00.600]  還是他父母犯罪呢
[00:03:00.600 --> 00:03:02.600]  但是他一出生沒有理由犯罪的
[00:03:02.600 --> 00:03:04.000]  為什麼會瞎一隻眼
[00:03:04.000 --> 00:03:06.000]  他就會將這個病
[00:03:06.000 --> 00:03:08.200]  跟罪放在一起
[00:03:08.200 --> 00:03:11.000]  所以有時候一些患病的人
